subject_id,front,back,species,abund,comments
58748579,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18p2.jpg,blacknoseblacknosedshiner,32,
58748579,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18p2.jpg,bandedkillifishmenonakillifish,85,
58748579,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_18p2.jpg,iowadarter,163,
58748586,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_30.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_30p2.jpg,rockbass,14,include only gill net catches
58748589,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31p2.jpg,rockbass,32,
58748589,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31p2.jpg,bluntnosedbluntnoseminnow,100, took higher number; fish saved is lower number
58748589,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_31p2.jpg,iowadarter,15, took higher number; fish saved is lower number
58748591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_33.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_33p2.jpg,rockbass,20,
58748593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122p2_FISHc.jpg,commonsuckerwhitesucker,66,
58748593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122p2_FISHc.jpg,commonshiner,29,
58748593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122p2_FISHc.jpg,bluntnosedbluntnoseminnow,24,
58748593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122p2_FISHc.jpg,johnnydarter,20,
58748594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124p2_FISHc.jpg,pumpkinseed,17,
58748594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124p2_FISHc.jpg,rockbass,22,
58748594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124p2_FISHc.jpg,commonsuckerwhitesucker,30,
58748594,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix124p2_FISHc.jpg,muddlermottledsculpincbbairdi,49,
58748595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix125_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix125p2_FISHc.jpg,rockbass,18,
58748595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix125_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix125p2_FISHc.jpg,spottailspottailshiner,28,
58748595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix125_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix125p2_FISHc.jpg,commonshiner,18,
58748596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix126_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix126p2_FISHc.jpg,rockbass,218,
58748596,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix126_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix126p2_FISHc.jpg,commonsuckerwhitesucker,36,
