subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.value
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T0,Begin Date – Month,[{'May': 3}]
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T1,Begin Date – Day,[{'26': 3}]
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T2,Begin Date – Year,[{'1977': 3}]
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T5,End Date – Year,
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T3,End Date – Month,
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T4,End Date – Day,
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T0,Begin Date – Month,"[{'September': 2, 'August': 1}]"
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T1,Begin Date – Day,[{'21': 3}]
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T2,Begin Date – Year,[{'1954': 3}]
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T5,End Date – Year,
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T3,End Date – Month,
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T4,End Date – Day,
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T0,Begin Date – Month,[{'October': 3}]
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T1,Begin Date – Day,[{'18': 3}]
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T2,Begin Date – Year,[{'1978': 3}]
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T5,End Date – Year,
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T3,End Date – Month,
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T4,End Date – Day,
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T0,Begin Date – Month,[{'October': 3}]
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T1,Begin Date – Day,[{'18': 3}]
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T2,Begin Date – Year,[{'1977': 3}]
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T5,End Date – Year,
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T3,End Date – Month,
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T4,End Date – Day,
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T0,Begin Date – Month,[{'October': 3}]
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T1,Begin Date – Day,[{'19': 3}]
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T2,Begin Date – Year,[{'1976': 3}]
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T5,End Date – Year,
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T3,End Date – Month,
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T4,End Date – Day,
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T0,Begin Date – Month,
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T1,Begin Date – Day,
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T2,Begin Date – Year,[{'None': 2}]
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T5,End Date – Year,[{'None': 2}]
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T3,End Date – Month,
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T4,End Date – Day,
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T0,Begin Date – Month,[{'September': 3}]
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T1,Begin Date – Day,[{'26': 3}]
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T2,Begin Date – Year,[{'1979': 3}]
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T5,End Date – Year,
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T3,End Date – Month,
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T4,End Date – Day,
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T0,Begin Date – Month,[{'September': 3}]
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T1,Begin Date – Day,[{'2': 3}]
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T2,Begin Date – Year,[{'1941': 3}]
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T5,End Date – Year,
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T3,End Date – Month,
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T4,End Date – Day,
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T0,Begin Date – Month,[{'September': 3}]
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T1,Begin Date – Day,[{'11': 3}]
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T2,Begin Date – Year,[{'1975': 3}]
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T5,End Date – Year,[{'1975': 3}]
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T3,End Date – Month,[{'September': 3}]
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T4,End Date – Day,[{'12': 3}]
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T0,Begin Date – Month,[{'November': 3}]
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T1,Begin Date – Day,[{'1': 3}]
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T2,Begin Date – Year,[{'1972': 3}]
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T5,End Date – Year,"[{'Same as Begin Date (Year)': 1, '1972': 2}]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T3,End Date – Month,"[{'Same as Begin Date (Month)': 1, 'November': 2}]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T4,End Date – Day,"[{'20': 1, '2': 2}]"
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T0,Begin Date – Month,[{'September': 3}]
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T1,Begin Date – Day,[{'15': 3}]
