subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T8,T,"[['9N', '9N', '9N']]",3.0,3.0,9N,"[2288992.0, 2271829.0, 1484814.0]"
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T9,R,"[['13W', '13W', '13W']]",3.0,3.0,13W,"[2288992.0, 2271829.0, 1484814.0]"
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T10,S,"[['15,16', '15,', '15,'], ['', '16', '16']]",3.0,2.0,"15, 16","[2288992.0, 2271829.0, 1484814.0]"
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17771,T12,Name(s),"[['Lincoln,', 'Lincoln', 'Lincoln'], ['', '&', '&'], ['Kort', 'Kort', 'Kort']]",3.0,2.3333333333333335,Lincoln & Kort,"[2288992.0, 2271829.0, 1484814.0]"
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T8,T,"[['7N', '7N', '7N']]",3.0,3.0,7N,"[2515800.0, 2288992.0, 1484814.0]"
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T9,R,"[['13W', '13W', '13W']]",3.0,3.0,13W,"[2515800.0, 2288992.0, 1484814.0]"
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T10,S,"[['36', '36', '36']]",3.0,3.0,36,"[2515800.0, 2288992.0, 1484814.0]"
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17771,T12,Name(s),"[['C.', 'C.', 'C.'], ['Taube', 'Taube', 'Taube'], ['(I.F.R.),', '(I.F.R.),', '(I.F.R.)'], ['', '', 'and'], ['M.', 'M.', 'M.'], ['Hunt', 'Hunt', 'Hunt'], ['(Dist.', '(Dist.', '(Dist.'], ['Fish', 'Fish', 'Fish'], ['Super)', 'Super)', 'Super)']]",3.0,2.6666666666666665,"C. Taube (I.F.R.), and M. Hunt (Dist. Fish Super)","[2515800.0, 2288992.0, 1484814.0]"
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T8,T,"[['5N', '5N', '5N']]",3.0,3.0,5N,"[1484814.0, 2288992.0, 2440392.0]"
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T9,R,"[['16W', '16W', '16W']]",3.0,3.0,16W,"[1484814.0, 2288992.0, 2440392.0]"
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T10,S,"[['35', '35', '35']]",3.0,3.0,35,"[1484814.0, 2288992.0, 2440392.0]"
82937308,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_128.jpeg,,17771,T12,Name(s),"[['R.', 'R.', 'R.'], ['Lincoln', 'Lincoln', 'Lincoln']]",3.0,3.0,R. Lincoln,"[1484814.0, 2288992.0, 2440392.0]"
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T8,T,"[['5N', '5N', '5N']]",3.0,3.0,5N,"[2288992.0, 1484814.0, 1312868.0]"
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T9,R,"[['15,16W', '15,', '15,16W'], ['', '16W', '']]",3.0,1.5,"15, 16W","[2288992.0, 1484814.0, 1312868.0]"
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T10,S,"[['Many', 'Many', 'Many']]",3.0,3.0,Many,"[2288992.0, 1484814.0, 1312868.0]"
82937309,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_159.jpeg,,17771,T12,Name(s),"[['Smith,', 'Smith,', 'Smith,'], ['Lincoln,', 'Lincoln,', 'Lincoln,'], ['Kort,', 'Kort,', 'Kort,'], ['Auld', 'Auld', 'Auld']]",3.0,3.0,"Smith, Lincoln, Kort, Auld","[2288992.0, 1484814.0, 1312868.0]"
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T8,T,"[['5N', '5N', '5N']]",3.0,3.0,5N,"[2288992.0, 2271829.0, 1312868.0]"
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T9,R,"[['15,16W', '15,', '15,16W'], ['', '16W', '']]",3.0,1.5,"15, 16W","[2288992.0, 2271829.0, 1312868.0]"
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T10,S,"[['many', 'many', 'many']]",3.0,3.0,Many,"[2288992.0, 2271829.0, 1312868.0]"
82937311,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_173.jpeg,,17771,T12,Name(s),"[['Trimberger,', 'Trimberger,', 'Trimberger,'], ['Lincoln,', 'Lincoln,', 'Lincoln,'], ['Smith,', 'Smith', 'Smith'], ['', '&', '&'], ['Kort', 'Kort', 'Kort']]",3.0,2.6,"Trimberger, Lincoln, Smith & Kort","[2288992.0, 2271829.0, 1312868.0]"
82937312,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_182.jpeg,,17771,T12,Name(s),"[['Trimberger,', 'Trimberger,'], ['Smith,', 'Smith,'], ['Lincoln,', 'Lincoln,'], ['', '&'], ['Kort', 'Kort']]",2.0,1.8,"Trimberger, Lincoln, Smith & Kort","[2288992.0, 2271829.0]"
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T8,T,"[['5N', '5N', '5N']]",3.0,3.0,5N,"[2288992.0, 1484814.0, 1691537.0]"
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T9,R,"[['16W', '16W', '16W']]",3.0,3.0,16W,"[2288992.0, 1484814.0, 1691537.0]"
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T10,S,"[['33', '33', '33']]",3.0,3.0,33,"[2288992.0, 1484814.0, 1691537.0]"
82937313,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Macatawa_FISHc_72.jpeg,,17771,T12,Name(s),"[['Davey,', 'Davey,', 'Davey,'], ['Smith,', 'Smith,', 'Smith,'], ['Lincoln', 'Lincoln', 'Lincoln']]",3.0,3.0,"Davey, Lincoln, Smith","[2288992.0, 1484814.0, 1691537.0]"
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T8,T,"[['26N', '26N', '26N']]",3.0,3.0,26N,"[2271829.0, 2288992.0, 1484814.0]"
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T9,R,"[['9E', '9E', '9E']]",3.0,3.0,9E,"[2271829.0, 2288992.0, 1484814.0]"
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T10,S,"[['12', '12', '12']]",3.0,3.0,12,"[2271829.0, 2288992.0, 1484814.0]"
82937345,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/ALCONA_HARRISVILLLE_FISHc_0001_2.jpeg,17771,T12,Name(s),"[['W.', 'W.', 'W.'], ['F.', 'F.', 'F.'], ['Carbine', 'Carbine', 'Carbine']]",3.0,3.0,W. F. Carbine,"[2271829.0, 2288992.0, 1484814.0]"
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T8,T,"[['44N', '44N', '44N']]",3.0,3.0,44N,"[2515800.0, 1484814.0, 2288992.0]"
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T9,R,"[['19W', '19W', '19W']]",3.0,3.0,19W,"[2515800.0, 1484814.0, 2288992.0]"
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T10,S,"[['12', '12', '12']]",3.0,3.0,12,"[2515800.0, 1484814.0, 2288992.0]"
82937346,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Alger_Irwin_FISHc_20200219115754521_0010.jpg,17771,T12,Name(s),"[['USFS', 'USFS', 'USFS'], ['Munising', 'Munising', 'munising']]",3.0,2.5,USFS Munising,"[2515800.0, 1484814.0, 2288992.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T8,T,"[['50N', '50N', '50N']]",3.0,3.0,50N,"[2271829.0, 2288992.0, 1484814.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T9,R,"[['6W', '6W', '6W']]",3.0,3.0,6W,"[2271829.0, 2288992.0, 1484814.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T10,S,"[['20,', '20,', '20,'], ['21', '21', '21']]",3.0,3.0,"20, 21","[2271829.0, 2288992.0, 1484814.0]"
82937347,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Chippewa_Shelldrake_FISHc_019.jpg,17771,T12,Name(s),"[['W.', 'W.', 'W.'], ['Gruhn,', 'Gruhn,', 'Gruhn,'], ['C.', 'C.', 'C.'], ['Bailey', 'Bailey', 'Bailey']]",3.0,3.0,"W. Gruhn, C. Bailey","[2271829.0, 2288992.0, 1484814.0]"
82937348,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/double/Houghton_Roland_FISHc_047.jpg,17771,T8,T,"[['52N', '52N', '52N']]",3.0,3.0,52N,"[1484814.0, 2271829.0, 2288992.0]"
