"subject_id","new_key","lakename","county","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back"
58748575,NA," CHARLEVOIX","CHARLEVOIX","6","July","1952",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_ Charlevoix216_FISHc_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_ Charlevoix216_FISHc_0002.jpg"
58748587,NA," CHARLEVOIX","CHARLEVOIX","29","July","1952",NA,NA,"1952","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_ Charlevoix217_FISHc_0001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_ Charlevoix217_FISHc_0002.jpg"
59963739,"2-228","ACKERMAN","ALGER","18","June","1969","19","June","1969","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0006_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0006_2.jpeg"
59963740,"2-228","ACKERMAN","ALGER","3","July","1968","4","July","1968","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0009_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0009_2.jpeg"
59963741,"2-228","ACKERMAN","ALGER","15","July","1966",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0007_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0007_2.jpeg"
59963742,"2-228","ACKERMAN","ALGER","31","October","1967",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0008_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0008_2.jpeg"
59963743,"2-228","ACKERMAN","ALGER","12","August","1947","13","August","1947","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0010_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0010_2.jpeg"
59963744,"2-228","ACKERMAN","ALGER","6","August","1941","6","August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0011_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0011_2.jpeg"
59963745,"2-228","ACKERMAN","ALGER","6","August","1941","7","August","1941","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0012_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_ACKERMAN_FISHc_0012_2.jpeg"
58752831,"41-119.1","ADAIMPOUNDMENT","KENT","19","August","1975","20","August","1975","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_AdaImpoundment_FISHc_001.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_AdaImpoundment_FISHc_002.jpg"
