subject_id,date,review,date2,review2,date3,review3,date4,review4,column_name,date,Comment,front,back
58642439,6,1,7,1,NA,NA,NA,NA,begin_date_day,6,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Houghton_Bohmier_FISHc_002.jpg,NA
58642484,August,1,May,1,NA,NA,NA,NA,begin_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg,NA
58642484,5,1,19,1,NA,NA,NA,NA,begin_date_day,5,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg,NA
58642493,19,1,20,1,NA,NA,NA,NA,begin_date_day,19,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0021.jpeg,NA
58642533,13,1,24,1,NA,NA,NA,NA,begin_date_day,13,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0010.jpeg,NA
58642560,18,1,17,1,NA,NA,NA,NA,begin_date_day,17,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0004.jpeg,NA
58642561,24,1,20,1,NA,NA,NA,NA,begin_date_day,20,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0002.jpeg,NA
58642799,June,1,April,1,NA,NA,NA,NA,end_date_month,June,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,NA
58642799,3,1,1,1,NA,NA,NA,NA,end_date_day,3,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,NA
58642799,1991,1,1996,1,NA,NA,NA,NA,end_date_year,1991,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,NA
58733452,1970,1,1950,1,NA,NA,NA,NA,end_date_year,1950,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Washtenaw_Walsh217_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Washtenaw_Walsh216_FISHc.jpeg
58734727,August,1,July,1,NA,NA,NA,NA,begin_date_month,,Broken Link,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Dixon_FISHc_76.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Dixon_FISHc_75.jpeg
58734727,August,1,July,1,NA,NA,NA,NA,end_date_month,,Broken Link,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Dixon_FISHc_76.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/b_first/Otsego_Dixon_FISHc_75.jpeg
58748593,1959,1,1999,1,NA,NA,NA,NA,begin_date_year,1959,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix122p2_FISHc.jpg
58748612,August,1,February,1,NA,NA,NA,NA,begin_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix143_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix143p2_FISHc.jpg
58748615,1959,1,1939,1,NA,NA,NA,NA,begin_date_year,1959,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix146_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix146p2_FISHc.jpg
58748641,August,1,September,1,NA,NA,NA,NA,begin_date_month,August,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix171_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix171p2_FISHc.jpg
58748651,September,1,October,1,NA,NA,NA,NA,begin_date_month,October,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209p2_FISHc.jpg
58748651,10,1,15,1,NA,NA,NA,NA,begin_date_day,15,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209p2_FISHc.jpg
58748651,September,1,October,1,NA,NA,NA,NA,end_date_month,October,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209p2_FISHc.jpg
58748651,15,1,16,1,NA,NA,NA,NA,end_date_day,16,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix209p2_FISHc.jpg
