subject_id,species,front,back,abund,comment
58749095,perchyellowperch,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_FISHc_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_FISHc_103.jpg,11,cutoff
58749879,perchyellowperch,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Timber_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Timber_FISHc_016.jpg,many,
58749879,commonshiner,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Timber_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Timber_FISHc_016.jpg,many,
58749916,blackbandedtopm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Genesse_Lobdell_25-11_1946_FISHc_017_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Genesse_Lobdell_25-11_1946_FISHc_017_02.jpg,10,
58749916,brooksilversidesilversides,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Genesse_Lobdell_25-11_1946_FISHc_017_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Genesse_Lobdell_25-11_1946_FISHc_017_02.jpg,20,
58750103,bluntnosedbluntnoseminnow,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Secord_FISHc_143.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Secord_FISHc_144.jpg,36,"note parenthesis on this card denote combined station data that is probably on multiple cards. In this case, would choose number not in parens "
58750159,largemouthbass,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Smallwood_FISHc_143.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Smallwood_FISHc_144.jpg,1,"note parenthesis on this card denote combined station data that is probably on multiple cards. In this case, would choose number not in parens "
58750159,johnnydarter,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Smallwood_FISHc_143.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Smallwood_FISHc_144.jpg,1,
58750216,commonsuckerwhitesucker,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Wiggins_FISHc_126.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Wiggins_FISHc_127.jpg,52,
58750281,commonsuckerwhitesucker,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Bass_FISHc_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Bass_FISHc_022.jpg,31,letter denote location so must add numbers 
