subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back
58752173,"[['', '', '1', ''], ['', '', '-', ''], ['1-1000', '1-1000', '1000', '1-1000'], ['sq.', 'sq', 'sq.', 'sq.ft;'], ['ft;', 'ft;', 'ft.:', ''], ['', '', '2', ''], ['', '', '-', ''], ['2-1000', '2-1000', '1000', '2-1000'], ['sq.', 'sq', 'sq.', 'sq.ft;'], ['ft;', 'ft;', 'ft.', ''], ['', '', '3;', ''], ['', '', '-', ''], ['3-750', '3-750', '750', '3-750'], ['sq.', 'sq', 'sq.', 'sq.ft;'], ['ft;', 'ft;', 'ft.;', ''], ['', '', '4', ''], ['', '', '-', ''], ['4-1000', '4-1000', '1000', '4-1000'], ['sq.', 'sq', 'sq.', 'sq.ft.'], ['ft.', 'ft', 'ft.', '']]",1.8,1 - 1-1000 sq. ft; 2 - 2-1000 sq. ft; 3; - 3-750 sq. ft; 4 - 4-1000 sq. ft.,1-1000 sq. ft;  2-1000 sq. ft; 3-750 sq. ft;  4-1000 sq. ft.,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/a_first/part2/Iron_Snipe_FISHc_008.jpg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/a_first/part2/Iron_Snipe_FISHc_009.jpg
58753070,"[['', '250', ""250'"", '250'], ['', 'x', 'x', 'x'], ['250x10-20', '10', ""10-20'"", '10-20'], ['', '-', '', ''], ['', '20', '', ''], ['ft.', 'ft.', '', 'ft.']]",1.833333333,250 x 250x10-20 - 20 ft.,250x10-20 ft,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/a_first/part2/Keweew_Bailey_FISHc_047.jpg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/a_first/part2/Keweew_Bailey_FISHc_048.jpg
58753226,"[['400', '400', ''], ['x', 'x', ''], ['10-40', '10-40', '400x10-40ft'], ['ft.', 'ft', '']]",1.75,400 x 10-40 ft.,400 x 10-40 ft.,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/a_first/part2/Keweew_Medora_FISHc_128.jpg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/a_first/part2/Keweew_Medora_FISHc_129.jpg
58642446,"[['One', 'One'], ['set', 'set'], ['of', 'of'], ['each', 'each'], ['net', 'net.']]",1.8,One set of each net,one set of each net ,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/single/Iron_Muffle_FISHc_002.jpg,
58642448,"[['wooded,'], ['hardwood'], ['and'], ['hemlook']]",1,"wooded, hardwood and hemlook",,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/single/Iron_Rock_FISHc_002.jpg,
58642494,[['fr3']],1,fr3,NA,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/single/Keweew_Glasson_FISHc_20200313160700287_0007.jpeg,
58642578,[['wooded']],1,wooded,,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/single/Keweew_Manganese_FISHc_20200313164845589_0003.jpeg,
58642583,"[[""5-8'"", '-']]",1,5-8',,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/single/Keweew_Manganese_FISHc_20200313164925647_0008.jpeg,
58733416,"[['about'], ['300'], ['sqft']]",1,about 300 sqft,300square feet,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Winnewan51_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Winnewan50_FISHc.jpeg
58733457,"[['edge'], ['of'], ['lily'], ['pads']]",1,edge of lily pads,edge of lily pads,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh207_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh206_FISHc.jpeg
58733458,"[['Along'], ['lily'], ['pads']]",1,Along lily pads,Along lily pads,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh205_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh204_FISHc.jpeg
58733461,"[['From'], ['shore'], ['directly'], ['out'], ['to'], ['deeper'], ['water.']]",1,From shore directly out to deeper water.,From shore directly out to deeper water,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh199_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh198_FISHc.jpeg
58733472,"[['Stretched'], ['on'], ['shoal'], ['across'], ['corner']]",1,Stretched on shoal across corner,Stretched on shoal across corner,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh179_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh178_FISHc.jpeg
58733473,"[['30’'], ['from'], ['shore;'], ['running'], ['(perpendicular)']]",1,30’ from shore; running (perpendicular),30 feet from shore,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh183_FISHc.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/Washtew_Walsh182_FISHc.jpeg
58733554,"[['125'], ['ft.']]",1,125 ft.,125feet,area_covered,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/StJoseph_Minnewaukon_FISHc_117.jpeg,https://changes-ifr.s3.us-east-2.amazows.com/ss1/FISHc/double/b_first/StJoseph_Minnewaukon_FISHc_116.jpeg
