subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back
58642439,"[['', '3', '', ""3'""], ['', 'ft', '', ''], ['', '-', '', '-'], [""3'-35'"", '35', ""3'-35'"", ""35'""], ['', 'ft', '', '']]",1.4,3 ft - 3'-35' ft,3-35 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Houghton_Bohmier_FISHc_002.jpg,NA
58642454,"[[""3'-9'"", ""3'-9'"", '3', ""3'-9'""], ['', '', 'ft', ''], ['', '', '-', ''], ['', '', '9', ''], ['', '', 'ft', '']]",1.4,3'-9' ft - 9 ft,3-9 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0006.jpeg,NA
58642470,"[[""4-6'"", '4-6ft', ""4-6'"", '4'], ['', '', '', '-'], ['', '', '', '6'], ['', '', '', 'ft']]",1.25,4-6' - 6 ft,4-6 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154525513_0001.jpeg,NA
58642493,"[['14', ""14-30'"", ""14-30'"", '14-30'], ['-', '', '', ''], [""30'"", '', '', '']]",1.333333333,14-30' - 30',14-30 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0021.jpeg,NA
58642526,"[['5', ""5'"", ""5-30'"", ""5'-30'""], ['ft', '', '', ''], ['-', '-', '', ''], ['30', ""30'."", '', ''], ['ft', '', '', '']]",1.2,5 ft - 30 ft,5-30 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0003.jpeg,NA
58642529,"[[""6'"", '', '', '6'], ['', '', '', 'ft'], ['-', '', '', '-'], [""22'"", ""6'-22'"", ""6'-22'"", '22'], ['', '', '', 'ft']]",1.4,6' ft - 6'-22' ft,6-22 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0007.jpeg,NA
58642530,"[['5', ""5'"", ""5'-20'"", ""5'-20'.""], ['-', '-', '', ''], ['20', ""20'"", '', '']]",1.333333333,20-May,5-20 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313162819863_0005.jpeg,NA
58642560,"[['0-7’', '0', ""0-7'"", ""0-7'""], ['', '-', '', ''], ['', ""7'"", '', '']]",1.333333333,0-7' - 7',0-7 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164452735_0004.jpeg,NA
58642567,"[['6', '', ''], ['-', '', ''], ['12', ""6-12'"", ""6-12'""], [""'"", '', '']]",1.25,6 - 6-12' ',6-12 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0006.jpeg,NA
58748584,"[['See', 'see', 'see'], ['Point', '', ''], ['of', 'below', 'below'], ['Examination', '', ''], ['notes', '', '']]",1.4,see Point below Examination notes,3-7 ; 4-25 ; 4-20 - feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_14.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_14p2.jpg
58748654,"[['(see', '(see', 'Tow'], ['', '', '1'], ['', '', ""99'-102'""], ['above)', 'above)', 'Tow'], ['', '', '2'], ['', '', ""25'""], ['', '', 'Tow3'], ['', '', ""27'-42'""], ['', '', 'Tow'], ['', '', '4'], ['', '', ""51'-84'""]]",1.181818182,(see 1 99'-102' above) 2 25' Tow3 27'-42' Tow 4 51'-84',99-102 ; 25 ; 27-42 ; 51-84 - feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix208_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix208p2_FISHc.jpg
58748656,"[[""0-4'"", '0-4""', '0-4m', '0'], ['', '', '', '-'], ['', '', '', '4'], ['', '', '', 'm']]",1,0-4' - 4 m,0-4 m,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix56_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix56p2_FISHc.jpg
58748661,"[['0-3-m', '0-3m', '0', '0-3m'], ['', '', '-', ''], ['', '', '3', ''], ['', '', 'meters', '']]",1.25,0-3m - 3 meters,0-3 m,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix62_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix62p2_FISHc.jpg
58748703,"[['8-12', '8-17ft', ""8-12'"", '8'], ['', '', '', '-'], ['', '', '', '12'], ['ft', '', '', 'ft']]",1.25,8-12 - 12 ft,8-12 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Geneserath_026_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Geneserath_026_FISHc_0002.jpg
58748712,"[['45-50', '45-69', '45', '45-50'], ['', '', '-', ''], ['', '', '50', '']]",1.333333333,45-50 - 50,45-50 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Geneserath_033_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Geneserath_033_FISHc_0002.jpg
58748752,"[['10', '10-10', '10-10', ""10'""], ['-', '', '', ''], ['10', '', '', '']]",1.333333333,10/10/10,10-10 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_066_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_066_FISHc_0002.jpg
58748753,"[['11-20', ""11-20'"", '11-20', '11'], ['', '', '', '-'], ['', '', '', '20']]",1.333333333,11/20/20,11-20 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_067_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_067_FISHc_0002.jpg
58748759,"[['12', '12-27', ""12-27'"", ""12-27'""], ['-', '', '', ''], ['27', '', '', '']]",1.333333333,12-27' - 27,12-27 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_073_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_073_FISHc_0002.jpg
58748763,"[['41-43', '41', '41-43', ""41-43'""], ['', '-', '', ''], ['', '43', '', '']]",1.333333333,41-43 - 43,41-43 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_077_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_077_FISHc_0002.jpg
58748767,"[['12-14', ""12-14'"", '12'], ['', '', '-'], ['', '', ""14'""]]",1,12-14 - 14',12-14 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_082_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_082_FISHc_0002.jpg
58748772,"[['42-51', '42', '42-51', ""42-5'""], ['', '-', '', ''], ['', '51', '', '']]",1.333333333,42-51 - 51,42-51 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_087_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_087_FISHc_0002.jpg
58748775,"[['50-52', '50', '50-52', ""50-52'""], ['', '-', '', ''], ['', '52', '', '']]",1.333333333,50-52 - 52,50-52 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_091_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_091_FISHc_0002.jpg
58748779,"[['10-20', '10-20', '10', ""10-20'""], ['', '', '-', ''], ['', '', '20', '']]",1.333333333,10/20/20,10-20 ,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_090_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_090_FISHc_0002.jpg
58748782,"[['12', ""12-20'"", '12-20', '12-20ft'], ['-', '', '', ''], ['20ft', '', 'ft', '']]",1,12 - 20ft,12-20 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_097_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_097_FISHc_0002.jpg
58748788,"[['8-18ft', '8', '8-16ft', '8-16'], ['', '-', '', ''], ['', '16', '', ''], ['', 'ft.', '', 'ft']]",1,8-18ft - 16 ft.,8-16 feet,depth_of_collection,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_102_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_102_FISHc_0002.jpg
