subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
58642440,"[['Jar', 'Jar'], ['23', '#23'], ['in', 'in'], ['part', 'part']]",1.75,Jar 23 in part,Jar 23 in part,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Charlevoix_Charlevoix217_FISHc.jpg,NA,
58642441,[['none']],1,none,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ionia_Woodard_FISHc_039.jpg,NA,
58642445,[['LSI']],1,LSI,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Crawford_NoName_FISHc_005.jpg,NA,
58642464,"[['???', 'Section'], ['', 'cut'], ['', 'off'], ['', 'from'], ['', 'scan']]",1,??? cut off from scan,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0003.jpeg,NA,Field No Cutoff
58642468,"[['1'], ['(?)']]",1,1 (?),NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0001.jpeg,NA,Field No Cutoff
58642486,"[['Cut'], ['off']]",1,Cut off,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0015.jpeg,NA,Field No Cutoff
58642487,[['Rp']],1,Rp,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0012.jpeg,NA,Field No Cutoff
58642492,"[[""can't""], ['read']]",1,can't read,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0018.jpeg,NA,Field No Cutoff
58642494,"[['spot'], ['tall']]",1,spot tall,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg,NA,Field No Cutoff
58642499,[['unclear']],1,unclear,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0004.jpeg,NA,Field No Cutoff
58642503,[['[unclear]']],1,[unclear],NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0003.jpeg,NA,Field No Cutoff
58642504,"[['cant'], ['see'], ['on'], ['pic']]",1,cant see on pic,NA,field_no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0007.jpeg,NA,Field No Cutoff
