"subject_id","data.aligned_text","data.consensus_score","data.consensus_text","data","column_name","front","back"
58642517,"[['rod'], ['and'], ['line']]",1,"rod and line","rod and line","gear_used_length","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0011.jpeg",NA
58642570,"[[""1-125'""], ['x'], ['1""bar']]",1,"1-125' x 1""bar",NA,"gear_used_length","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0008.jpeg",NA
58748887,"[['ahd']]",1,"ahd",NA,"gear_used_mesh","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_261.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Burt_FISHc_262.jpg"
58749338,"[['1.5""', '1', '', '1.5""'], ['', '1/2', '1&1/2""', ''], ['', 'inch', '', '']]",1.333333333,"1.5"" 1/2 inch","1.5 inches","gear_used_mesh","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Arnold19N_4W_S2-3_FISHc_058.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Arnold19N_4W_S2-3_FISHc_059.jpg"
58749588,"[['none']]",1,"none",NA,"gear_used_length","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_FiveLakes_FISHc_010.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_FiveLakes_FISHc_011.jpg"
58749588,"[['none']]",1,"none",NA,"gear_used_mesh","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_FiveLakes_FISHc_010.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_FiveLakes_FISHc_011.jpg"
58750464,"[['marshy;'], ['grass'], ['and'], ['partly'], ['wooded']]",1,"marshy; grass and partly wooded",NA,"gear_used_mesh","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_100.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_101.jpg"
58750714,"[['none']]",1,"none",NA,"gear_used_mesh","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_042.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Marion_FISHc_043.jpg"
58751413,"[['kind']]",1,"kind",NA,"gear_used_kind","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Perrault_FISHc_030.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Perrault_FISHc_031.jpg"
58751423,"[['Nothing'], ['written']]",1,"Nothing written",NA,"gear_used_length","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Rice_FISHc_021.jpg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Rice_FISHc_022.jpg"
