subject_id,gear_used_kind,gear_used_mesh,gear_used_length,gear,gear2,number,gear_mesh,mesh_units,gear_length,length_units,gear_effort,gear_effort_units,front,back,comments
58642439,"3-125feet feet experimental gill nets, 1-12feet common sense 0.25 inch",common sense 0.75 inches ,NA,seine,common,1,0.75,inches,12,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Houghton_Bohmier_FISHc_002.jpg,NA,
58642439,"3-125feet feet experimental gill nets, 1-12feet common sense 0.25 inch",common sense 0.75 inches ,NA,gill,experimental,3,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Houghton_Bohmier_FISHc_002.jpg,NA,
58642446,"2 exper. gill nets, and one 1inches bar net. one set of each net.",NA,125feet (each),gill,exper,2,,,125,feet,1,set,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iron_Muffle_FISHc_002.jpg,NA,
58642446,"2 exper. gill nets, and one 1inches bar net. one set of each net.",NA,125feet (each),gill,bar,1,1,inches,125,feet,1,set,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iron_Muffle_FISHc_002.jpg,NA,
58642447,3 gillnets,"2 experimental, 1 - 10.5inches.5 inch bar",125 feet each,gill,experimental,2,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iron_Pathic_FISHc_003.jpg,NA,
58642447,3 gillnets,"2 experimental, 1 - 10.5inches.5 inch bar",125 feet each,gill,bar,1,1.5,inches,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iron_Pathic_FISHc_003.jpg,NA,
58642471,25feet feet bag seine and common sense seine,0.5 in; ; 1/8 inches,25 feet; ; 6 feet,seine,bag,1,0.5,inches,25,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0002.jpeg,NA,
58642471,25feet feet bag seine and common sense seine,0.5 in; ; 1/8 inches,25 feet; ; 6 feet,seine,common,1,0.125,inches,6,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0002.jpeg,NA,
58642494,"2 - 2-125feet gill nets (1-125feet x graded exp., 1-125feet x 1inches bar) 200 sq. feet coverage, common sense minnow seine, 0.25inches.",common sense minnow seine 0.25 inches ,200 square feet ,seine,common,1,0.25,inches,200,sqfeet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg,NA,
58642494,"2 - 2-125feet gill nets (1-125feet x graded exp., 1-125feet x 1inches bar) 200 sq. feet coverage, common sense minnow seine, 0.25inches.",common sense minnow seine 0.25 inches ,200 square feet ,gill,exp,1,,,125,feet,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Glasson_FISHc_20200313160700287_0007.jpeg,NA,
