subject_id,begin_date_day,begin_date_month,begin_date_year,end_date_day,end_date_month,end_date_year,front,back,notes
58642503,15,August,1957,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161503169_0003.jpeg,NA,
58748645,13,August,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix175_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix175p2_FISHc.jpg,
58748687,29,June,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Fox_034_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Fox_034_FISHc_0002.jpg,
58748793,22,August,1957,23,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_107_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Walloon_107_FISHc_0002.jpg,
58748827,18,July,1956,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_179.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_ake_FISHc_180.jpg,
58748861,11,July,1939,12,July,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Black_FISHc_189.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Black_FISHc_190.jpg,
58748928,2,July,1971,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_CornwellImpoundment_FISHc_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_CornwellImpoundment_FISHc_033.jpg,
58749091,15,May,1970,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_FISHc_090.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_FISHc_091.jpg,
58749160,13,May,1970,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Weber_FISHc_085.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Weber_FISHc_086.jpg,
58749633,23,May,1967,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_071.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_072.jpg,
58749638,24,May,1967,25,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_083.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_084.jpg,
58749676,31,August,1966,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_LittleLong_FISHc_077.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_LittleLong_FISHc_078.jpg,
58749705,14,August,1950,15,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Long20N_4W_S22-26-27_FISHc_037.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Long20N_4W_S22-26-27_FISHc_038.jpg,
58749787,24,July,1972,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Windover_FISHc_114.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Windover_FISHc_115.jpg,
58749855,NA,September,1962,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Hardgrove_FISHc_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Hardgrove_FISHc_005.jpg,
58749865,3,August,1937,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Howes_FISHc_062.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Crawford_Howes_FISHc_063.jpg,
58749930,9,August,1971,NA,October,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_House_FISHc_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_House_FISHc_028.jpg,
58750058,17,July,1967,18,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Secord_FISHc_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gladwin_Secord_FISHc_054.jpg,
58750270,5,March,1957,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Albino_FISHc_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Albino_FISHc_008.jpg,
58750313,11,August,1959,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Bobcat_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Bobcat_FISHc_016.jpg,
58750349,23,June,NA,28,June,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cloverleaf_FISHc_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Cloverleaf_FISHc_051.jpg,
58750380,24,June,1960,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Devil'sHead_FISHc_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Devil'sHead_FISHc_027.jpg,
58750501,8,July,1947,9,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_174.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Gogebic_FISHc_175.jpg,
58750603,28,July,1959,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Hilltop_FISHc_045.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Hilltop_FISHc_046.jpg,
58750683,NA,July,1956,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Langford_FISHc_081.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Langford_FISHc_082.jpg,
58750770,29,June,1955,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Mink_FISHc_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Mink_FISHc_024.jpg,
58750926,15,May,1968,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Taps_FISHc_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Gogebic_Taps_FISHc_007.jpg,
58751135,26,August,1959,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Rennie_FISHc_070.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/GrandTraverse_Rennie_FISHc_071.jpg,
58751376,11,July,1955,12,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Otter_FISHc_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Otter_FISHc_036.jpg,
58751409,18,August,1959,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Penegore_FISHc_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Penegore_FISHc_022.jpg,
58751485,1,August,1949,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Stonington_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Stonington_FISHc_019.jpg,
58751492,6,August,1963,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_ThirteenMile_FISHc_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_ThirteenMile_FISHc_010.jpg,
58751500,9,August,1938,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ingham_Lansing_FISHc_062.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ingham_Lansing_FISHc_063.jpg,
58751515,29,August,1972,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ionia_Long_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ionia_Long_FISHc_034.jpg,
58751677,1,August,NA,6,August,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Brule_FISHc_072.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Brule_FISHc_073.jpg,
58751761,10,August,1960,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Deer_FISHc_048.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Deer_FISHc_049.jpg,
58751852,17,August,1961,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Glidden_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Glidden_FISHc_016.jpg,
58751863,22,August,1937,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Golden_FISHc_080.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Golden_FISHc_081.jpg,
58752212,23,August,1949,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Sunset_FISHc_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_Sunset_FISHc_031.jpg,
58752391,10,July,1946,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Batteese_FISHc_052.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Jackson_Batteese_FISHc_053.jpg,
58752674,20,July,1952,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalamazoo_Lawler_FISHc_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalamazoo_Lawler_FISHc_021.jpg,
58752691,2,July,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalamazoo_Long_FISHc_075.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kalamazoo_Long_FISHc_076.jpg,
58752863,18,October,1971,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Camp_FISHc_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Camp_FISHc_019.jpg,
58752955,12,September,1968,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Pine_FISHc_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Kent_Pine_FISHc_016.jpg,
58753104,15,August,1957,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Gratiot_FISHc_024.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Gratiot_FISHc_025.jpg,
58753112,NA,August,1957,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Gratiot_FISHc_040.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Gratiot_FISHc_041.jpg,
58753207,10,August,1956,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_084.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Keweenaw_Medora_FISHc_085.jpg,
58753349,3,September,NA,4,September,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_StarBig_FISHc_133.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_StarBig_FISHc_134.jpg,
58753353,3,September,NA,4,September,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_StarBig_FISHc_137.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_StarBig_FISHc_138.jpg,
58753432,31,August,NA,1,September,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Wolf_FISHc_197.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Lake_Wolf_FISHc_198.jpg,
58753560,26,September,1979,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ottawa_Macatawa_FISHc_72.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Ottawa_Macatawa_FISHc_73.jpeg,
58753819,13,June,1946,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Green_FISHc_20200224123234844_0064.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Green_FISHc_20200224123234844_0065.jpg,
58753870,20,August,1940,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Whitmore_47-153_1940_FISHc_005_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Washtenaw_Whitmore_47-153_1940_FISHc_005_02.jpg,
59964107,11,July,1951,12,July,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_HIKE_FISHc_0014_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_HIKE_FISHc_0014_2.jpeg,
59964147,10,July,NA,11,July,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_JOES_FISHc_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_JOES_FISHc_0001_2.jpeg,
59964393,1,August,NA,3,August,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_STELLA_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_STELLA_FISHc_0010_2.jpeg,
59964497,11,July,NA,12,July,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_TRUMAN_FISHc_0005_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ALGER_TRUMAN_FISHc_0005_2.jpeg,
59964953,NA,NA,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_INTERMEDIATE_FISHc_0010_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_INTERMEDIATE_FISHc_0010_2.jpeg,
59964955,NA,NA,NA,NA,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_INTERMEDIATE_FISHc_0011_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/FISHc/double/a_first/ANTRIM_INTERMEDIATE_FISHc_0011_2.jpeg,
