subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
58642470,"[['To', 'To'], ['determine', 'determine'], ['if', 'if'], ['any', 'any'], ['trout', 'trout'], ['remain', 'remain'], ['in', 'in'], ['pod', 'pond'], ['and', 'and'], ['id', 'if'], ['competing', 'competing'], ['species', 'species'], ['were', 'were'], ['present.', 'present']]",1.785714286,To determine if any trout remain in pod and id competing species were present.,To determine if any trout remain in pond and if competing species were present.,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154525513_0001.jpeg,NA,
58748580,"[['A', '', '', ''], ['few', '', '', ''], ['Iowa', '', '', ''], ['darters', '', '', ''], ['captured', '', '', ''], ['in', '', '', ''], ['seine.', '', '', ''], ['Young', '', '', ''], ['of', '', '', ''], ['the', '', '', ''], ['year', '', '', ''], ['largemouth', '', '', ''], ['bass', '', '', ''], ['and', '', '', ''], ['bluegills', '', '', ''], ['found', '', '', ''], ['abundantly', '', '', ''], ['amongst', '', '', ''], ['vegetation', '', '', ''], ['on', '', '', ''], ['east', '', '', ''], ['shore,', '', '', ''], ['also', '', '', ''], ['numerous', '', '', ''], ['small', '', '', ''], ['perch.', '', '', ''], ['Scale', 'Scale', 'Scale', 'Scal'], ['samples', 'samples', 'samples', 'samples'], ['take,', 'taken,', 'taken,', 'taken,'], ['but', 'but', 'but', 'but'], ['no', 'no', 'no', 'no'], ['fish', 'fish', 'fish', 'fish'], ['preserved.', 'preserved', 'preserved', 'preserved']]",1.545454545,"A few Iowa darters captured in seine. Young of the year largemouth bass and bluegills found abundantly amongst vegetation on east shore, also numerous small perch. Scale samples taken, but no fish preserved","Scale samples taken, but no fish preserved",remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_25.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Barneys_FISHc_25p2.jpg,
58748857,"[['Minnows,'], ['mayfly'], ['nymphs,'], ['and'], ['Chironomidae'], ['larvae']]",1,"Minnows, mayfly nymphs, and Chironomidae larvae",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Black_FISHc_187.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Black_FISHc_188.jpg,
58748864,"[['Numerous'], ['minnows,'], ['crayfish,'], ['small,'], ['rock'], ['bass,'], ['sunfish,'], ['SM'], ['bass,'], ['and'], ['suckers.'], ['Chironomida'], ['larvae'], ['and'], ['mayfly'], ['nymphs.']]",1,"Numerous minnows, crayfish, small, rock bass, sunfish, SM bass, and suckers. Chironomida larvae and mayfly nymphs.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Black_FISHc_195.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Black_FISHc_196.jpg,
58748917,"[['Many', 'Many'], ['painted', 'Painted'], ['turtles', 'Levilles'], ['in', 'in'], ['the', 'the'], ['lake,', 'lake,'], ['they', 'they'], ['chewed', 'chewed'], ['up', 'up'], ['about', 'about'], ['half', 'half'], ['of', 'of'], ['the', 'the'], ['fish', 'fish'], ['caught', 'caught'], ['in', 'in'], ['this', 'this'], ['set.', 'net.']]",1.833333333,"Many painted turtles in the lake, they chewed up about half of the fish caught in this set.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Cochran_FISHc_073.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Cochran_FISHc_074.jpg,
58748920,"[['Many'], ['painted'], ['turtles'], ['in'], ['the'], ['lake,'], ['they'], ['chewed'], ['up'], ['about'], ['half'], ['of'], ['the'], ['fish'], ['caught'], ['in'], ['this'], ['set.']]",1,"Many painted turtles in the lake, they chewed up about half of the fish caught in this set.",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Cochran_FISHc_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Cochran_FISHc_103.jpg,
58749174,"[['Forage'], ['fish']]",1,Forage fish,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_068.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_069.jpg,
58749283,"[['', 'Set'], ['', 'in'], ['', 'Cove'], ['', 'just'], ['not', 'south'], ['', 'of'], ['', 'point'], ['', 'at'], ['', 'SE'], ['mentioned', 'end'], ['', 'of'], ['', 'lake'], ['', 'enude'], ['', 'of'], ['', 'gravel'], ['', 'bay'], ['', '-'], ['', 'set'], ['', 'N&S']]",1,Set in Cove just not of point at SE mentioned of lake enude of gravel bay - set N&S,NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_094.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_095.jpg,
58749468,"[['No', 'NO', 'No'], ['fish', 'FISH', 'Fish.']]",1.5,No fish,No Fish.,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_041.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_042.jpg,
58749623,"[['n/a'], ['May'], ['22,23,'], ['1967']]",1,"n/a May 22,23, 1967",NA,remarks,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_George_FISHc_058.jpg,
