subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments
58642517,"[['not'], ['indicated']]",1,not indicated,NA,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161749389_0011.jpeg,NA,
58748584,"[['', 'Station', '', ''], ['', '(1)', '', ''], ['', '3-7', '', ''], ['', 'ft.;', '', ''], ['', '150', '', ''], ['', 'ft.', '', ''], ['', '3""', '', ''], ['', 'mesh', '', ''], ['', '%', '', ''], ['', '150', '', ''], ['', 'ft.', '', ''], ['', '2""', '', ''], ['', 'mesh', '', ''], ['', ""(300')"", '', ''], ['', 'Station', '', ''], ['', '(2)', '', ''], ['', '4-25', '', ''], ['', 'ft;', '', ''], ['', '250', '', ''], ['', 'ft.', '', ''], ['', 'net,', '', ''], ['', '2', '', ''], ['', 'exper.', '', ''], ['', 'gill', '', ''], ['', 'nets', '', ''], ['', 'Station', '', ''], ['', '(3)', '', ''], ['', '4-20', '', ''], ['', 'ft;', '', ''], ['', '275', '', ''], ['', 'ft.', '', ''], ['', 'net', '', ''], ['', '(150', '', ''], ['', 'ft.', '', ''], ['', '3""', '', ''], ['', 'net,', '', ''], ['', '&', '', ''], ['', '125', '', ''], ['', 'ft.', '', ''], ['', 'exper.', '', ''], ['', 'net)', '', ''], ['See', 'See', 'See', 'See'], ['below', 'diagram', 'below', 'below']]",1.11627907,"Station (1) 3-7 ft.; 150 ft. 3"" mesh % 150 ft. 2"" mesh (300') Station (2) 4-25 ft; 250 ft. net, 2 exper. gill nets Station (3) 4-20 ft; 275 ft. net (150 ft. 3"" net, & 125 ft. exper. net) See below","Station (1) 3-7 ft.; 150 ft. 3"" mesh % 150 ft. 2"" mesh (300') Station (2) 4-25 ft; 250 ft. net, 2 exper. gill nets Station (3) 4-20 ft; 275 ft. net (150 ft. 3"" net, & 125 ft. exper. net)",point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_14.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_14p2.jpg,
58748658,"[['net', 'Net', '', 'Net'], ['#7', '#7.', '', '#7'], ['', '', '', '-'], ['off', 'Off', 'off', 'off'], ['two', 'Two', 'two', 'Two'], ['mile', 'Mile', 'mile', 'Mile'], ['point', 'Point.', 'point,', 'Point'], ['', '', 'net', ''], ['', '', '#7', '']]",1.666666667,Net #7 - off two mile point net #7,Net #7 Off two mile point net,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix57_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix57p2_FISHc.jpg,
58749375,"[['Gill'], ['net']]",1,Gill net,NA,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Bertha_FISHc_107.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Bertha_FISHc_108.jpg,
58749468,"[['north', 'NORTH', 'North'], ['end', 'END', 'end'], ['of', 'OF', 'of'], ['lake,', 'LAKE,', 'lake,'], ['about', 'ABOUT', 'about'], ['400', '400', '400'], ['yds', 'YARDS', 'yds'], ['from', 'FROM', 'from'], ['north', 'NORTH', 'North'], ['shore.', 'SHORE', 'shore']]",1.8,"north end of lake, about 400 yds from north shore.","North end of lake, about 400 yds from north shore.",point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_041.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_042.jpg,
58751374,"[['none'], ['noted']]",1,none noted,NA,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Otter_FISHc_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Otter_FISHc_030.jpg,
58751423,"[['Nothing'], ['written']]",1,Nothing written,NA,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Rice_FISHc_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Rice_FISHc_022.jpg,
58751454,"[['same', 'Same', 'Same'], ['as', 'as', 'as'], ['8', '8', '8'], ['7/16-17/86', '7/16', '7/16-17/56'], ['', '-', ''], ['', '17/56', '']]",1.833333333,Same as 8 7/16-17/86 - 17/56,Same as 8 7/16-17/56,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Sandy_FISHc_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Houghton_Sandy_FISHc_043.jpg,
58751604,"[['SE', '', 'SE¼'], ['1/4', 'SE-1/4', ''], ['of', 'of', 'of'], ['SW', '', 'SE¼'], ['1/4', 'SW-1/4,', ''], ['Sec.', 'Section', 'Sec.'], ['27', '27', '27']]",1.714285714,SE 1/4 of SW 1/4 Sec. 27,SE 1/4 of SW 1/4 Sec. 27,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_FooteDamPond_FISHc_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iosco_FooteDamPond_FISHc_037.jpg,
58751900,"[['', '(Map'], ['(drawn', 'drawn'], ['', 'on'], ['map)', 'card)']]",1,(Map (drawn on map),map drawn,point_of_examination,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_HannahWebb_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part2/Iron_HannahWebb_FISHc_047.jpg,
