subject_id,data.aligned_text,data.consensus_score,min,max,units1,column_name,front,back
58642472,"[['67-75', '67-75', '67-75', '67'], ['', '', 'F', '-'], ['', '', '', '75']]",1.666666667,67,75,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0014.jpeg,NA
58642478,"[['68', 'Wooded', '68', '68'], ['F', 'to', 'F', 'F'], ['', 'south;', '', ''], ['', 'state', '', ''], ['', 'park', '', ''], ['', 'building', '', ''], ['', 'to', '', ''], ['', 'north', '', '']]",1.5,68,NA,F,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0007.jpeg,NA
58642548,"[['wooded;'], ['some'], ['alders;'], ['marsh']]",1,NA,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_LacLaBelle_FISHc_20200313163306000_0006.jpeg,NA
58642555,[['surface']],1,NA,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164026272_0009.jpeg,NA
58642567,"[['38', '38F', '38F', '38'], ['F', '', '', '']]",1.5,38,NA,F,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0006.jpeg,NA
58748654,"[['241', '241C', '241', '241C'], ['c', '', 'C', '']]",1.5,24.1,NA,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix208_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix208p2_FISHc.jpg
58748666,"[[""400'""]]",1,NA,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix97_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix97p2_FISHc.jpg
58748721,"[['69F', '69F', '69'], ['', '', 'F']]",1.5,69,NA,F,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Round_010_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Round_010_FISHc_0002.jpg
58748924,"[['19', '19-23', '19C', '19'], ['c-23', 'C', '', 'C'], ['c', '', '-', '-'], ['', '', '23C', '23'], ['', '', '', 'C']]",1.6,19,23,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_CornwellImpoundment_FISHc_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_CornwellImpoundment_FISHc_018.jpg
58748938,"[['12-14', '12-14', '12', '12-14C'], ['', '', '-', ''], ['', '', '14', ''], ['C', 'C', 'C', '']]",1.75,12,14,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Douglas_FISHc_057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Douglas_FISHc_058.jpg
58749000,"[['21C-24C', '21', '21C'], ['', 'C', ''], ['', '-', '-'], ['', '24', '24C'], ['', 'C', '']]",1.2,21,24,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Long_FISHc_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Long_FISHc_032.jpg
58749003,"[['21-24C', '21C', '21-24', '21'], ['', '', 'C', 'C'], ['', '-', '', '-'], ['', '24C', '', '24'], ['', '', '', 'C']]",1.4,21,24,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Long_FISHc_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Long_FISHc_034.jpg
58749007,"[['', '21', '21', '21'], ['', 'degree', '', 'C'], ['', 'c', '', ''], ['', '-', '', '-'], ['21C-24C', '24', 'c-24', '24'], ['', 'degree', '', 'C'], ['', 'c', 'c', '']]",1.714285714,21,24,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_LongLake_FISHc_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_LongLake_FISHc_030.jpg
58749013,"[['21', '21C', '21o', '21C-24C'], ['C', '', 'C', ''], ['-', '-', '-', ''], ['24', '24C', '24oC', ''], ['C', '', '', '']]",1.6,21,24,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_LongLake_FISHc_039.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_LongLake_FISHc_040.jpg
58749066,"[['', '', '80', ''], ['', '', 'F', ''], ['', '', '(2', ''], ['', '', 'PM', ''], ['77', '77', ""7-2')"", '77']]",1.4,77,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Roberts_FISHc_055.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Roberts_FISHc_056.jpg
58749129,"[['18-26', '18', '18-26c', '18-26'], ['', '-', '', ''], ['', '26', '', ''], ['C', 'C', '', 'C']]",1.75,18,26,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Twins_FISHc_057.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Twins_FISHc_058.jpg
58749130,"[['12', '18-26', '18', '18-26C'], ['-', '', '-', ''], ['', '', '26', ''], ['20C', 'C', 'C', '']]",1.5,18,26,C,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Twins_FISHc_047.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Cheboygan_Twins_FISHc_048.jpg
58749212,[['surface']],1,NA,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_142.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Caribou_FISHc_143.jpg
58749260,"[['76', '12', '76', '76'], ['', '-', '', 'F'], ['', ""25'"", '', '']]",1.666666667,76,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Monacle_FISHc_047.jpg
58749284,[['surface']],1,NA,NA,NA,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Chippewa_Piatt_FISHc_010.jpg
58749435,"[['56', '56F', '56', '56F'], ['degree', '', 'F', ''], ['temperature', '', '', '']]",1.333333333,56,NA,F,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Budd_FISHc_050.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Budd_FISHc_051.jpg
58749462,"[['78F-75F', '78F', '78', '78F-75F'], ['', '', 'F', ''], ['', '-', '-', ''], ['', '75F', '75', ''], ['', '', 'F', '']]",1.4,75,78,F,water_surface_temperature,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_035.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Clare_Cranberry19N_4W_S1-12_FISHc_036.jpg
