subject_id,data.aligned_text,data.consensus_score,data.consensus_text,data,column_name,front,back,comments,
58642462,"[['10-11:30', '10:00', '10-11:30', '10-11:30'], ['pm', '-', 'p.m.', 'p.m.'], ['', '11:30', '', ''], ['', 'am', '', '']]",1.75,10-11:30 p.m. 11:30 am,10pm-11:30pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0004.jpeg,NA,NA,
58642464,"[['????', 'Section'], ['', 'cut'], ['', 'off'], ['', 'from'], ['', 'scan']]",1,???? cut off from scan,,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313152123646_0003.jpeg,NA,card cutoff,
58642472,"[['6:15AM', '6:15AM-6:15PM', '6:15', '6:15am'], ['', '', 'am', ''], ['-', '', '-', '-'], ['6:15PM', '', '6:15', '6:15pm'], ['', '', 'pm', ''], ['(variable)', '(variable)', '(variable)', '(variable)']]",1.833333333,6:15AM am - 6:15PM pm (variable), 6:15am-6:15pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155651942_0014.jpeg,NA,NA,
58642474,[['4pm-']],1,4pm-,,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Eliza_FISHc_20200313154627930_0003.jpeg,NA,card cutoff,
58642483,"[['5:45', '5:45'], ['p.m.', 'p.m.'], ['-', '-'], ['7:', '7']]",1.75,5:45 p.m. - 7:,,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0011.jpeg,NA,card cutoff,
58642484,"[['3', '3:15-4', '3:15'], ['-', '', ''], ['15', '', ''], ['-', '', '-'], ['4', '', '4'], ['p.m.', 'p.m.', 'p.m.']]",1.666666667,3 - 15 - 4 p.m.,3:15pm-4pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0013.jpeg,NA,NA,
58642486,"[['Cut'], ['off']]",1,Cut off,,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0015.jpeg,NA,card cutoff,
58642488,"[['4', ''], ['-', ''], ['4:15', '4-4:15']]",1,4 - 4:15,4pm-4:15pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0014.jpeg,NA,NA,
58642489,"[['8', '8:00', '8'], ['a.m.-6:30', 'am', 'a.m.'], ['', '-', '-'], ['', '6:30', '6:30'], ['p.m.', 'pm', 'p.m.']]",1.8,8 a.m.-6:30 - 6:30 p.m.,8am-6:30pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0017.jpeg,NA,NA,
58642491,"[['', '9', '', ''], ['', '-', '', ''], ['9-10', '10', '9-10', '9:00-10:00'], ['p.m.', 'p.m.', 'pm', 'pm']]",1.5,9 - 9-10 p.m.,9pm-10pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0020.jpeg,NA,NA,
58642493,"[['Set', '', 'Set', 'set'], ['8', '8', '8', '8pm'], ['P.M.', 'pm', 'P.M.', 'and'], ['6/19/52', '-', '6/19/52', ''], ['', '', 'Lifted', 'lifted'], ['', '8', '8', ''], ['', 'am', 'A.M.', '8am'], ['', '', '6/20/52', '']]",1.75,Set 8 P.M. 6/19/52 Lifted 8 am 6/20/52,8pm-8am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_FannyHooe_FISHc_20200313155906394_0021.jpeg,NA,NA,
58642567,"[['Set:', 'Set:', 'Set'], ['6', '6', ''], ['p.m.', 'p.m.', '6pm'], ['October', 'October', ''], ['27', '27', ''], ['', 'Raised:', 'Raised'], ['', '8', '8'], ['', 'a.m.', 'am'], ['', 'October', ''], ['', '28', '']]",1.6,Set: 6 p.m. October 27 Raised: 8 a.m. October 28,6pm-8am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0006.jpeg,NA,NA,
58642577,"[['', '9', '9', '9:00'], ['9am-8am', 'a.m.', 'a.m.-8a.m.', 'am'], ['', '-', '', '-'], ['', '8', '', '8:00'], ['', 'a.m.', '', 'am']]",1.4,9 9am-8am - 8 a.m.,9am-8am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0004.jpeg,NA,NA,
58642578,"[['3pm-8:30', '3', '3pm', '3'], ['a.m.', '', '-', ''], ['', 'p.m.-8.30a.m.', '8:30am', 'PM-8:30AM']]",1.333333333,3 a.m. p.m.-8.30a.m.,3pm-8:30am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0003.jpeg,NA,NA,
58748584,"[['2:00', '2', ''], ['pm', 'PM', '2PM-9AM'], ['-', '-', ''], ['9:00', '9', ''], ['am', 'AM', '']]",1.2,2:00 pm - 9:00 am,2pm-9am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_14.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Booth_FISHc_14p2.jpg,NA,
58748608,"[['5', '', '5'], ['pm', '', 'p.m.'], ['-', '', '-'], ['11:00', '5PM-11:00am', '11:00'], ['am', '', 'a.m.']]",1.6,5 pm - 11:00 am,5pm-11am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix138_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix138p2_FISHc.jpg,NA,
58748633,"[['11:00', '11AM-8AM', '11AM', '11AM'], ['am', '', '', ''], ['-', '', '-', '-'], ['8:00', '', '8:', ''], ['am', '', 'AM.', '8AM']]",1.6,11AM am - 8:00 am,11am-8am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix163_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix163p2_FISHc.jpg,NA,
58748634,"[['10:30', '10:30', '1030'], ['A.M.-12:30', 'A.M.', 'AM-12:30'], ['', '-', ''], ['', '12:30', ''], ['P.M.', 'P.M.', 'PM']]",1.4,10:30 A.M.-12:30 - 12:30 P.M.,10:30am-12:30pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix166_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix166p2_FISHc.jpg,NA,
58748642,"[['11am', '11', '11', '11AM'], ['to', 'AM', 'AM.', ''], ['8am', '-', '-', '-'], ['8/13/59', '8', '8:', '8:am'], ['', 'am', 'am', '']]",1.8,11 to - 8/13/59 am,11am-8am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix172_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix172p2_FISHc.jpg,NA,
58748643,"[['3', '', '3'], ['P.M.', '3PM', 'p.m.'], ['', '-', '-'], ['10', '10AM', '10'], ['AM', '', 'a.m.']]",1.6,3 P.M. - 10 AM,3pm-10am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix174_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix174p2_FISHc.jpg,NA,
58748644,"[['10:30', '10:30am', '10:30am'], ['am', '', ''], ['-', '-', '-'], ['11:30', '', ''], ['am', '11am', '11am']]",1.8,10:30am am - 11:30 11am,10:30am-11am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix173_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix173p2_FISHc.jpg,NA,
58748665,"[['10-12', '10', '10-12PM', '10-12'], ['PM', 'am', '', 'PM'], ['', '-', '', ''], ['', '12', '', ''], ['', 'pm', '', '']]",1.4,10-12 PM - 12 pm,10pm-12pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix90_FISHc.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Charlevoix90p2_FISHc.jpg,NA,
58748685,"[['11', '11am-9am', '11am-9am', '11:00'], ['am', '', '', 'am'], ['-', '', '', '-'], ['9', '', '', '9:00'], ['am', '', '', 'am']]",1.8,11am-9am am - 9 am,11am-9am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Fox_033_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Fox_033_FISHc_0002.jpg,NA,
58748692,"[['1:00pm', '1:00', '1:00'], ['', 'pm', 'pm'], ['to', 'to', 'to'], ['3:00pm.', '3:00', '3:00'], ['', 'pm', 'pm.'], ['', '(26', ''], ['', 'hrs)', '']]",1.714285714,1:00 pm to 3:00 pm (26 hrs),1pm-3pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Fox_036_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Fox_036_FISHc_0002.jpg,NA,
58748703,"[['3:45', '3.45pm-1.00pm', '3:45', '3:45pm1:00pm'], ['pm', '', 'pm', ''], ['', '', '-', ''], ['1:00', '', '1:00', ''], ['pm', '', 'pm', '']]",1.8,3:45 pm - 1:00 pm,3:45pm-1pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Geneserath_026_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Geneserath_026_FISHc_0002.jpg,NA,
58748720,"[['11:30', '11:30', '11:30'], ['A', 'a.m.', 'A.M'], ['m.', '-', '-'], ['to', '', ''], ['12:', '12', '12'], ['am', '', ''], ['noon', 'noon', 'noon']]",1.857142857,11:30 A - to 12 am noon,11:30am-12pm,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Round_009_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Round_009_FISHc_0002.jpg,NA,
58748723,"[['11', '', '', '11'], ['A.M.', '11am-11am', '11A.M.', 'AM'], ['-', '', '', '-'], ['11', '', '11am', '11'], ['A.M.', '', '', 'AM']]",1.6,11 A.M. - 11 A.M.,11am-11am,time,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Round_008_FISHc_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/double/a_first/part1/Charlevoix_Round_008_FISHc_0002.jpg,NA,
