subject_id,gear_used_kind,gear_used_length,gear_used_mesh,gear,gear2,number,gear_effort,gear_effort_units,front,back,
58642441,3 experimental gill nets,125feet,5 sizes,gillnet,experimental,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Ionia_Woodard_FISHc_039.jpg,NA,
58642442,common minnow seine,30 feet,6 per inch,seine,common,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iosco_BassBig_FISHc_006.jpg,NA,
58642443,bag seine,30 feet,.25 inch,seine,bag,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iron_Balcomb_FISHc_002.jpg,NA,
58642445,5 gill nets,NA,NA,gillnet,gill,5,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Crawford_NoName_FISHc_005.jpg,NA,
58642448,3 gill nets,125 feet each,experimental,gillnet,experimental,3,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Iron_Rock_FISHc_002.jpg,NA,
58642449,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0002.jpeg,NA,
58642450,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0003.jpeg,NA,
58642451,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0004.jpeg,NA,
58642452,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0007.jpeg,NA,
58642453,1 nylon gill net,125feet,exp,gillnet,exp,1,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Bailey_FISHc_20200313151715951_0005.jpeg,NA,
