subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T5,Gear Used – Length,,,,
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T7,Area Covered,,,,
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T8,Water Surface Temperature,[['--']],1.0,1.0,--
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T9,Depth / Depth of Collection,"[['5'], ['-'], [""12'""]]",1.0,1.0,5 - 12'
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T10,Point of Examination,"[['Off'], ['weed'], ['beds'], ['on'], ['S'], ['and'], ['E'], ['shores.']]",1.0,1.0,Off weed beds on S and E shores.
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T11,Field No.,,,,
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T12,Remarks,,,,
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T17,Time,"[['Set:'], ['4'], ['p.m.,'], ['Aug.'], ['31']]",1.0,1.0,"Set: 4 p.m., Aug. 31"
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T18,Gear Used – Kind,"[['2'], ['-'], [""125'""], ['x'], ['graded'], ['exp.'], ['gill'], ['net,'], [""1-125'""], ['x'], ['1'], ['1/4""'], ['bar'], ['grill'], ['net.']]",1.0,1.0,"2 - 125' x graded exp. gill net, 1-125' x 1 1/4"" bar grill net."
58642507,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Gratiot_FISHc_20200313161708412_0005.jpeg,,17792,T19,Gear Used – Mesh,,,,
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T5,Gear Used – Length,"[[""125'.""]]",1.0,1.0,125'
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T7,Area Covered,"[['1'], ['set.']]",1.0,1.0,1 set.
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T8,Water Surface Temperature,"[['70'], ['degrees'], ['F.']]",1.0,1.0,70  F
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T9,Depth / Depth of Collection,"[[""8-15'""]]",1.0,1.0,8-15'
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T10,Point of Examination,"[['Off'], ['rock'], ['ledge'], ['and'], ['collapsed'], ['foot'], ['bride'], ['on'], ['north'], ['shore.']]",1.0,1.0,Off rock ledge and collapsed foot bride on north shore.
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T11,Field No.,"[['None'], ['preserved']]",1.0,1.0,None preserved
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T12,Remarks,,,,
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T17,Time,"[['Left'], ['overnight']]",1.0,1.0,Left overnight
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T18,Gear Used – Kind,"[['Exper.'], ['gill'], ['net.']]",1.0,1.0,Exper. gill net.
58642563,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164755305_0003.jpeg,,17792,T19,Gear Used – Mesh,"[['1/2""'], ['-'], ['2"".']]",1.0,1.0,"1/2"" - 2""."
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T5,Gear Used – Length,"[[""125'.""]]",1.0,1.0,125'
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T7,Area Covered,"[['1'], ['set.']]",1.0,1.0,1 set.
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T8,Water Surface Temperature,"[['70'], ['degrees'], ['F.']]",1.0,1.0,70  F
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T9,Depth / Depth of Collection,"[[""8-15'""]]",1.0,1.0,8-15'
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T10,Point of Examination,"[['East'], ['Central'], ['portion'], ['of'], ['lake.']]",1.0,1.0,East Central portion of lake.
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T11,Field No.,"[['None'], ['preserved.']]",1.0,1.0,None preserved
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T12,Remarks,,,,
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T17,Time,"[['Left'], ['overnight.']]",1.0,1.0,Left overnight
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T18,Gear Used – Kind,"[['Bar'], ['gill'], ['net.']]",1.0,1.0,Bar gill net.
58642576,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/FISHc/single/Keweenaw_Manganese_FISHc_20200313164845589_0007.jpeg,,17792,T19,Gear Used – Mesh,"[['1'], ['inch'], ['bar.']]",1.0,1.0,1 inch bar.
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T5,Gear Used – Length,,,,
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T7,Area Covered,"[['--', '--']]",2.0,2.0,--
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T8,Water Surface Temperature,"[['76', '76', '76-79'], ['-', '-', 'degrees'], ['79', '79', ''], ['F', 'F.', 'F.']]",3.0,2.0,76 - 79 F
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T9,Depth / Depth of Collection,"[['1', '1', ''], ['-', '-', ''], ['20', '20', '1-20'], ['feet', 'feet.', 'feet.']]",3.0,2.0,1 - 20 feet.
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T10,Point of Examination,"[['Randomly', 'Randomly', 'Randomly']]",3.0,3.0,Randomly
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T11,Field No.,,,,
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T12,Remarks,"[['After', 'After', 'After'], ['a', 'a', 'a'], ['virtual', 'virtual', 'virtual'], ['absence', 'absence', 'absence'], ['of', 'of', 'of'], ['bluegills', 'bluegills', 'bluegills'], ['in', 'in', 'in'], ['previous', 'previous', 'previous'], ['surveys,', 'surveys.', 'surveys,'], ['it', 'it', 'it'], ['now', 'now', 'now'], ['appears', 'appears', 'appears'], ['a', 'a', 'a'], ['large', 'large', 'large'], ['crop', 'crop', 'crop'], ['is', 'is', 'is'], ['approaching', 'approaching', 'approaching'], ['a', 'a', 'a'], ['desirable', 'desirable', 'desirable'], ['catchable', 'catchable', 'catchable'], ['size.', 'size.', 'size.'], ['Saw', 'Saw', 'Saw'], ['4-5', '4-5', '4-5'], ['nice', 'nice', 'nice'], ['largemouth', 'largemouth', 'largemouth'], ['bass', 'bass', 'bass'], ['while', 'while', 'while'], ['setting', 'setting', 'setting'], ['nets', 'nets', 'nets'], ['but', 'but', 'but'], ['caught', 'caught', 'caught'], ['none', 'none', 'none'], ['during', 'during', 'during'], ['the', 'the', 'the'], ['survey.', 'survey.', 'survey.']]",3.0,2.9714285714285715,"After a virtual absence of bluegills in previous surveys, it now appears a large crop is approaching a desirable catchable size. Saw 4-5 nice largemouth bass while setting nets but caught none during the survey."
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T17,Time,,,,
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T18,Gear Used – Kind,"[['2', '2', '2'], ['Fyke,', 'Fyke,', 'Fyke,'], ['2', '2', '2'], ['Trap,', 'Trap,', 'Trap,'], ['and', 'and', 'and'], ['2', '2', '2'], ['gill', 'Gill', 'Gill'], ['nets', 'Nets', 'nets']]",3.0,2.75,"2 Fyke, 2 Trap, and 2 Gill nets"
82937306,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Crockery_FISHc_30.jpeg,,17792,T19,Gear Used – Mesh,,,,
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17792,T5,Gear Used – Length,"[[""20'"", ""20'"", ""20'""], ['x', 'x', 'X'], [""4'"", ""4'"", ""4'""]]",3.0,2.6666666666666665,20' x 4'
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17792,T7,Area Covered,"[['About', 'About', 'About'], ['10', '10', '10'], ['yds.', 'yds.', 'yds.'], ['of', 'of', 'of'], ['shoreline', 'shoreline', 'shoreline'], ['-', '-', '-'], ['two', 'two', 'two'], ['hauls', 'hauls', 'hauls']]",3.0,3.0,About 10 yds. of shoreline - two hauls
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17792,T8,Water Surface Temperature,,,,
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17792,T9,Depth / Depth of Collection,"[['2', '2', '2'], ['ft.', 'ft.', 'ft.'], ['to', 'to', 'to'], ['shore', 'shore', 'shore']]",3.0,3.0,2 ft. to shore
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17792,T10,Point of Examination,"[['Northeast', 'Northeast', 'Northeast'], ['shore,', 'shore,', 'shore,'], ['on', 'on', 'on'], ['the', 'the', 'the'], ['bathing', 'bathing', 'bathing'], ['area', 'area', 'area'], ['just', 'just', 'just'], ['west', 'west', 'west'], ['of', 'of', 'of'], ['the', 'the', 'the'], ['pavillion.', 'pavillion.', 'pavillion.']]",3.0,3.0,"Northeast shore, on the bathing area just west of the pavillion."
82937307,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/FISHc/cards/single/Ottawa_Fennessey_FISHc_36.jpeg,,17792,T11,Field No.,"[['7', '7', '7']]",3.0,3.0,7
