"subject_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text"
58642437,"T10","[['Boyne', 'Beyne', 'Boyne', 'Boyne'], ['City', 'City-just', 'City', 'City'], ['-', '', '-', '-'], ['just', '', 'just', 'just'], ['at', 'at', 'at', 'at'], ['mouth', 'mouth', 'mouth', 'mouth'], ['of', 'of', 'of', 'of'], ['Boyne', 'Beyne', 'Boyne', 'Boyne'], ['River', 'River', 'River', 'River']]",4,3.44444444444444,"Boyne City - just at mouth of Boyne River"
58642437,"T11","[['Jar', 'Jar', 'Jar', 'Jar'], ['#2', '#2', '#2', '#2'], ['(in', '(in', '(in', '(in'], ['part)', 'part)', 'part)', 'part)']]",4,4,"Jar #2 (in part)"
58642437,"T12","[['No', 'No', 'No', 'No'], ['host', '', 'host', 'host'], ['-', '', '-', '-'], ['lamprey', 'host-lamprey', 'lamprey', 'lamprey'], ['take', 'taken', 'taken', 'taken'], ['free', '', 'free', 'free'], ['-', '', '-', '-'], ['swimming', 'free-swimming', 'swimming', 'swimming']]",4,3.125,"No host - lamprey taken free - swimming"
58642439,"T5","[['common'], ['sense'], ['1/4"".']]",1,1,"common sense 1/4""."
58642439,"T7","[['250sq.', '250', '250', '250'], ['', 'sq.', 'sq.ft.', 'sq.'], ['ft.', 'ft.', '', 'ft.']]",4,2.66666666666667,"250 sq. ft."
58642439,"T9","[['', '3', '', ""3'""], ['', 'ft', '', ''], ['', '-', '', '-'], [""3'-35'"", '35', ""3'-35'"", ""35'""], ['', 'ft', '', '']]",4,1.4,"3 ft - 3'-35' ft"
58642439,"T10","[['Along', 'Along', 'Along', 'Along'], ['N', 'N', 'N', 'N'], ['and', 'and', 'and', 'and'], ['E', 'E', 'E', 'E'], ['bank', 'banks.', 'banks.', 'banks.']]",4,3.8,"Along N and E banks."
58642439,"T12","[['No', 'No', 'No', 'No'], ['fish', 'fish', 'fish', 'fish'], ['taken', 'taken', 'taken', 'taken'], ['in', 'in', 'in', 'in'], ['gill', 'gill', 'gill', 'gill'], ['nets.', 'nets.', 'nets.', 'nets.'], ['6', '6', '6', '6'], ['or', 'or', 'or', 'or'], ['8', '8', '8', '8'], ['sticklebacks', 'sticklebacks', 'sticklebacks', 'sticklebacks'], ['seen', 'seem', 'seen', 'seen'], ['along', 'along', 'along', 'along'], ['shoal', 'shoal.', 'shoal.', 'shoal.']]",4,3.84615384615385,"No fish taken in gill nets. 6 or 8 sticklebacks seen along shoal."
58642439,"T17","[['Set', 'Set', 'Set', 'Set'], ['', '8', '8', '8'], ['8pm', 'p.m.', 'p.m.', 'p.m.'], ['8/6,', '8/6,', '8/6,', '8/6,'], ['raised', 'raised', 'raised', 'raised'], ['10am', '10', '10', '10'], ['', 'a.m.', 'a.m.', 'a.m.'], ['8/7', '8/7', '8/7.', '8/7.']]",4,3.25,"Set 8 p.m. 8/6, raised 10 a.m. 8/7"
58642439,"T18","[[""3-125'"", '3-125', ""3-125'"", ""3-125'""], ['', 'ft', '', ''], ['experimantal', 'experimental', 'experimental', 'experimental'], ['gill', 'gill', 'gill', 'gill'], ['nets,', 'nets,', 'nets,', 'nets,'], [""1-12'"", '1-12ft', ""1-12'"", ""1-12'""], ['', 'common', '', 'common'], ['', 'sense', '', 'sense'], ['', '1/4', '', '1/4"".'], ['', 'inch', '', '']]",4,2.4,"3-125' ft experimental gill nets, 1-12' common sense 1/4 inch"
58642439,"T19","[['common'], ['sense'], ['1/4""']]",1,1,"common sense 1/4"""
58642440,"T10","[['Harten', 'Harton', 'Harton', 'Harton'], ['Bay', 'Bay', 'Bay', 'Bay']]",4,3.5,"Harton Bay"
