subject_id,URL 4,URL 8,workflow_id,task,data.value
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T1,[{'II / 2': 3}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T7,[{'III / 3': 3}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T13,[{'IV / 4': 3}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T19,[{'V / 5': 3}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T25,[{'IX / 9 ': 3}]
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T1,[{'II / 2': 3}]
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T7,[{'IV / 4': 3}]
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,20630,T1,[{'I / 1': 3}]
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,20630,T7,[{'II / 2': 3}]
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,20630,T1,[{'I / 1': 3}]
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,20630,T7,[{'II / 2': 3}]
80048604,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_Devil_s_GROW_007.jpeg,,20630,T13,[{'III / 3': 3}]
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,20630,T1,[{'II / 2': 3}]
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,20630,T7,[{'III / 3': 3}]
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,20630,T13,[{'IV / 4': 3}]
80048605,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_001.jpeg,,20630,T19,[{'V / 5': 3}]
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,20630,T1,[{'II / 2': 3}]
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,20630,T7,[{'III / 3': 3}]
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,20630,T13,[{'IV / 4': 3}]
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,20630,T19,[{'V / 5': 3}]
80048606,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_002.jpeg,,20630,T25,[{'VI / 6': 3}]
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,20630,T1,[{'II / 2': 3}]
80048607,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Genesee_MiddlePond_GROW_003.jpeg,,20630,T7,[{'IV / 4': 3}]
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,20630,T1,[{'I / 1': 3}]
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,20630,T7,[{'II / 2': 3}]
80048608,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gladwin_MottImpoundment_GROW_012.jpeg,,20630,T13,[{'III / 3': 3}]
80048609,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Gratiot_ReedParkPond_GROW_003.jpeg,,20630,T1,[{'II / 2': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20630,T1,[{'II / 2': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20630,T7,[{'III / 3': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20630,T13,[{'IV / 4': 2}]
80048612,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Ingham_Jones_GROW_010.jpeg,,20630,T1,[{'II / 2': 3}]
