subject_id,data.value,age1,review,age2,review2,age,column_name,URL_front,URL_back,comments
59962449,[{'II / 2': 1}],2,1,NA,NA,NA,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_SCOTTLOWER_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_SCOTTLOWER_GROW_0001_2.jpeg,
59962612,"[{'I / 1': 1, 'II / 2': 1}]",1,1,2,1,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_2.jpeg,
59962612,[{'II / 2': 1}],2,1,NA,NA,2,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_BRISTOL_GROW_0001_2.jpeg,
59962610,[{'V / 5': 1}],5,1,NA,NA,NA,Fourth row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
59962610,[{'VI / 6': 1}],6,1,NA,NA,NA,5th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_CARTER_GROW_0004_2.jpeg,
59962683,[{'VII / 7': 1}],7,1,NA,NA,7,5th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
59962683,[{'VIII / 8': 1}],8,1,NA,NA,8,6th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
59962683,[{'IX / 9 ': 1}],9,1,NA,NA,9,7th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
59962683,[{'XI / 11': 1}],11,1,NA,NA,11,8th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/BARRY_PINE1N10W5678_GROW_0004_2.jpeg,
59962803,"[{'V / 5': 1, 'VI / 6': 1}]",5,1,6,1,6,Fourth row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/CALHOUN_BRACELOWER_GROW_0002_2.jpeg,
58753955,[{'III / 3': 1}],3,1,NA,NA,3,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_221.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_222.jpg,
58753955,[{'IV / 4': 1}],4,1,NA,NA,4,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_221.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_222.jpg,
58753955,[{'V / 5': 1}],5,1,NA,NA,5,Third row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_221.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_222.jpg,
58753955,[{'VI / 6': 1}],6,1,NA,NA,6,Fourth row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_221.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_222.jpg,
58754274,[{'IV / 4': 1}],4,1,NA,NA,2,Third row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clinton_Round_GROW_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clinton_Round_GROW_009.jpg,two sections for crappie
58754407,[{'IV / 4': 1}],4,1,NA,NA,4,Third row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_AfricanBig_GROW_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_AfricanBig_GROW_008.jpg,
58754458,"[{'VI / 6': 1, 'V / 5': 1}]",6,1,5,1,0,6th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Lindsley_GROW_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Lindsley_GROW_006.jpg,
58754458,"[{'VII / 7': 1, 'VI / 6': 1}]",7,1,6,1,6,7th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Lindsley_GROW_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Lindsley_GROW_006.jpg,
