subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,
72069376,58642672,T3,[['8.0']],1,1,8,8,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_156.jpg,,
72069376,58642672,T9,[['11.0']],1,1,11,11,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_156.jpg,,
72069409,59688138,T3,[['11.1']],1,1,11.1,11.1,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/Mecosta_Round_GROW_034.jpg,,
72069428,61360535,T9,[['12.3']],1,1,12.3,12.3,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/WASHTENAW_JOSLIN_GROW_0003.jpeg,,
72069434,59962246,T9,"[['9.5', '---']]",2,1,9.5,9.5,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0003_2.jpeg,
72069434,59962246,T15,"[['10.6', '---']]",2,1,10.6,10.6,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0003_2.jpeg,
72069459,59962408,T4,"[['8.1', '8.1', '8.1'], ['', '', '('], ['', '', '4'], ['', '', 'oz)']]",3,1.5,8.1 ( 4 oz),8.1,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_SIXTEENMILE_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_SIXTEENMILE_GROW_0004_2.jpeg,
72069459,59962408,T10,"[['9.1', '9.1', '9.1'], ['', '', '(6.2'], ['', '', 'oz)']]",3,1.666666667,9.1 (6.2 oz),9.1,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_SIXTEENMILE_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_SIXTEENMILE_GROW_0004_2.jpeg,
72069459,59962408,T16,"[['10.0', '10.0', '10.0'], ['', '', '(8'], ['', '', 'oz)']]",3,1.666666667,10.0 (8 oz),10,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_SIXTEENMILE_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_SIXTEENMILE_GROW_0004_2.jpeg,
72069461,59962423,T4,[['7.9']],1,1,7.9,7.9,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_BAKER_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_BAKER_GROW_0001_2.jpeg,
72069468,59962427,T27,[['9.9']],1,1,9.9,9.9,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUCK_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUCK_GROW_0004_2.jpeg,
72069469,59962430,T3,"[['7.4-8.0', '7-4.7-8.0']]",2,1,7.4-8.0,7.4-8.0,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUMONT_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUMONT_GROW_0001_2.jpeg,
72069479,59962442,T4,"[['6.5', '164.0', '164']]",3,1,6.5,164,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_OSTERHOUT_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_OSTERHOUT_GROW_0002_2.jpeg,
72069479,59962442,T34,"[['9.3', '236.0', '236']]",3,1,9.3,236,6th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_OSTERHOUT_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_OSTERHOUT_GROW_0002_2.jpeg,
