subject_id,URL 4,URL 8,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T2,"[['1', '1', '1']]",3,3,1,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T3,[['-']],1,1,-,[1325481]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T4,"[['6.5', '6.5', '-6.5']]",3,2,6.5,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T8,"[['6', '6', '6']]",3,3,6,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T9,"[['8.1-8.7', '8.1-8.7', '8.1-8.7']]",3,3,8.1-8.7,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T10,"[['8.5', '8.5', '8.5']]",3,3,8.5,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T14,"[['1', '1', '1']]",3,3,1,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T15,[['-']],1,1,-,[1325481]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T16,"[['9.0', '9.0', '9.0']]",3,3,9,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T20,"[['1', '1', '1']]",3,3,1,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T21,[['-']],1,1,-,[1325481]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T22,"[['9.7', '9.7', '9.7']]",3,3,9.7,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T26,"[['1', '1', '1']]",3,3,1,"[1312868, 1061480, 1325481]"
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T27,[['-']],1,1,-,[1325481]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20630,T28,"[['11.7', '11.7', '11.7']]",3,3,11.7,"[1312868, 1061480, 1325481]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T2,"[['6', '6', '6']]",3,3,6,"[1312868, 1484814, 1325481]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T3,"[['5.8-6.7', '5.8-6.7', '5.8-6.7']]",3,3,5.8-6.7,"[1312868, 1484814, 1325481]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T4,"[['6.2', '6.2', '6.2']]",3,3,6.2,"[1312868, 1484814, 1325481]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T8,"[['1', '1', '1']]",3,3,1,"[1312868, 1484814, 1325481]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T9,"[['9.4', '9.4', '9.4']]",3,3,9.4,"[1312868, 1484814, 1325481]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20630,T10,"[['9.4', '9.4', '9.4']]",3,3,9.4,"[1312868, 1484814, 1325481]"
80048602,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Eaton_DavisRoadPit_GROW_003.jpeg,,20630,T2,"[['10', '10', '10']]",3,3,10,"[1312868, 1484814, 1325481]"
