"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
59687983,"3-128","BIG","ALLEGAN",3,3,185.42,210.82,195.58,14,"June",1984,14,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALLEGAN_BIG_GROW_0001.jpeg",NA
58642606,"1-4","ALCONADAM","Alcona",5,1,312.42,NA,312.42,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",6,1,330.2,NA,330.2,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
59687986,"3-308","GREEN","ALLEGAN",4,1,246.38,NA,246.38,8,"November",1984,9,"November",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALLEGAN_GREEN_GROW_0001.jpeg",NA
59687984,"4-4","FLETCHERBACKWATER","ALPENA",4,1,190.5,NA,190.5,15,"March",1989,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALPENA_FLETCHERBACKWATER_GROW_0002.jpeg",NA
59687993,"8-493","CARTER","BARRY",2,4,175.26,198.12,185.42,16,"September",1985,18,"September",1985,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_CARTER_GROW_0005.jpeg",NA
59687993,"8-493","CARTER","BARRY",3,2,210.82,223.52,218.44,16,"September",1985,18,"September",1985,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_CARTER_GROW_0005.jpeg",NA
59687993,"8-493","CARTER","BARRY",4,4,215.9,246.38,233.68,16,"September",1985,18,"September",1985,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_CARTER_GROW_0005.jpeg",NA
59687994,"8-57","CLEAR","BARRY",1,2,66.04,81.28,73.66,8,"June",1983,8,"June",1983,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_CLEAR_GROW_0001.jpeg",NA
59687994,"8-57","CLEAR","BARRY",3,2,226.06,NA,226.06,8,"June",1983,8,"June",1983,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_CLEAR_GROW_0001.jpeg",NA
59687997,"8-84","FINE","BARRY",1,2,162.56,182.88,NA,12,"June",1984,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_FINE_GROW_0001.jpeg",NA
59687997,"8-84","FINE","BARRY",2,3,190.5,208.28,NA,12,"June",1984,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_FINE_GROW_0001.jpeg",NA
59687997,"8-84","FINE","BARRY",3,5,213.36,226.06,220.98,12,"June",1984,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_FINE_GROW_0001.jpeg",NA
59687997,"8-84","FINE","BARRY",4,2,259.08,261.62,NA,12,"June",1984,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_FINE_GROW_0001.jpeg",NA
59688002,"8-623","HALL","BARRY",2,2,208.28,284.48,246.38,31,"October",1983,31,"October",1983,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/BARRY_HALL_GROW_0002.jpeg",NA
59688006,"13-36","OFTHEWOODS","CALHOUN",3,22,185.42,231.14,208.28,28,"March",1994,30,"March",1994,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/CALHOUN_LAKEOFTHEWOODS_GROW_0002.jpeg",NA
59688006,"13-36","OFTHEWOODS","CALHOUN",4,3,182.88,238.76,215.9,28,"March",1994,30,"March",1994,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/CALHOUN_LAKEOFTHEWOODS_GROW_0002.jpeg",NA
59688006,"13-36","OFTHEWOODS","CALHOUN",5,9,243.84,266.7,256.54,28,"March",1994,30,"March",1994,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/CALHOUN_LAKEOFTHEWOODS_GROW_0002.jpeg",NA
59688006,"13-36","OFTHEWOODS","CALHOUN",6,5,238.76,276.86,266.7,28,"March",1994,30,"March",1994,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/CALHOUN_LAKEOFTHEWOODS_GROW_0002.jpeg",NA
59688006,"13-36","OFTHEWOODS","CALHOUN",7,2,279.4,284.48,281.94,28,"March",1994,30,"March",1994,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/CALHOUN_LAKEOFTHEWOODS_GROW_0002.jpeg",NA
59688006,"13-36","OFTHEWOODS","CALHOUN",8,2,292.1,302.26,297.18,28,"March",1994,30,"March",1994,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/CALHOUN_LAKEOFTHEWOODS_GROW_0002.jpeg",NA
58642649,"19-201","OVID","Clinton",0,2,175.26,180.34,177.8,18,"June",1981,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA
58642649,"19-201","OVID","Clinton",2,6,177.8,210.82,196.85,18,"June",1981,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA
58642649,"19-201","OVID","Clinton",3,4,190.5,215.9,198.12,18,"June",1981,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA
58642649,"19-201","OVID","Clinton",4,1,218.44,NA,218.44,18,"June",1981,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA
58642651,"19-21","PARK","Clinton",1,1,111.76,NA,111.76,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642651,"19-21","PARK","Clinton",2,9,109.22,137.16,119.38,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642651,"19-21","PARK","Clinton",3,16,119.38,172.72,147.32,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642651,"19-21","PARK","Clinton",4,13,165.1,218.44,185.42,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642651,"19-21","PARK","Clinton",5,12,182.88,241.3,208.28,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642651,"19-21","PARK","Clinton",6,12,193.04,246.38,228.6,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642651,"19-21","PARK","Clinton",7,3,228.6,281.94,251.46,7,"December",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA
58642654,"26-20","PRATTS","Gladwin",2,4,198.12,210.82,203.2,29,"October",1986,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Pratts_GROW_002.jpg",NA
58642665,"27-1012","ELBOW","Gogebic",2,6,119.38,165.1,129.54,18,"August",1981,18,"August",1981,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Elbow_GROW_002.jpg",NA
58642665,"27-1012","ELBOW","Gogebic",3,8,167.64,185.42,177.8,18,"August",1981,18,"August",1981,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Elbow_GROW_002.jpg",NA
58642665,"27-1012","ELBOW","Gogebic",5,5,231.14,241.3,236.22,18,"August",1981,18,"August",1981,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Elbow_GROW_002.jpg",NA
58642665,"27-1012","ELBOW","Gogebic",6,4,243.84,251.46,247.65,18,"August",1981,18,"August",1981,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Elbow_GROW_002.jpg",NA
58642665,"27-1012","ELBOW","Gogebic",7,7,254,281.94,264.16,18,"August",1981,18,"August",1981,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Elbow_GROW_002.jpg",NA
58642670,"27-193","LONG","Gogebic",3,2,218.44,220.98,219.71,1,"July",1977,1,"July",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Long_GROW_002.jpg",NA
58642670,"27-193","LONG","Gogebic",4,3,231.14,327.66,279.4,1,"July",1977,1,"July",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Long_GROW_002.jpg",NA
58642670,"27-193","LONG","Gogebic",7,1,317.5,NA,317.5,1,"July",1977,1,"July",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Long_GROW_002.jpg",NA
58642671,"27-495","MARION","Gogebic",5,1,248.92,NA,248.92,8,"June",1982,10,"June",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg",NA
58642672,"27-495","MARION","Gogebic",3,1,203.2,NA,203.2,28,"July",1987,28,"July",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_156.jpg",NA
58642672,"27-495","MARION","Gogebic",5,1,279.4,NA,279.4,28,"July",1987,28,"July",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_156.jpg",NA
58642677,"28-84","ARBUTUS","GrandTraverse",2,1,106.68,NA,106.68,11,"June",1990,15,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA
58642677,"28-84","ARBUTUS","GrandTraverse",4,1,144.78,NA,144.78,11,"June",1990,15,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA
58642695,"34-21","MORRISON","Ionia",2,3,145,165,156,27,"September",1978,28,"September",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg",NA
58642695,"34-21","MORRISON","Ionia",3,1,170,NA,170,27,"September",1978,28,"September",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg",NA
58642693,NA,NA,NA,1,6,164,203,183,28,"September",1978,28,"September",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_PortlandImpoundment_GROW_001.jpg",NA
58642701,"34-93","SESSIONS","Ionia",2,1,NA,NA,200.66,6,"April",1990,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA
58642701,"34-93","SESSIONS","Ionia",3,8,241.3,259.08,248.92,6,"April",1990,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA
58642701,"34-93","SESSIONS","Ionia",4,5,248.92,274.32,261.62,6,"April",1990,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA
58642701,"34-93","SESSIONS","Ionia",5,2,266.7,269.24,269.24,6,"April",1990,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA
58642701,"34-93","SESSIONS","Ionia",6,2,271.78,276.86,274.32,6,"April",1990,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA
58642708,"36-363","EMILY","Iron",1,2,160.02,162.56,160.02,11,"September",1995,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Emily_GROW_021.jpg",NA
58642708,"36-363","EMILY","Iron",5,1,350.52,NA,350.52,11,"September",1995,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Emily_GROW_021.jpg",NA
58642726,"37-98","HALLS","Isabella",2,4,172.72,185.42,177.8,16,"August",1989,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Halls_GROW_099.jpg",NA
58642723,NA,NA,NA,2,1,144.78,NA,144.78,31,"October",1991,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA
58642723,NA,NA,NA,3,4,149.86,157.48,154.94,31,"October",1991,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA
58642723,NA,NA,NA,4,22,152.4,208.28,170.18,31,"October",1991,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA
58642723,NA,NA,NA,5,1,182.88,NA,182.88,31,"October",1991,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Herrick_GROW_003.jpg",NA
58642732,"39-145","EAGLE","Kalamazoo",0,19,114.3,137.16,124.46,27,"September",1984,27,"September",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA
58642732,"39-145","EAGLE","Kalamazoo",2,26,241.3,327.66,276.86,27,"September",1984,27,"September",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA
58642732,"39-145","EAGLE","Kalamazoo",3,4,289.56,312.42,NA,27,"September",1984,27,"September",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA
58642732,"39-145","EAGLE","Kalamazoo",4,3,345.44,350.52,NA,27,"September",1984,27,"September",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg",NA
58642746,NA,NA,NA,3,9,147.32,160.02,152.4,27,"October",1987,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Battjes_GROW_003.jpg",NA
58642746,NA,NA,NA,4,1,154.94,NA,154.94,27,"October",1987,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Battjes_GROW_003.jpg",NA
58642746,NA,NA,NA,5,3,160.02,215.9,180.34,27,"October",1987,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Battjes_GROW_003.jpg",NA
58642746,NA,NA,NA,6,2,236.22,269.24,254,27,"October",1987,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Battjes_GROW_003.jpg",NA
58642746,NA,NA,NA,7,3,276.86,299.72,289.56,27,"October",1987,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Battjes_GROW_003.jpg",NA
58642744,"41-209","DEAN","Kent",3,18,160,198,178,2,"May",1978,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Dean_GROW_003.jpg",NA
58642744,"41-209","DEAN","Kent",4,14,168,218,192,2,"May",1978,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Dean_GROW_003.jpg",NA
58642744,"41-209","DEAN","Kent",5,1,249,NA,249,2,"May",1978,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Dean_GROW_003.jpg",NA
58642749,"41-510","LIME","Kent",1,1,167,NA,167,14,"November",1978,22,"November",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Lime_GROW_006.jpg",NA
58642767,"41-278","PINEISLANDBIG","Kent",2,1,193,NA,193,2,"October",1978,3,"October",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg",NA
58642772,NA,NA,NA,5,3,175.26,190.5,180.34,15,"March",1980,NA,"March",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Versluis_GROW_002.jpg",NA
58642786,"42-33","LACLABELLE","Keweenaw",3,1,236.22,NA,236.22,6,"July",1995,8,"July",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_LacLaBelle_GROW_20200313162155093_0002.jpeg",NA
58642807,"44-271","LONG","Lapeer",1,5,106.68,119.38,114.3,19,"July",1989,19,"July",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Long8N_10E_S18_FISHc_002.jpg",NA
58642807,"44-271","LONG","Lapeer",2,10,142.24,175.26,152.4,19,"July",1989,19,"July",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Long8N_10E_S18_FISHc_002.jpg",NA
58642807,"44-271","LONG","Lapeer",3,2,162.56,215.9,187.96,19,"July",1989,19,"July",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Long8N_10E_S18_FISHc_002.jpg",NA
58642807,"44-271","LONG","Lapeer",4,1,266.7,NA,266.7,19,"July",1989,19,"July",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Long8N_10E_S18_FISHc_002.jpg",NA
