subject_id,URL 4,URL 8,task,Full Task Text,data.value
58642639,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Naomikong_GROW_002.jpg,,T1,First row age group [Dropdown],[{'II / 2': 3}]
58642655,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,T1,First row age group [Dropdown],[{'III / 3': 3}]
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,T1,First row age group [Dropdown],[{'I / 1': 3}]
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,T19,Fourth row age group [Dropdown],[{'IV / 4': 3}]
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,T25,5th row age group [Dropdown],[{'V / 5': 3}]
58642706,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg,,T1,First row age group [Dropdown],[{'I / 1': 3}]
58642706,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg,,T7,Second row age group [Dropdown],[{'II / 2': 3}]
58642706,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg,,T13,Third row age group [Dropdown],[{'III / 3': 3}]
58642706,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg,,T19,Fourth row age group [Dropdown],[{'IV / 4': 3}]
58642706,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg,,T25,5th row age group [Dropdown],"[{'V / 5': 2, 'VIII / 8': 1}]"
58642740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Rainbow_GROW_002.jpg,,T1,First row age group [Dropdown],[{'II / 2': 3}]
58642740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Rainbow_GROW_002.jpg,,T7,Second row age group [Dropdown],[{'III / 3': 3}]
58642780,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155651942_0001.jpeg,,T1,First row age group [Dropdown],[{'IV / 4': 3}]
