subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text
58642639,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Naomikong_GROW_002.jpg,,20393,T2,First row Number of Fish [Text],"[['2', '2', '2']]",3.0,3.0,2
58642639,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Naomikong_GROW_002.jpg,,20393,T3,First row Length Range [Text],"[['235-235mm', '235-235', '235-235']]",3.0,2.0,235-235
58642639,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Naomikong_GROW_002.jpg,,20393,T4,First row Mean Length [Text],"[['235mm', '235', '235'], ['', '(9.3"")', '(9.3"")']]",3.0,2.0,"235 (9.3"")"
58642655,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,20393,T2,First row Number of Fish [Text],"[['1', '1', '1']]",3.0,3.0,1
58642655,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,20393,T3,First row Length Range [Text],"[['10.8', '10.8', '10.8']]",3.0,3.0,10.8
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,20393,T2,First row Number of Fish [Text],"[['4', '4', '4']]",3.0,3.0,4
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,20393,T3,First row Length Range [Text],"[['7.6-8.8', '7.6-8.8', '7.6-8.8']]",3.0,3.0,7.6-8.8
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,20393,T4,First row Mean Length [Text],"[['8.3', '8.3', '8.3']]",3.0,3.0,8.3
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,20393,T8,Second row Number of Fish [Text],"[['11', '11', '11']]",3.0,3.0,11
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,20393,T9,Second row Length Range [Text],"[['9.0-10.8', '9.0-10.8', '9.0-10.8']]",3.0,3.0,9.0-10.8
58642705,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg,,20393,T10,Second row Mean Length [Text],"[['10.1', '10.1', '10.1']]",3.0,3.0,10.1
