subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
80048650,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Mackinac_Round_GROW_013.jpeg,,20393,T2,First row Number of Fish [Text],"[['2', '2', '2']]",3,3,2,"[1691537, 1484814, 1312868]"
80048650,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Mackinac_Round_GROW_013.jpeg,,20393,T3,First row Length Range [Text],"[['9.5-11.5', '9.5-11.5', '9.5-11.5']]",3,3,9.5-11.5,"[1691537, 1484814, 1312868]"
80048650,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Mackinac_Round_GROW_013.jpeg,,20393,T4,First row Mean Length [Text],"[['10.5', '10.5', '10.5']]",3,3,10.5,"[1691537, 1484814, 1312868]"
82937336,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0002.jpeg,20393,T2,First row Number of Fish [Text],"[['2', '2', '2']]",3,3,2,"[1691537, 1484814, 1312868]"
82937336,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0002.jpeg,20393,T3,First row Length Range [Text],"[['6.4-8.1', '6.4-8.1', '6.4-8.1']]",3,3,6.4-8.1,"[1691537, 1484814, 1312868]"
82937336,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0002.jpeg,20393,T4,First row Mean Length [Text],"[['7.3', '7.3', '7.3']]",3,3,7.3,"[1691537, 1484814, 1312868]"
82937336,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0002.jpeg,20393,T8,Second row Number of Fish [Text],"[['8', '8', '8']]",3,3,8,"[1691537, 1484814, 1312868]"
82937336,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0002.jpeg,20393,T9,Second row Length Range [Text],"[['10.7-12.7', '10.7-12.7', '10.7-12.7']]",3,3,10.7-12.7,"[1691537, 1484814, 1312868]"
82937336,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0001.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Marquette_Island_GROW_20191202100403563_0002.jpeg,20393,T10,Second row Mean Length [Text],"[['11.5', '11.5', '11.5']]",3,3,11.5,"[1691537, 1484814, 1312868]"
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,20393,T2,First row Number of Fish [Text],"[['1', '1', '1']]",3,3,1,"[1691537, 1484814, 1312868]"
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,20393,T3,First row Length Range [Text],"[['5.8', '5.8', '5.8']]",3,3,5.8,"[1691537, 1484814, 1312868]"
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,20393,T4,First row Mean Length [Text],"[['5.8', '5.8', '5.8']]",3,3,5.8,"[1691537, 1484814, 1312868]"
82942106,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,20393,T2,First row Number of Fish [Text],"[['1', '1', '1']]",3,3,1,"[1691537, 1484814, 1312868]"
82942106,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,20393,T3,First row Length Range [Text],"[['5.8', '5.8', '5.8']]",3,3,5.8,"[1691537, 1484814, 1312868]"
82942106,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,20393,T4,First row Mean Length [Text],"[['5.8', '5.8', '5.8']]",3,3,5.8,"[1691537, 1484814, 1312868]"
