"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642639,"17-548","NAOMIKONG","Chippewa",2,2,235,235,235,30,"October",1980,30,"October",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Naomikong_GROW_002.jpg",NA
58642655,"20-44","MARGRETHE","Crawford",3,1,274.32,NA,274.32,16,"May",1988,19,"May",1988,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg",NA
58642705,"36-19","DEADMANS","Iron",1,4,193.04,223.52,210.82,29,"September",1987,29,"September",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg",NA
58642705,"36-19","DEADMANS","Iron",2,11,228.6,274.32,256.54,29,"September",1987,29,"September",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg",NA
58642705,"36-19","DEADMANS","Iron",3,14,276.86,320.04,297.18,29,"September",1987,29,"September",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg",NA
58642705,"36-19","DEADMANS","Iron",4,3,330.2,365.76,345.44,29,"September",1987,29,"September",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg",NA
58642705,"36-19","DEADMANS","Iron",5,1,431.8,NA,431.8,29,"September",1987,29,"September",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_067.jpg",NA
58642706,"36-19","DEADMANS","Iron",1,4,193.04,223.52,210.82,29,"September",1987,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg",NA
58642706,"36-19","DEADMANS","Iron",2,11,228.6,274.32,256.54,29,"September",1987,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg",NA
58642706,"36-19","DEADMANS","Iron",3,14,276.86,320.04,297.18,29,"September",1987,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg",NA
58642706,"36-19","DEADMANS","Iron",4,3,330.2,365.76,345.44,29,"September",1987,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg",NA
58642706,"36-19","DEADMANS","Iron",5,1,431.8,NA,431.8,29,"September",1987,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Deadmans_GROW_066.jpg",NA
58642740,"40-292","RAINBOW","Kalkaska",2,2,203.2,254,228.6,7,"January",1970,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Rainbow_GROW_002.jpg",NA
58642740,"40-292","RAINBOW","Kalkaska",3,1,322.58,NA,322.58,7,"January",1970,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Rainbow_GROW_002.jpg",NA
58642780,"42-146","FANNYHOOE","Keweenaw",4,1,360.68,NA,360.68,3,"June",1982,3,"June",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155651942_0001.jpeg",NA
58642820,"65-8","GEORGE","OGEMAW",3,8,218.44,281.94,241.3,4,"April",1984,17,"April",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg",NA
58642820,"65-8","GEORGE","OGEMAW",4,1,294.64,NA,294.64,4,"April",1984,17,"April",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg",NA
58642848,"75-927","DUTCHFRED","Schoolcraft",0,1,164,NA,164,30,"September",1980,1,"October",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_DutchFred_GROW_26.jpeg",NA
58642848,"75-927","DUTCHFRED","Schoolcraft",1,5,355,390,371,30,"September",1980,1,"October",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_DutchFred_GROW_26.jpeg",NA
58642848,"75-927","DUTCHFRED","Schoolcraft",2,5,405,498,445,30,"September",1980,1,"October",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_DutchFred_GROW_26.jpeg",NA
58746201,"75-461","MID","Schoolcraft",2,2,210.82,236.22,223.52,13,"September",1984,NA,"September",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_016.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_015.jpeg"
58746201,"75-461","MID","Schoolcraft",3,1,309.88,NA,309.88,13,"September",1984,NA,"September",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_016.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_015.jpeg"
58746201,"75-461","MID","Schoolcraft",4,11,335.28,378.46,353.06,13,"September",1984,NA,"September",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_016.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_015.jpeg"
58746202,"75-461","MID","Schoolcraft",2,3,205.74,210.82,207.264,12,"September",1984,12,"September",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_014.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_013.jpeg"
58746202,"75-461","MID","Schoolcraft",3,9,266.7,317.5,287.02,12,"September",1984,12,"September",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_014.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_013.jpeg"
