code,month
98b5474a32123,January
890cb903ea19e,February
c0e349a2b57e2,March
c10d1711c586e,April
f8221df39887,May
c04b87f2c9237,June
eac425a55b474,July
b65f0b39a1782,August
d506c1133b83d,September
316cb2a46a922,October
b43bbca0a37a5,November
5eb7efb7c1466,December
1966a875a70d2,Same as Begin Date (Month)
947d08f69281b,January
13da0ada59754,February
9a3f443b300b8,March
ce8f108ed4357,April
41fef42a9d15e,May
f0e1aeff201be,June
2ef4a93fd756b,July
47ddeb339107e,August
ea0681065fef1,September
a86c200b6e39d,October
b5c6abef5857f,November
27b22074314ad,December
c3ecf8cf751a5,Same as Begin Date (Day)
8ae79aa0db4ed,Same as Begin Date (Year)
