subject_id,workflow_id,task,reducer,data.value,data.aggregation_version
58642605,17771,T0,dropdown_reducer,[{'f8221df39887': 4}],3.4.5
58642605,17771,T1,dropdown_reducer,[{'23': 4}],3.4.5
58642605,17771,T2,dropdown_reducer,[{'1990': 4}],3.4.5
58642605,17771,T3,dropdown_reducer,"[{'41fef42a9d15e': 2, '1966a875a70d2': 2}]",3.4.5
58642605,17771,T4,dropdown_reducer,[{'24': 4}],3.4.5
58642605,17771,T5,dropdown_reducer,"[{'1990': 2, '8ae79aa0db4ed': 2}]",3.4.5
58642606,17771,T0,dropdown_reducer,[{'c04b87f2c9237': 4}],3.4.5
58642606,17771,T1,dropdown_reducer,[{'4': 4}],3.4.5
58642606,17771,T2,dropdown_reducer,[{'1990': 3}],3.4.5
58642606,17771,T3,dropdown_reducer,"[{'47ddeb339107e': 1, '1966a875a70d2': 2, 'f0e1aeff201be': 1}]",3.4.5
58642606,17771,T4,dropdown_reducer,[{'8': 3}],3.4.5
58642606,17771,T5,dropdown_reducer,"[{'1990': 2, '8ae79aa0db4ed': 2}]",3.4.5
58642607,17771,T0,dropdown_reducer,[{'d506c1133b83d': 4}],3.4.5
58642607,17771,T1,dropdown_reducer,[{'20': 4}],3.4.5
58642607,17771,T2,dropdown_reducer,[{'1982': 4}],3.4.5
58642607,17771,T3,dropdown_reducer,"[{'ea0681065fef1': 2, '1966a875a70d2': 2}]",3.4.5
58642607,17771,T4,dropdown_reducer,[{'22': 4}],3.4.5
58642607,17771,T5,dropdown_reducer,"[{'1982': 2, '8ae79aa0db4ed': 2}]",3.4.5
58642608,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58642608,17771,T1,dropdown_reducer,[{'26': 4}],3.4.5
58642608,17771,T2,dropdown_reducer,[{'1984': 4}],3.4.5
58642608,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642608,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58642608,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58642609,17771,T0,dropdown_reducer,[{'d506c1133b83d': 4}],3.4.5
58642609,17771,T1,dropdown_reducer,[{'21': 4}],3.4.5
58642609,17771,T2,dropdown_reducer,[{'1982': 4}],3.4.5
58642609,17771,T3,dropdown_reducer,"[{'ea0681065fef1': 3, '1966a875a70d2': 1}]",3.4.5
58642609,17771,T4,dropdown_reducer,[{'22': 4}],3.4.5
58642609,17771,T5,dropdown_reducer,"[{'1982': 3, '8ae79aa0db4ed': 1}]",3.4.5
58642610,17771,T0,dropdown_reducer,[{'890cb903ea19e': 4}],3.4.5
58642610,17771,T1,dropdown_reducer,[{'27': 4}],3.4.5
58642610,17771,T2,dropdown_reducer,[{'1983': 3}],3.4.5
58642610,17771,T3,dropdown_reducer,,3.4.5
58642610,17771,T4,dropdown_reducer,,3.4.5
58642610,17771,T5,dropdown_reducer,,3.4.5
58642611,17771,T0,dropdown_reducer,[{'f8221df39887': 4}],3.4.5
58642611,17771,T1,dropdown_reducer,[{'15': 4}],3.4.5
58642611,17771,T2,dropdown_reducer,[{'1985': 4}],3.4.5
58642611,17771,T3,dropdown_reducer,,3.4.5
58642611,17771,T4,dropdown_reducer,,3.4.5
58642611,17771,T5,dropdown_reducer,,3.4.5
58642612,17771,T0,dropdown_reducer,[{'316cb2a46a922': 4}],3.4.5
58642612,17771,T1,dropdown_reducer,[{'20': 4}],3.4.5
58642612,17771,T2,dropdown_reducer,[{'1982': 4}],3.4.5
58642612,17771,T3,dropdown_reducer,[{'1966a875a70d2': 2}],3.4.5
58642612,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58642612,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58642613,17771,T0,dropdown_reducer,[{'c10d1711c586e': 4}],3.4.5
58642613,17771,T1,dropdown_reducer,[{'30': 4}],3.4.5
58642613,17771,T2,dropdown_reducer,[{'1969': 4}],3.4.5
58642613,17771,T3,dropdown_reducer,[{'1966a875a70d2': 2}],3.4.5
58642613,17771,T4,dropdown_reducer,,3.4.5
58642613,17771,T5,dropdown_reducer,,3.4.5
58642614,17771,T0,dropdown_reducer,[{'eac425a55b474': 3}],3.4.5
58642614,17771,T1,dropdown_reducer,[{'5': 3}],3.4.5
58642614,17771,T2,dropdown_reducer,[{'1984': 2}],3.4.5
58642614,17771,T3,dropdown_reducer,[{'47ddeb339107e': 3}],3.4.5
58642614,17771,T4,dropdown_reducer,[{'9': 3}],3.4.5
58642614,17771,T5,dropdown_reducer,[{'1984': 2}],3.4.5
58642615,17771,T0,dropdown_reducer,[{'d506c1133b83d': 3}],3.4.5
58642615,17771,T1,dropdown_reducer,[{'7': 3}],3.4.5
58642615,17771,T2,dropdown_reducer,[{'1984': 3}],3.4.5
58642615,17771,T3,dropdown_reducer,,3.4.5
58642615,17771,T4,dropdown_reducer,,3.4.5
58642615,17771,T5,dropdown_reducer,,3.4.5
58642616,17771,T0,dropdown_reducer,[{'eac425a55b474': 3}],3.4.5
58642616,17771,T1,dropdown_reducer,[{'2': 3}],3.4.5
58642616,17771,T2,dropdown_reducer,"[{'1985': 2, '1975': 1}]",3.4.5
58642616,17771,T3,dropdown_reducer,,3.4.5
58642616,17771,T4,dropdown_reducer,,3.4.5
58642616,17771,T5,dropdown_reducer,,3.4.5
58642617,17771,T0,dropdown_reducer,[{'eac425a55b474': 3}],3.4.5
58642617,17771,T1,dropdown_reducer,[{'23': 3}],3.4.5
58642617,17771,T2,dropdown_reducer,[{'1992': 3}],3.4.5
58642617,17771,T3,dropdown_reducer,,3.4.5
58642617,17771,T4,dropdown_reducer,,3.4.5
58642617,17771,T5,dropdown_reducer,,3.4.5
58642618,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58642618,17771,T1,dropdown_reducer,[{'2': 4}],3.4.5
58642618,17771,T2,dropdown_reducer,[{'1985': 4}],3.4.5
58642618,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642618,17771,T4,dropdown_reducer,,3.4.5
58642618,17771,T5,dropdown_reducer,,3.4.5
58642619,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 2}],3.4.5
58642619,17771,T1,dropdown_reducer,,3.4.5
58642619,17771,T2,dropdown_reducer,[{'1990': 1}],3.4.5
58642619,17771,T3,dropdown_reducer,[{'ea0681065fef1': 2}],3.4.5
58642619,17771,T4,dropdown_reducer,,3.4.5
58642619,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58642620,17771,T0,dropdown_reducer,[{'c04b87f2c9237': 4}],3.4.5
58642620,17771,T1,dropdown_reducer,[{'30': 4}],3.4.5
58642620,17771,T2,dropdown_reducer,[{'1994': 4}],3.4.5
58642620,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642620,17771,T4,dropdown_reducer,,3.4.5
58642620,17771,T5,dropdown_reducer,,3.4.5
58642621,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 4}],3.4.5
58642621,17771,T1,dropdown_reducer,[{'7': 4}],3.4.5
58642621,17771,T2,dropdown_reducer,[{'1989': 4}],3.4.5
58642621,17771,T3,dropdown_reducer,"[{'47ddeb339107e': 3, '1966a875a70d2': 1}]",3.4.5
58642621,17771,T4,dropdown_reducer,[{'28': 4}],3.4.5
58642621,17771,T5,dropdown_reducer,"[{'1989': 2, '8ae79aa0db4ed': 1}]",3.4.5
58642622,17771,T0,dropdown_reducer,[{'f8221df39887': 4}],3.4.5
58642622,17771,T1,dropdown_reducer,"[{'10': 3, '8': 1}]",3.4.5
58642622,17771,T2,dropdown_reducer,[{'1984': 3}],3.4.5
58642622,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642622,17771,T4,dropdown_reducer,,3.4.5
58642622,17771,T5,dropdown_reducer,,3.4.5
58642623,17771,T0,dropdown_reducer,[{'c0e349a2b57e2': 4}],3.4.5
58642623,17771,T1,dropdown_reducer,[{'24': 4}],3.4.5
58642623,17771,T2,dropdown_reducer,[{'1993': 4}],3.4.5
58642623,17771,T3,dropdown_reducer,,3.4.5
58642623,17771,T4,dropdown_reducer,,3.4.5
58642623,17771,T5,dropdown_reducer,,3.4.5
58642625,17771,T0,dropdown_reducer,[{'c10d1711c586e': 4}],3.4.5
58642625,17771,T1,dropdown_reducer,[{'17': 4}],3.4.5
58642625,17771,T2,dropdown_reducer,[{'1995': 4}],3.4.5
58642625,17771,T3,dropdown_reducer,[{'41fef42a9d15e': 4}],3.4.5
58642625,17771,T4,dropdown_reducer,[{'8': 4}],3.4.5
58642625,17771,T5,dropdown_reducer,[{'1995': 4}],3.4.5
58642626,17771,T0,dropdown_reducer,[{'316cb2a46a922': 3}],3.4.5
58642626,17771,T1,dropdown_reducer,[{'21': 3}],3.4.5
58642626,17771,T2,dropdown_reducer,[{'1987': 3}],3.4.5
58642626,17771,T3,dropdown_reducer,[{'a86c200b6e39d': 3}],3.4.5
58642626,17771,T4,dropdown_reducer,[{'29': 3}],3.4.5
58642626,17771,T5,dropdown_reducer,[{'1987': 3}],3.4.5
58642627,17771,T0,dropdown_reducer,[{'98b5474a32123': 4}],3.4.5
58642627,17771,T1,dropdown_reducer,[{'23': 4}],3.4.5
58642627,17771,T2,dropdown_reducer,[{'1989': 4}],3.4.5
58642627,17771,T3,dropdown_reducer,[{'1966a875a70d2': 3}],3.4.5
58642627,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58642627,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58642628,17771,T0,dropdown_reducer,[{'d506c1133b83d': 4}],3.4.5
58642628,17771,T1,dropdown_reducer,[{'29': 4}],3.4.5
58642628,17771,T2,dropdown_reducer,[{'1992': 4}],3.4.5
58642628,17771,T3,dropdown_reducer,"[{'ea0681065fef1': 1, '1966a875a70d2': 2}]",3.4.5
58642628,17771,T4,dropdown_reducer,"[{'29': 1, 'c3ecf8cf751a5': 1}]",3.4.5
58642628,17771,T5,dropdown_reducer,"[{'1992': 1, '8ae79aa0db4ed': 1}]",3.4.5
58642629,17771,T0,dropdown_reducer,[{'c04b87f2c9237': 4}],3.4.5
58642629,17771,T1,dropdown_reducer,[{'25': 4}],3.4.5
58642629,17771,T2,dropdown_reducer,[{'1969': 4}],3.4.5
58642629,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642629,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58642629,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58642630,17771,T0,dropdown_reducer,[{'d506c1133b83d': 4}],3.4.5
58642630,17771,T1,dropdown_reducer,[{'15': 4}],3.4.5
58642630,17771,T2,dropdown_reducer,[{'1977': 4}],3.4.5
58642630,17771,T3,dropdown_reducer,,3.4.5
58642630,17771,T4,dropdown_reducer,,3.4.5
58642630,17771,T5,dropdown_reducer,,3.4.5
58642631,17771,T0,dropdown_reducer,[{'c04b87f2c9237': 4}],3.4.5
58642631,17771,T1,dropdown_reducer,[{'22': 4}],3.4.5
58642631,17771,T2,dropdown_reducer,[{'1976': 3}],3.4.5
58642631,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642631,17771,T4,dropdown_reducer,,3.4.5
58642631,17771,T5,dropdown_reducer,,3.4.5
58642632,17771,T0,dropdown_reducer,[{'d506c1133b83d': 4}],3.4.5
58642632,17771,T1,dropdown_reducer,[{'15': 4}],3.4.5
58642632,17771,T2,dropdown_reducer,[{'1977': 3}],3.4.5
58642632,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642632,17771,T4,dropdown_reducer,,3.4.5
58642632,17771,T5,dropdown_reducer,,3.4.5
58642633,17771,T0,dropdown_reducer,[{'316cb2a46a922': 3}],3.4.5
58642633,17771,T1,dropdown_reducer,[{'15': 3}],3.4.5
58642633,17771,T2,dropdown_reducer,[{'1992': 3}],3.4.5
58642633,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58642633,17771,T4,dropdown_reducer,,3.4.5
58642633,17771,T5,dropdown_reducer,,3.4.5
58642634,17771,T0,dropdown_reducer,[{'c10d1711c586e': 4}],3.4.5
58642634,17771,T1,dropdown_reducer,[{'25': 4}],3.4.5
58642634,17771,T2,dropdown_reducer,[{'1984': 4}],3.4.5
58642634,17771,T3,dropdown_reducer,,3.4.5
58642634,17771,T4,dropdown_reducer,,3.4.5
58642634,17771,T5,dropdown_reducer,,3.4.5
