subject_id,workflow_id,task,data.value
82939722,17772,T1,[{'7df24e749bb17': 1}]
82939722,17772,T7,[{'49ee5b7efe63c': 1}]
82939722,17772,T13,[{'c4b45b5a80482': 1}]
82939722,17772,T19,[{'29902756f9508': 1}]
82939722,17772,T25,[{'ca0a33ac04c84': 1}]
82939722,17772,T31,[{'fe3c9f98f43dd': 1}]
82939722,17772,T37,[{'b0292f693ea53': 1}]
82939722,17772,T43,[{'02726264e4609': 1}]
82939722,17772,T49,[{'5f15c3e0fcb15': 1}]
82939722,17772,T55,
82939722,17772,T61,
82939722,17772,T67,
82939722,17772,T73,
82939722,17772,T79,
82939724,17772,T1,[{'7df24e749bb17': 1}]
82939724,17772,T7,[{'49ee5b7efe63c': 1}]
82939724,17772,T13,[{'c4b45b5a80482': 1}]
82939724,17772,T19,[{'29902756f9508': 1}]
82939724,17772,T25,[{'ca0a33ac04c84': 1}]
82939724,17772,T31,[{'fe3c9f98f43dd': 1}]
82939724,17772,T37,[{'b0292f693ea53': 1}]
82939724,17772,T43,[{'02726264e4609': 1}]
82939724,17772,T49,[{'5f15c3e0fcb15': 1}]
82939724,17772,T55,[{'048b3cee40253': 1}]
82939724,17772,T61,[{'bc7ec6fc32701': 1}]
82939724,17772,T67,
82939724,17772,T73,
82939724,17772,T79,
82939725,17772,T1,[{'7df24e749bb17': 1}]
82939725,17772,T7,[{'49ee5b7efe63c': 1}]
82939725,17772,T13,[{'c4b45b5a80482': 1}]
82939725,17772,T19,[{'29902756f9508': 1}]
82939725,17772,T25,[{'ca0a33ac04c84': 1}]
82939725,17772,T31,[{'fe3c9f98f43dd': 1}]
82939725,17772,T37,[{'b0292f693ea53': 1}]
82939725,17772,T43,[{'02726264e4609': 1}]
82939725,17772,T49,[{'5f15c3e0fcb15': 1}]
82939725,17772,T55,[{'048b3cee40253': 1}]
82939725,17772,T61,
82939725,17772,T67,
82939725,17772,T73,
82939725,17772,T79,
82939726,17772,T1,[{'7df24e749bb17': 1}]
82939726,17772,T7,[{'49ee5b7efe63c': 1}]
82939726,17772,T13,[{'c4b45b5a80482': 1}]
82939726,17772,T19,[{'29902756f9508': 1}]
82939726,17772,T25,[{'ca0a33ac04c84': 1}]
82939726,17772,T31,[{'fe3c9f98f43dd': 1}]
82939726,17772,T37,[{'b0292f693ea53': 1}]
82939726,17772,T43,[{'02726264e4609': 1}]
82939726,17772,T49,[{'5f15c3e0fcb15': 1}]
82939726,17772,T55,[{'048b3cee40253': 1}]
82939726,17772,T61,
82939726,17772,T67,
82939726,17772,T73,
82939726,17772,T79,
82939727,17772,T1,[{'7df24e749bb17': 1}]
82939727,17772,T7,[{'1d70b32c8ad1b': 1}]
82939727,17772,T13,[{'0c53014992914': 1}]
82939727,17772,T19,[{'434abc437c30f': 1}]
82939727,17772,T25,[{'ccb152d48c0c8': 1}]
82939727,17772,T31,[{'213f11649d387': 1}]
82939727,17772,T37,[{'2be7e89129849': 1}]
82939727,17772,T43,[{'295279e913aa7': 1}]
82939727,17772,T49,[{'a90b0dfbd01d4': 1}]
82939727,17772,T55,
82939727,17772,T61,
82939727,17772,T67,
82939727,17772,T73,
82939727,17772,T79,
82939728,17772,T1,[{'7df24e749bb17': 1}]
82939728,17772,T7,[{'49ee5b7efe63c': 1}]
82939728,17772,T13,[{'c4b45b5a80482': 1}]
82939728,17772,T19,[{'29902756f9508': 1}]
82939728,17772,T25,[{'ca0a33ac04c84': 1}]
82939728,17772,T31,[{'fe3c9f98f43dd': 1}]
82939728,17772,T37,[{'b0292f693ea53': 1}]
82939728,17772,T43,[{'02726264e4609': 1}]
82939728,17772,T49,[{'5f15c3e0fcb15': 1}]
82939728,17772,T55,[{'048b3cee40253': 1}]
82939728,17772,T61,
82939728,17772,T67,
82939728,17772,T73,
82939728,17772,T79,
82939729,17772,T1,[{'f8b7b8eb6ec54': 1}]
82939729,17772,T7,[{'bf7e0bd7c1939': 1}]
82939729,17772,T13,[{'c519ea1bfda8f': 1}]
82939729,17772,T19,[{'85b813dec57b6': 1}]
82939729,17772,T25,[{'d0466fadfa1b7': 1}]
82939729,17772,T31,
82939729,17772,T37,
82939729,17772,T43,
82939729,17772,T49,
82939729,17772,T55,
82939729,17772,T61,
82939729,17772,T67,
82939729,17772,T73,
82939729,17772,T79,
82939730,17772,T1,[{'7df24e749bb17': 1}]
82939730,17772,T7,[{'49ee5b7efe63c': 1}]
82939730,17772,T13,[{'c4b45b5a80482': 1}]
82939730,17772,T19,[{'29902756f9508': 1}]
82939730,17772,T25,[{'ca0a33ac04c84': 1}]
82939730,17772,T31,[{'fe3c9f98f43dd': 1}]
82939730,17772,T37,[{'b0292f693ea53': 1}]
82939730,17772,T43,
82939730,17772,T49,
82939730,17772,T55,
82939730,17772,T61,
82939730,17772,T67,
82939730,17772,T73,
82939730,17772,T79,
82939731,17772,T1,[{'7df24e749bb17': 1}]
82939731,17772,T7,[{'49ee5b7efe63c': 1}]
82939731,17772,T13,[{'c4b45b5a80482': 1}]
82939731,17772,T19,[{'29902756f9508': 1}]
82939731,17772,T25,[{'ca0a33ac04c84': 1}]
82939731,17772,T31,[{'fe3c9f98f43dd': 1}]
82939731,17772,T37,
82939731,17772,T43,
82939731,17772,T49,
82939731,17772,T55,
82939731,17772,T61,
82939731,17772,T67,
82939731,17772,T73,
82939731,17772,T79,
82939732,17772,T1,[{'7df24e749bb17': 1}]
82939732,17772,T7,[{'1d70b32c8ad1b': 1}]
82939732,17772,T13,[{'c4b45b5a80482': 1}]
82939732,17772,T19,[{'29902756f9508': 1}]
82939732,17772,T25,[{'ca0a33ac04c84': 1}]
82939732,17772,T31,[{'fe3c9f98f43dd': 1}]
82939732,17772,T37,[{'b0292f693ea53': 1}]
82939732,17772,T43,
82939732,17772,T49,
82939732,17772,T55,
82939732,17772,T61,
82939732,17772,T67,
82939732,17772,T73,
82939732,17772,T79,
82941740,17772,T1,
82941740,17772,T7,
82941740,17772,T13,
82941740,17772,T19,
82941740,17772,T25,
82941740,17772,T31,
82941740,17772,T37,
82941740,17772,T43,
82941740,17772,T49,
82941740,17772,T55,
82941740,17772,T61,
82941740,17772,T67,
82941740,17772,T73,
82941740,17772,T79,
82941746,17772,T1,
82941746,17772,T7,
82941746,17772,T13,
82941746,17772,T19,
82941746,17772,T25,
82941746,17772,T31,
82941746,17772,T37,
82941746,17772,T43,
82941746,17772,T49,
82941746,17772,T55,
82941746,17772,T61,
82941746,17772,T67,
82941746,17772,T73,
82941746,17772,T79,
82941750,17772,T1,[{'2ff4544f62747': 1}]
82941750,17772,T7,[{'03993d432fa92': 1}]
82941750,17772,T13,[{'2b395fc4e7a': 1}]
82941750,17772,T19,[{'cb229a1ba0adb': 1}]
82941750,17772,T25,[{'5cf2b8800b176': 1}]
82941750,17772,T31,[{'bbf6b4711270f': 1}]
82941750,17772,T37,[{'414e475f23745': 1}]
82941750,17772,T43,
82941750,17772,T49,
82941750,17772,T55,
82941750,17772,T61,
82941750,17772,T67,
82941750,17772,T73,
