subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,type,column_name,data,text,units1,units
58642823,T56,[['2']],1,1,2,Text,10th row Number of Fish ,2,NA,NA,NA
58642823,T46,[['4.9']],1,1,4.9,Text,8th row Mean Length ,4.9,NA,NA,NA
58642823,T50,[['6']],1,1,6,Text,9th row Number of Fish ,6,NA,NA,NA
58642823,T52,[['7.0']],1,1,7,Text,9th row Mean Length ,7,NA,NA,NA
58642823,T58,[['7.4']],1,1,7.4,Text,10th row Mean Length ,7.4,NA,NA,NA
58642823,T44,[['24']],1,1,24,Text,8th row Number of Fish ,24,NA,NA,NA
58642823,T45,[['2.8-6.9']],1,1,2.8-6.9,Text,8th row Length Range ,2.8-6.9,NA,NA,NA
58642823,T51,[['5.9-8.0']],1,1,5.9-8.0,Text,9th row Length Range ,5.9-8.0,NA,NA,NA
58642823,T57,[['6.6-8.1']],1,1,6.6-8.1,Text,10th row Length Range ,6.6-8.1,NA,NA,NA
58642824,T56,[['3']],1,1,3,Text,10th row Number of Fish ,3,NA,NA,NA
58642824,T44,[['4']],1,1,4,Text,8th row Number of Fish ,4,NA,NA,NA
58642824,T34,[['5.0']],1,1,5,Text,6th row Mean Length ,5,NA,NA,NA
58642824,T40,[['7.7']],1,1,7.7,Text,7th row Mean Length ,7.7,NA,NA,NA
58642824,T46,[['8.0']],1,1,8,Text,8th row Mean Length ,8,NA,NA,NA
58642824,T52,[['9.2']],1,1,9.2,Text,9th row Mean Length ,9.2,NA,NA,NA
58642824,T58,[['10.1']],1,1,10.1,Text,10th row Mean Length ,10.1,NA,NA,NA
58642824,T50,[['12']],1,1,12,Text,9th row Number of Fish ,12,NA,NA,NA
58642824,T38,[['23']],1,1,23,Text,7th row Number of Fish ,23,NA,NA,NA
58642824,T32,[['26']],1,1,26,Text,6th row Number of Fish ,26,NA,NA,NA
58642824,T33,[['2.8-6.9']],1,1,2.8-6.9,Text,6th row Length Range ,2.8-6.9,NA,NA,NA
58642824,T39,[['5.9-8.4']],1,1,5.9-8.4,Text,7th row Length Range ,5.9-8.4,NA,NA,NA
58642824,T45,[['6.6-8.9']],1,1,6.6-8.9,Text,8th row Length Range ,6.6-8.9,NA,NA,NA
58642824,T51,[['8.2-9.9']],1,1,8.2-9.9,Text,9th row Length Range ,8.2-9.9,NA,NA,NA
58642824,T57,[['9.7-10.4']],1,1,9.7-10.4,Text,10th row Length Range ,9.7-10.4,NA,NA,NA
58746081,T38,[['3']],1,1,3,Text,7th row Number of Fish ,3,NA,NA,NA
58746081,T28,[['5.2']],1,1,5.2,Text,5th row Mean Length ,5.2,NA,NA,NA
58746081,T34,[['5.9']],1,1,5.9,Text,6th row Mean Length ,5.9,NA,NA,NA
58746081,T40,[['6.2']],1,1,6.2,Text,7th row Mean Length ,6.2,NA,NA,NA
58746081,T26,[['10']],1,1,10,Text,5th row Number of Fish ,10,NA,NA,NA
58746081,T32,[['22']],1,1,22,Text,6th row Number of Fish ,22,NA,NA,NA
58746081,T27,[['5.0-5.5']],1,1,5.0-5.5,Text,5th row Length Range ,5.0-5.5,NA,NA,NA
58746081,T33,[['5.4-6.5']],1,1,5.4-6.5,Text,6th row Length Range ,5.4-6.5,NA,NA,NA
58746081,T39,[['5.7-6.5']],1,1,5.7-6.5,Text,7th row Length Range ,5.7-6.5,NA,NA,NA
58746191,T38,[['1']],1,1,1,Text,7th row Number of Fish ,1,NA,NA,NA
58746191,T39,[['9.6']],1,1,9.6,Text,7th row Length Range ,9.6,NA,NA,NA
58746191,T40,[['9.6']],1,1,9.6,Text,7th row Mean Length ,9.6,NA,NA,NA
58746227,T8,[['1']],1,1,1,Text,Second row Number of Fish ,1,NA,NA,NA
58746227,T32,[['2']],1,1,2,Text,6th row Number of Fish ,2,NA,NA,NA
58746227,T4,[['4.1']],1,1,4.1,Text,First row Mean Length ,4.1,NA,NA,NA
58746227,T26,[['5']],1,1,5,Text,5th row Number of Fish ,5,NA,NA,NA
58746227,T9,[['5.3']],1,1,5.3,Text,Second row Length Range ,5.3,NA,NA,NA
58746227,T10,[['5.3']],1,1,5.3,Text,Second row Mean Length ,5.3,NA,NA,NA
58746227,T16,[['6.0']],1,1,6,Text,Third row Mean Length ,6,NA,NA,NA
58746227,T22,[['6.9']],1,1,6.9,Text,Fourth row Mean Length ,6.9,NA,NA,NA
58746227,T28,[['7.4']],1,1,7.4,Text,5th row Mean Length ,7.4,NA,NA,NA
58746227,T34,[['7.9']],1,1,7.9,Text,6th row Mean Length ,7.9,NA,NA,NA
58746227,T20,[['9']],1,1,9,Text,Fourth row Number of Fish ,9,NA,NA,NA
58746227,T2,[['14']],1,1,14,Text,First row Number of Fish ,14,NA,NA,NA
58746227,T14,[['22']],1,1,22,Text,Third row Number of Fish ,22,NA,NA,NA
58746227,T3,[['3.4-4.7']],1,1,3.4-4.7,Text,First row Length Range ,3.4-4.7,NA,NA,NA
58746227,T15,[['5.5-6.8']],1,1,5.5-6.8,Text,Third row Length Range ,5.5-6.8,NA,NA,NA
58746227,T21,[['6.2-7.2']],1,1,6.2-7.2,Text,Fourth row Length Range ,6.2-7.2,NA,NA,NA
58746227,T27,[['6.7-8.0']],1,1,6.7-8.0,Text,5th row Length Range ,6.7-8.0,NA,NA,NA
58746227,T33,[['7.7-8.1']],1,1,7.7-8.1,Text,6th row Length Range ,7.7-8.1,NA,NA,NA
58746392,T2,[['3']],1,1,3,Text,First row Number of Fish ,3,NA,NA,NA
58746392,T4,[['6.7']],1,1,6.7,Text,First row Mean Length ,6.7,NA,NA,NA
58746392,T3,[['6.5-1.8']],1,1,6.5-1.8,Text,First row Length Range ,6.5-1.8,NA,NA,NA
58746485,T2,[['3']],1,1,3,Text,First row Number of Fish ,3,NA,NA,NA
58746485,T4,[['5.4']],1,1,5.4,Text,First row Mean Length ,5.4,NA,NA,NA
58746485,T3,[['5.1-5.9']],1,1,5.1-5.9,Text,First row Length Range ,5.1-5.9,NA,NA,NA
