subject_id,review,review2,review3,review4,column_name,month1,month2,month3,month4,date,URL_front,URL_back,Comments
58642606,1,2,1,NA,end_date_month,August,Same as Begin Date (Month),June,NA,June,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg,,
58642616,2,1,NA,NA,begin_date_year,1985,1975,NA,NA,1985,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_NorthHoist_GROW_Doc0622.jpg,,
58642657,2,1,NA,NA,begin_date_year,1988,1888,NA,NA,1988,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Ross_GROW_013.jpg,,
58642674,2,1,NA,NA,begin_date_year,1987,1887,NA,NA,1987,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_157.jpg,,
58642684,1,2,NA,NA,begin_date_month,October,January,NA,NA,January,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_31-585_1992_GROW_001_02.jpg,,
58642686,1,1,1,NA,end_date_month,Same as Begin Date (Month),September,August,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Portage_GROW_043.jpg,,
58642707,2,1,NA,NA,begin_date_day,27,21,NA,NA,27,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Ellen_GROW_001.jpg,,*27 or 21 - most likely 27th
58642725,1,2,NA,NA,begin_date_month,July,September,NA,NA,October,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Clear_GROW_003.jpg,,
58642725,1,2,NA,NA,begin_date_day,4,18,NA,NA,18,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Clear_GROW_003.jpg,,
58642725,1,2,NA,NA,begin_date_year,1983,1956,NA,NA,1956,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Clear_GROW_003.jpg,,
58642794,2,1,NA,NA,end_date_month,May,April,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_008.jpg,,
58642794,2,1,NA,NA,end_date_day,20,1,NA,NA,20,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_008.jpg,,
58642794,2,1,NA,NA,end_date_year,1993,1996,NA,NA,1993,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_008.jpg,,
58642799,1,2,NA,NA,begin_date_month,April,May,NA,NA,May,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_011.jpg,,"*Date shows May 14, Ju 3, 1991"
