subject_id,begin_date_day,begin_date_month,begin_date_year,end_date_day,end_date_month,end_date_year,review,URL_front,URL_back,comment
58642692,18,July,1968,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_RedCedar_GROW_002.jpg,NA,second date is for another year could make two rows out of one card
58642753,29,August,1984,29,May,1985,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Long_GROW_002.jpg,NA,"two dates, no way to distinguish between surveys "
58642806,18,May,1992,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Lapeer_Algoe_FISHc_014.jpg,NA,
58642826,4,April,1991,7,January,1992,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Oscoda_Loon_GROW_20191210110921507_0003.jpg,NA,two separate survey dates
58642842,18,July,1968,2,July,1969,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Red Cedar Lake_002.jpg,NA,two separate survey dates
58642845,NA,November,1986,NA,November,1989,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Roscommon_James_GROW_2.jpeg,NA,two separate survey dates
58746057,2,May,1990,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_039.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Saddle_GROW_038.jpeg,
58746090,6,April,1987,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_025.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_024.jpeg,
58746097,NA,April,1970,NA,April,1971,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Tuscola_Murphy_GROW_011.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Tuscola_Murphy_GROW_010.jpeg,two separate survey dates
58746109,28,September,1982,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Thompson_GROW_006.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Thompson_GROW_005.jpeg,
58746122,7,October,1981,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Long_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Long_GROW_001.jpeg,
58746140,11,September,1984,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,
58746179,20,July,1979,NA,N,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_014.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Seney_GROW_013.jpeg,
58746194,13,September,1984,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Pear_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Pear_GROW_003.jpeg,
58746204,11,September,1984,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_011.jpeg,
58746205,13,September,1984,NA,NA,NA,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_010.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Mid_GROW_009.jpeg,
58746239,14,December,1966,12,January,1967,TRUE,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_212.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_211.jpeg,two separate survey dates
