subject_id,data.aligned_text,data.consensus_text,column_name,data,units,URL_front,URL_back
58642641,"[['8.1', '8.1', '8.1', '.'], ['', '', '', '.'], ['', '', '', '.']]",8.1 . .,Third row Length Range ,8.1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_004.jpg,
58642695,"[['', '133', '133mm', '133'], ['5.2', '', '(5.2)', '']]",133 5.2,First row Mean Length ,133,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,
58642695,"[['', '146', '146mm', '146'], ['5.7', '', '(5.7)', '']]",146 5.7,Second row Mean Length ,146,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,
58642695,"[['145-172', '145-172', '145-172mm']]",145-172,Third row Length Range ,145-172,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,
58642695,"[['', '160', '160mm'], ['4.3', '', '(4.3)']]",160 4.3,Third row Mean Length ,160,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,
58642695,"[['163-185', '163-185', '163-185mm']]",163-185,Fourth row Length Range ,163-185,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,
58642695,"[['', '169', '169mm'], ['6.7', '', '(6.7)']]",169 6.7,Fourth row Mean Length ,169,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,
58642727,"[['2.8', '.'], ['', '.'], ['', '.']]",2.8 . .,First row Length Range ,2.8,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Jackson_Clear_GROW_004.jpg,
58642756,"[['No', '4.1-5.1'], ['data', '']]",No data,Second row Length Range ,NA,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Myers_GROW_003.jpg,
58642756,"[['No', '4.7'], ['data', '']]",No data,Second row Mean Length ,104-150,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Myers_GROW_003.jpg,
58642757,"[['104-150mm', '104-150', '104-150mm', '4.09-5.90']]",104-150mm,First row Length Range ,104-150,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_002.jpg,
58642757,"[['122mm', '122', '122mm', '4.8']]",122mm,First row Mean Length ,122,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_002.jpg,
58642757,"[['114-170mm', '114-170', '114-170mm', '4.49-6.7']]",114-170mm,Second row Length Range ,114-170,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_002.jpg,
58642757,"[['142mm', '142', '142', '5.6']]",142,Second row Mean Length ,142,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_002.jpg,
58642757,"[['157-173mm', '157-173', '160-195mm', '6.2-6.8']]",157-173mm,Third row Length Range ,157-173,mm,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_002.jpg,
