subject_id,workflow_id,task,reducer,data.aggregation_version,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids
58642605,17771,T6,text_reducer,3.4.5,,,,,,
58642605,17771,T8,text_reducer,3.4.5,"[['25N', '25N', '25N', '25N']]",4.0,4.0,25N,"[False, False, False, False]","[2272550.0, 1763607.0, 2278307.0, 1484814.0]"
58642605,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[2272550.0, 1763607.0, 2278307.0, 1484814.0]"
58642605,17771,T10,text_reducer,3.4.5,"[['3,', '3,', '', '3,'], ['4,', '4,', '', '4,'], ['9,', '9,', '', '9,'], ['10,', '10,', '3,4,9,10,11,14,15,16', '10,'], ['11,', '11,', '', '11,'], ['14,', '14,', '', '14,'], ['15,', '15,', '', '15,'], ['16', '16', '', '16']]",4.0,3.0,"3, 4, 9, 10, 11, 14, 15, 16","[False, False, False, False]","[2272550.0, 1763607.0, 2278307.0, 1484814.0]"
58642605,17771,T12,text_reducer,3.4.5,"[['LMS', 'L', '', 'L,'], ['', 'M', '', 'M,'], ['', '&', '', '&'], ['', 'S', '', 'S'], ['Engineers', 'Engineers,', '', 'Engineers'], ['', 'M.', 'M.', ''], ['', 'Phillips', 'Phillips', '']]",4.0,1.7142857142857142,LMS M & S Engineers M. Phillips,"[False, False, False, False]","[2272550.0, 1763607.0, 2278307.0, 1484814.0]"
58642606,17771,T6,text_reducer,3.4.5,,,,,,
58642606,17771,T8,text_reducer,3.4.5,"[['25N', '25N', '25N', '25N']]",4.0,4.0,25N,"[False, False, False, False]","[nan, 1325481.0, 2262647.0, 1484814.0]"
58642606,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[nan, 1325481.0, 2262647.0, 1484814.0]"
58642606,17771,T10,text_reducer,3.4.5,"[['', '', '', '3,'], ['', '', '', '4,'], ['', '', '', '9,'], ['3,4,9,10,11,14,15,16', '3,4,9,10,11,14,15,16', '3,4,9,10,11,14,15,16', '10,'], ['', '', '', '11,'], ['', '', '', '14,'], ['', '', '', '15,'], ['', '', '', '16']]",4.0,1.25,"3, 4, 9, 3,4,9,10,11,14,15,16 11, 14, 15, 16","[False, False, False, False]","[nan, 1325481.0, 2262647.0, 1484814.0]"
58642606,17771,T12,text_reducer,3.4.5,"[['L,', 'L', 'L,', 'L,'], ['Ms', 'M', 'M', 'M.'], ['&S', '&', '&', '&'], ['', 'S', 'S', 'S'], ['Engineers', 'Engineers', 'Engineers', 'Engineers']]",4.0,3.0,"L, M & S Engineers","[False, False, False, False]","[nan, 1325481.0, 2262647.0, 1484814.0]"
58642607,17771,T6,text_reducer,3.4.5,,,,,,
58642607,17771,T8,text_reducer,3.4.5,"[['26N', '26N', '26N', '26N']]",4.0,4.0,26N,"[False, False, False, False]","[2264726.0, 2277793.0, 1484814.0, 2245753.0]"
58642607,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[2264726.0, 2277793.0, 1484814.0, 2245753.0]"
58642607,17771,T10,text_reducer,3.4.5,"[['36', '36', '36', '36']]",4.0,4.0,36,"[False, False, False, False]","[2264726.0, 2277793.0, 1484814.0, 2245753.0]"
58642607,17771,T12,text_reducer,3.4.5,"[['MacAuinchey,', 'MacAuinchey,', 'MacAuinchey,', 'MacAuinchey,'], ['Orupido,', 'Orupido,', 'Orupido,', 'Orupido'], ['Wiersma', 'Wiersma', 'Wiersma', '']]",4.0,3.3333333333333335,"MacAuinchey, Orupido, Wiersma","[False, False, False, False]","[2264726.0, 2277793.0, 1484814.0, 2245753.0]"
58642608,17771,T6,text_reducer,3.4.5,,,,,,
58642608,17771,T8,text_reducer,3.4.5,"[['26N', '26N', '26N', '26N']]",4.0,4.0,26N,"[False, False, False, False]","[2264726.0, 1061480.0, 2002458.0, 2023041.0]"
58642608,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[2264726.0, 1061480.0, 2002458.0, 2023041.0]"
58642608,17771,T10,text_reducer,3.4.5,"[['15', '15', '15', '15']]",4.0,4.0,15,"[False, False, False, False]","[2264726.0, 1061480.0, 2002458.0, 2023041.0]"
58642608,17771,T12,text_reducer,3.4.5,"[['USFS', 'USFS', 'S.', 'USFS'], ['', '', 'Sendek', '']]",4.0,2.0,USFS Sendek,"[False, False, False, False]","[2264726.0, 1061480.0, 2002458.0, 2023041.0]"
58642609,17771,T6,text_reducer,3.4.5,,,,,,
58642609,17771,T8,text_reducer,3.4.5,"[['26N', '26N', '26N', '26N']]",4.0,4.0,26N,"[False, False, False, False]","[1484814.0, 2301059.0, 2002458.0, 2310215.0]"
58642609,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[1484814.0, 2301059.0, 2002458.0, 2310215.0]"
58642609,17771,T10,text_reducer,3.4.5,"[['36', '36', '36', '36']]",4.0,4.0,36,"[False, False, False, False]","[1484814.0, 2301059.0, 2002458.0, 2310215.0]"
58642609,17771,T12,text_reducer,3.4.5,"[['USFS', 'USFS', 'USFS', 'USFS']]",4.0,4.0,USFS,"[False, False, False, False]","[1484814.0, 2301059.0, 2002458.0, 2310215.0]"
58642610,17771,T6,text_reducer,3.4.5,,,,,,
58642610,17771,T8,text_reducer,3.4.5,"[['26N', '26N', '26N', '26N']]",4.0,4.0,26N,"[False, False, False, False]","[1763607.0, 1325481.0, 2301059.0, 1484814.0]"
58642610,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[1763607.0, 1325481.0, 2301059.0, 1484814.0]"
58642610,17771,T10,text_reducer,3.4.5,"[['15', '15', '15', '15']]",4.0,4.0,15,"[False, False, False, False]","[1763607.0, 1325481.0, 2301059.0, 1484814.0]"
58642610,17771,T12,text_reducer,3.4.5,"[['Schnicke,', 'Schnicke', 'Schnicke', 'Schnicke'], ['Kent', '', '', '']]",4.0,2.0,Schnicke Kent,"[False, False, False, False]","[1763607.0, 1325481.0, 2301059.0, 1484814.0]"
58642611,17771,T6,text_reducer,3.4.5,,,,,,
58642611,17771,T8,text_reducer,3.4.5,"[['28N', '28N', '28n', '28N']]",4.0,3.0,28N,"[False, False, False, False]","[1543903.0, 318891.0, 2323663.0, 2023041.0]"
58642611,17771,T9,text_reducer,3.4.5,"[['7E', '7E', '7e', '7E']]",4.0,3.0,7E,"[False, False, False, False]","[1543903.0, 318891.0, 2323663.0, 2023041.0]"
58642611,17771,T10,text_reducer,3.4.5,"[['Many', 'many', 'Many']]",3.0,2.0,Many,"[False, False, False]","[318891.0, 2323663.0, 2023041.0]"
58642611,17771,T12,text_reducer,3.4.5,"[['J.', 'J.', 'j', 'J.'], ['Fenske,', 'Fenske', 'fenske', 'Fenske'], ['B.', '', '', ''], ['Kent', '', '', '']]",4.0,1.75,J. Fenske B. Kent,"[False, False, False, False]","[1543903.0, 318891.0, 2323663.0, 2023041.0]"
58642612,17771,T6,text_reducer,3.4.5,,,,,,
58642612,17771,T8,text_reducer,3.4.5,"[['25N', '25N', '25N', '25N']]",4.0,4.0,25N,"[False, False, False, False]","[2277793.0, 1440915.0, 2253914.0, 2263135.0]"
58642612,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[2277793.0, 1440915.0, 2253914.0, 2263135.0]"
58642612,17771,T10,text_reducer,3.4.5,"[['1', '1', '1', '1']]",4.0,4.0,1,"[False, False, False, False]","[2277793.0, 1440915.0, 2253914.0, 2263135.0]"
58642612,17771,T12,text_reducer,3.4.5,"[['Casey', 'Casey', 'Casey', 'Casey']]",4.0,4.0,Casey,"[False, False, False, False]","[2277793.0, 1440915.0, 2253914.0, 2263135.0]"
58642613,17771,T6,text_reducer,3.4.5,,,,,,
58642613,17771,T8,text_reducer,3.4.5,"[['28N', '28N', '28N', '28N']]",4.0,4.0,28N,"[False, False, False, False]","[2264726.0, 2261663.0, 2272550.0, 2253914.0]"
58642613,17771,T9,text_reducer,3.4.5,"[['7E', '7E', '7E', '7E']]",4.0,4.0,7E,"[False, False, False, False]","[2264726.0, 2261663.0, 2272550.0, 2253914.0]"
58642613,17771,T10,text_reducer,3.4.5,"[['Many', 'MANY', 'many']]",3.0,1.0,Many,"[False, False, False]","[2264726.0, 2261663.0, 2272550.0]"
58642613,17771,T12,text_reducer,3.4.5,"[['Larkins', 'FISH', 'Larkins,', 'Larkins,'], ['&', 'DIV.', '', ''], ['Wininger', '', 'Wininger', 'Wininger']]",4.0,2.0,"Larkins, & Wininger","[False, False, False, False]","[2264726.0, 2261663.0, 2272550.0, 2253914.0]"
58642614,17771,T6,text_reducer,3.4.5,"[['-84', '7-5-84'], ['', '8-9-84']]",2.0,1.0,-84 8-9-84,"[False, False]","[2010165.0, 1484814.0]"
58642614,17771,T8,text_reducer,3.4.5,"[['27-28N', '27-28N', '27,28N', '27-28N']]",4.0,3.0,27-28N,"[False, False, False, False]","[2010165.0, 1484814.0, nan, 2060660.0]"
58642614,17771,T9,text_reducer,3.4.5,"[['7E', '7E', '7E', '7E']]",4.0,4.0,7E,"[False, False, False, False]","[2010165.0, 1484814.0, nan, 2060660.0]"
58642614,17771,T10,text_reducer,3.4.5,"[['Several', 'several', 'several']]",3.0,2.0,several,"[False, False, False]","[2010165.0, 1484814.0, 2060660.0]"
58642614,17771,T12,text_reducer,3.4.5,"[['Fenske', 'Fenske', 'Fenske,', 'Fenske,'], ['/', '/', '', ''], ['Casey,', 'Casey', 'Casey', 'Casey,'], ['Kent', '', '', 'Kent']]",4.0,2.0,"Fenske / Casey, Kent","[False, False, False, False]","[2010165.0, 1484814.0, nan, 2060660.0]"
58642615,17771,T6,text_reducer,3.4.5,"[['There'], ['is'], ['no'], ['end'], ['date']]",1.0,1.0,There is no end date,[False],[2325958.0]
58642615,17771,T8,text_reducer,3.4.5,"[['26N', '26N', '26N']]",3.0,3.0,26N,"[False, False, False]","[2305978.0, 2325958.0, 2225608.0]"
58642615,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E']]",3.0,3.0,5E,"[False, False, False]","[2305978.0, 2325958.0, 2225608.0]"
58642615,17771,T10,text_reducer,3.4.5,"[['13', '13', '13']]",3.0,3.0,13,"[False, False, False]","[2305978.0, 2325958.0, 2225608.0]"
58642615,17771,T12,text_reducer,3.4.5,"[['Kent,', 'Kent,', 'Kent,'], ['Sendek', 'Sendek', 'Sendek']]",3.0,3.0,"Kent, Sendek","[False, False, False]","[2305978.0, 2325958.0, 2225608.0]"
58642616,17771,T6,text_reducer,3.4.5,[['7-2-85']],1.0,1.0,7-2-85,[False],[1800447.0]
58642616,17771,T8,text_reducer,3.4.5,"[['26N', '26N', '26N', '26N']]",4.0,4.0,26N,"[False, False, False, False]","[2009569.0, 2003472.0, 1800447.0, 2305978.0]"
58642616,17771,T9,text_reducer,3.4.5,"[['5E', '5E', '5E', '5E']]",4.0,4.0,5E,"[False, False, False, False]","[2009569.0, 2003472.0, 1800447.0, 2305978.0]"
