subject_id,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82939722,17772,T2,[['3']],1,1,3,[1691537]
82939722,17772,T3,[['1.2-1.7']],1,1,1.2-1.7,[1691537]
82939722,17772,T4,[['1.40']],1,1,1.4,[1691537]
82939722,17772,T8,[['65']],1,1,65,[1691537]
82939722,17772,T9,[['1.8-4.3']],1,1,1.8-4.3,[1691537]
82939722,17772,T10,[['2.42']],1,1,2.42,[1691537]
82939722,17772,T14,[['38']],1,1,38,[1691537]
82939722,17772,T15,[['3.0-5.5']],1,1,3.0-5.5,[1691537]
82939722,17772,T16,[['4.00']],1,1,4,[1691537]
82939722,17772,T20,[['21']],1,1,21,[1691537]
82939722,17772,T21,[['4.8-6.4']],1,1,4.8-6.4,[1691537]
82939722,17772,T22,[['5.72']],1,1,5.72,[1691537]
82939722,17772,T26,[['36']],1,1,36,[1691537]
82939722,17772,T27,[['5.4-7.2']],1,1,5.4-7.2,[1691537]
82939722,17772,T28,[['6.20']],1,1,6.2,[1691537]
82939722,17772,T32,[['12']],1,1,12,[1691537]
82939722,17772,T33,[['6.5-7.6']],1,1,6.5-7.6,[1691537]
82939722,17772,T34,[['7.10']],1,1,7.1,[1691537]
82939722,17772,T38,[['10']],1,1,10,[1691537]
82939722,17772,T39,[['6.8-7.5']],1,1,6.8-7.5,[1691537]
82939722,17772,T40,[['7.04']],1,1,7.04,[1691537]
82939722,17772,T44,[['8']],1,1,8,[1691537]
82939722,17772,T45,[['6.8-7.5']],1,1,6.8-7.5,[1691537]
82939722,17772,T46,[['7.15']],1,1,7.15,[1691537]
82939722,17772,T50,[['1']],1,1,1,[1691537]
82939722,17772,T52,[['7.50']],1,1,7.5,[1691537]
82939724,17772,T2,[['31']],1,1,31,[1691537]
82939724,17772,T3,[['1.1-1.7']],1,1,1.1-1.7,[1691537]
82939724,17772,T4,[['1.30']],1,1,1.3,[1691537]
82939724,17772,T8,[['30']],1,1,30,[1691537]
82939724,17772,T9,[['2.2-3.1']],1,1,2.2-3.1,[1691537]
82939724,17772,T10,[['2.55']],1,1,2.55,[1691537]
82939724,17772,T14,[['59']],1,1,59,[1691537]
82939724,17772,T15,[['3.1-5.5']],1,1,3.1-5.5,[1691537]
82939724,17772,T16,[['3.94']],1,1,3.94,[1691537]
82939724,17772,T20,[['15']],1,1,15,[1691537]
82939724,17772,T21,[['4.9-6.2']],1,1,4.9-6.2,[1691537]
82939724,17772,T22,[['5.59']],1,1,5.59,[1691537]
82939724,17772,T26,[['24']],1,1,24,[1691537]
82939724,17772,T27,[['5.3-7.4']],1,1,5.3-7.4,[1691537]
82939724,17772,T28,[['6.12']],1,1,6.12,[1691537]
82939724,17772,T32,[['22']],1,1,22,[1691537]
82939724,17772,T33,[['5.4-7.3']],1,1,5.4-7.3,[1691537]
82939724,17772,T34,[['6.37']],1,1,6.37,[1691537]
82939724,17772,T38,[['16']],1,1,16,[1691537]
82939724,17772,T39,[['5.4-7.8']],1,1,5.4-7.8,[1691537]
82939724,17772,T40,[['6.65']],1,1,6.65,[1691537]
82939724,17772,T44,[['6']],1,1,6,[1691537]
82939724,17772,T45,[['6.7-7.6']],1,1,6.7-7.6,[1691537]
82939724,17772,T46,[['7.18']],1,1,7.18,[1691537]
82939724,17772,T50,[['10']],1,1,10,[1691537]
82939724,17772,T51,[['7.0-7.5']],1,1,7.0-7.5,[1691537]
82939724,17772,T52,[['7.18']],1,1,7.18,[1691537]
82939724,17772,T62,[['1']],1,1,1,[1691537]
82939724,17772,T64,[['7.52']],1,1,7.52,[1691537]
82939725,17772,T2,[['3']],1,1,3,[1691537]
82939725,17772,T3,[['1.3-2.6']],1,1,1.3-2.6,[1691537]
82939725,17772,T4,[['1.77']],1,1,1.77,[1691537]
82939725,17772,T8,[['49']],1,1,49,[1691537]
82939725,17772,T9,[['2.1-3.8']],1,1,2.1-3.8,[1691537]
82939725,17772,T10,[['2.86']],1,1,2.86,[1691537]
82939725,17772,T14,[['104']],1,1,104,[1691537]
82939725,17772,T15,[['3.6-7.4']],1,1,3.6-7.4,[1691537]
82939725,17772,T16,[['5.43']],1,1,5.43,[1691537]
82939725,17772,T20,[['15']],1,1,15,[1691537]
82939725,17772,T21,[['5.6-7.6']],1,1,5.6-7.6,[1691537]
82939725,17772,T22,[['7.01']],1,1,7.01,[1691537]
82939725,17772,T26,[['6']],1,1,6,[1691537]
82939725,17772,T27,[['7.1-8.0']],1,1,7.1-8.0,[1691537]
82939725,17772,T28,[['7.65']],1,1,7.65,[1691537]
82939725,17772,T32,[['4']],1,1,4,[1691537]
82939725,17772,T33,[['7.8-8.2']],1,1,7.8-8.2,[1691537]
82939725,17772,T34,[['7.98']],1,1,7.98,[1691537]
82939725,17772,T38,[['10']],1,1,10,[1691537]
82939725,17772,T39,[['7.8-8.8']],1,1,7.8-8.8,[1691537]
82939725,17772,T40,[['8.17']],1,1,8.17,[1691537]
82939725,17772,T44,[['18']],1,1,18,[1691537]
82939725,17772,T45,[['7.8-9.0']],1,1,7.8-9.0,[1691537]
82939725,17772,T46,[['8.28']],1,1,8.28,[1691537]
82939725,17772,T50,[['5']],1,1,5,[1691537]
82939725,17772,T51,[['7.9-8.7']],1,1,7.9-8.7,[1691537]
82939725,17772,T52,[['8.34']],1,1,8.34,[1691537]
82939725,17772,T56,[['1']],1,1,1,[1691537]
82939725,17772,T58,[['8.50']],1,1,8.5,[1691537]
82939726,17772,T2,[['29']],1,1,29,[1691537]
82939726,17772,T3,[['1.1-2.5']],1,1,1.1-2.5,[1691537]
82939726,17772,T4,[['1.80']],1,1,1.8,[1691537]
82939726,17772,T8,[['130']],1,1,130,[1691537]
82939726,17772,T9,[['5.1-6.6']],1,1,5.1-6.6,[1691537]
82939726,17772,T10,[['4.16']],1,1,4.16,[1691537]
82939726,17772,T14,[['25']],1,1,25,[1691537]
82939726,17772,T15,[['1.0-7.4']],1,1,1.0-7.4,[1691537]
82939726,17772,T16,[['6.67']],1,1,6.67,[1691537]
82939726,17772,T20,[['14']],1,1,14,[1691537]
82939726,17772,T21,[['0.6-7.9']],1,1,0.6-7.9,[1691537]
82939726,17772,T22,[['7.35']],1,1,7.35,[1691537]
82939726,17772,T26,[['3']],1,1,3,[1691537]
82939726,17772,T27,[['0.1-8.1']],1,1,0.1-8.1,[1691537]
82939726,17772,T28,[['7.91']],1,1,7.91,[1691537]
82939726,17772,T32,[['8']],1,1,8,[1691537]
82939726,17772,T33,[['0.3-9.0']],1,1,0.3-9.0,[1691537]
82939726,17772,T34,[['8.01']],1,1,8.01,[1691537]
82939726,17772,T38,[['15']],1,1,15,[1691537]
