"subject_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text"
58642605,"T2","[['9', '9', '9', '9']]",4,4,"9"
58642605,"T3","[['1.5-3.0', '1.5-3.0', '1.5-3.0', '1.5-3.0']]",4,4,"1.5-3.0"
58642605,"T4","[['2.0', '2.0', '2.0', '2.0']]",4,4,"2.0"
58642605,"T8","[['3', '3', '3', '3']]",4,4,"3"
58642605,"T9","[['3.7-4.1', '3.7-4.1', '3.7-4.1', '3.7-4.1']]",4,4,"3.7-4.1"
58642605,"T10","[['3.9', '3.9', '3.9', '3.9']]",4,4,"3.9"
58642605,"T14","[['4', '4', '4']]",3,3,"4"
58642605,"T15","[['6.0-7.5', '6.0-7.5', '6.0-7.5']]",3,3,"6.0-7.5"
58642605,"T16","[['6.6', '6.6', '6.6']]",3,3,"6.6"
58642605,"T20","[['2', '2', '2']]",3,3,"2"
58642605,"T21","[['6.6-6.8', '6.6-6.8', '6.6-6.8']]",3,3,"6.6-6.8"
58642605,"T22","[['6.7', '6.7', '6.7']]",3,3,"6.7"
58642606,"T2","[['1', '1', '1', '1']]",4,4,"1"
58642606,"T3","[['1.8', '1.8', '1.8', '1.8']]",4,4,"1.8"
58642606,"T4","[['1.8', '1.8', '1.8', '1.8']]",4,4,"1.8"
58642606,"T8","[['5', '5', '5', '5']]",4,4,"5"
58642606,"T9","[['3.4-5.2', '3.4-5.2', '3.4-5.2', '3.4-5.2']]",4,4,"3.4-5.2"
58642606,"T10","[['4.0', '4.0', '4.0', '4.0']]",4,4,"4.0"
58642606,"T14","[['7', '7', '7', '7']]",4,4,"7"
58642606,"T15","[['6.8-7.5', '6.8-7.5', '6.8-7.5', '6.8-7.5']]",4,4,"6.8-7.5"
58642606,"T16","[['7.1', '7.1', '7.1', '7.1']]",4,4,"7.1"
58642606,"T20","[['2', '2', '2', '2']]",4,4,"2"
58642606,"T21","[['6.8-7.5', '6.8-7.5', '6.8-7.5', '6.8-7.5']]",4,4,"6.8-7.5"
58642606,"T22","[['7.2', '7.2', '7.2', '7.2']]",4,4,"7.2"
58642611,"T2","[['4']]",1,1,"4"
58642611,"T3","[['16.1']]",1,1,"16.1"
58642611,"T4","[['15.5']]",1,1,"15.5"
58642612,"T2","[['1', '1', '1', '1']]",4,4,"1"
58642612,"T3","[['5.7', '5.7', '5.7', '5.7']]",4,4,"5.7"
58642612,"T4","[['5.7', '3.8', '5.7', '5.7']]",4,3,"5.7"
58642612,"T8","[['1', '1', '1', '1']]",4,4,"1"
58642612,"T9","[['8.2', '8.2', '8.2', '8.2']]",4,4,"8.2"
58642612,"T10","[['8.2', '5.0', '8.2', '8.2']]",4,3,"8.2"
