"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642605,"1-4","ALCONADAM","Alcona",1,9,38.1,76.2,50.8,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",2,3,93.98,104.14,99.06,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",3,4,152.4,190.5,167.64,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",4,2,167.64,172.72,170.18,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",1,1,45.72,NA,45.72,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",2,5,86.36,132.08,101.6,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",3,7,172.72,190.5,180.34,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",4,2,172.72,190.5,182.88,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642612,"1-1","HOWONAN","Alcona",1,1,144.78,NA,144.78,20,"October",1982,20,"October",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA
58642612,"1-1","HOWONAN","Alcona",2,1,208.28,NA,208.28,20,"October",1982,20,"October",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA
58642612,"1-1","HOWONAN","Alcona",3,3,210.82,231.14,223.52,20,"October",1982,20,"October",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA
58642621,"15-15","DEER","Charlevoix",2,3,152.4,165.1,157.48,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
58642621,"15-15","DEER","Charlevoix",3,4,177.8,190.5,180.34,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
