subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,type,column_name,URL_front,URL_back
58642701,T3,[['31.1']],1,1,31.1,NA,Text,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg,NA
58642701,T4,"[['13.2', '13.3', '13.1']]",3,1,13.2,13.1,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg,NA
58753958,T26,[['1']],1,1,1,15,Text,5th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_229.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_230.jpg
58753958,T27,[['24.8']],1,1,24.8,NA,Text,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_229.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_230.jpg
58753958,T28,[['24.8']],1,1,24.8,NA,Text,5th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_229.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Burt_GROW_230.jpg
58754938,T27,[['-----']],1,1,-----,NA,Text,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Portage_GROW_113.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Jackson_Portage_GROW_114.jpg
59073218,T4,[['-']],1,1,-,NA,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Mullett_GROW_272.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Mullett_GROW_273.jpg
59152229,T4,[['-']],1,1,-,NA,Text,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Mullett_GROW_272.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Mullett_GROW_273.jpg
59687867,T3,"[['20.0', '20', '5.9']]",3,1,20,20,Text,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_LowerChub_GROW_004.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_LowerChub_GROW_003.jpeg
59688110,T10,"[['16.9', '', '16.9'], ['', '16.9(#112oz)', '(1#12oz)']]",3,1.5,16.9 16.9(#112oz),16.9,Text,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/Marquette_ForestvilleBasin_GROW_003.jpg,NA
59688110,T16,"[['20.2', '', '20.2'], ['', '20.2(3#6oz)', '(3#6oz)']]",3,1.5,20.2 20.2(3#6oz),20.2,Text,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/Marquette_ForestvilleBasin_GROW_003.jpg,NA
59688110,T22,"[['24.5', '', '24.5'], ['', '24.5(7#12oz)', '(7#12oz)']]",3,1.5,24.5 24.5(7#12oz),24.5,Text,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/Marquette_ForestvilleBasin_GROW_003.jpg,NA
