subject_id,URL 4,URL 8,task,Full Task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T2,First row Number of Fish [Text],"[['1', '1', '1']]",3.0,3.0,1,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T3,First row Length Range [Text],"[['17.2', '17.2', '17.2']]",3.0,3.0,17.2,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T4,First row Mean Length [Text],"[['17.2', '17.2', '17.2']]",3.0,3.0,17.2,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T8,Second row Number of Fish [Text],"[['1', '1', '1']]",3.0,3.0,1,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T9,Second row Length Range [Text],"[['17.9', '17.9', '17.9']]",3.0,3.0,17.9,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T10,Second row Mean Length [Text],"[['17.9', '17.9', '17.9']]",3.0,3.0,17.9,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T14,Third row Number of Fish [Text],"[['1', '1', '1']]",3.0,3.0,1,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T15,Third row Length Range [Text],"[['20.2', '20.2', '20.2']]",3.0,3.0,20.2,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T16,Third row Mean Length [Text],"[['20.2', '20.2', '20.2']]",3.0,3.0,20.2,"[False, False, False]","[2017299, 2404094, 2158176]"
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T20,Fourth row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T21,Fourth row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T22,Fourth row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T26,5th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T27,5th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T28,5th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T32,6th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T33,6th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T34,6th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T38,7th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T39,7th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T40,7th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T44,8th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T45,8th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T46,8th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T50,9th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T51,9th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T52,9th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T56,10th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T57,10th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T58,10th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T62,11th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T63,11th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T64,11th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T68,12th row Number of Fish [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T69,12th row Length Range [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T70,12th row Mean Length [Text],,,,,,
58642617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg,,T74,13th row Number of Fish [Text],,,,,,
