"subject_id","age_group","fish_count","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back","comment","county","lakename","new_key","length_min_mm","length_max_mm","length_mean_mm"
82937343,3,1,18,"October",1993,19,"October",1993,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Roscommon_Higgins_GROW_403.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss6/GROW/cards/double/Roscommon_Higgins_GROW_404.jpeg",NA,NA,NA,NA,614.68,NA,614.68
58642617,3,1,23,"July",1992,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg",NA,NA,"Barry","DEEP","8-619",436.88,NA,436.88
58642620,1,2,30,"June",1994,NA,"June",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg",NA,NA,"Barry","DEEP","8-619",264.16,281.94,274.32
58642622,2,11,10,"May",1984,NA,"May",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA,NA,"Charlevoix","CHARLEVOIX","15-21",355.6,546.1,431.8
58642628,1,19,29,"September",1992,29,"September",1992,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Twins_GROW_137.jpg",NA,NA,"Cheboygan","TWINS","16-194",226.06,294.64,254
58642633,1,8,15,"October",1992,NA,"October",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Weber_GROW_102.jpg",NA,NA,"Cheboygan","WEBER","16-142",233.68,330.2,302.26
58642650,3,13,28,"April",1969,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Clear_GROW_002.jpg",NA,NA,"Crawford","CLEAR","20-91",NA,NA,264.16
58642679,3,4,NA,"May",1977,NA,"May",1977,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_31-585_1977_GROW_001_01.jpg",NA,NA,"Houghton","BOB","31-585",335.28,373.38,353.06
58642687,3,4,NA,"May",1977,NA,"May",1977,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_GROW_005.jpg",NA,NA,"Houghton","BOB","31-585",335.28,373.38,353.06
58642701,4,1,6,"April",1990,NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA,NA,"Ionia","SESSIONS","34-93",NA,NA,332.74
58642734,2,2,12,"August",1982,12,"August",1982,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_GuernseyBig_GROW_005.jpg",NA,NA,"Kalkaska","GUERNSEYBIG","40-192",398.78,452.12,426.72
58642753,4,2,29,"August",1984,29,"May",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Long_GROW_002.jpg",NA,"two dates, no way to distinguish between surveys ","Kent","LONG","41-732",353.06,355.6,355.6
58642754,1,3,NA,"July",1993,NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_035.jpg",NA,NA,NA,NA,NA,226.06,243.84,238.76
58642755,1,3,9,"July",1993,NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_036.jpg",NA,NA,NA,NA,NA,220.98,243.84,NA
58642820,3,1,4,"April",1984,17,"April",1984,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg",NA,NA,"OGEMAW","GEORGE","65-8",281.94,NA,281.94
58746172,3,1,1,"October",1985,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Straits_GROW_024.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Straits_GROW_023.jpeg",NA,"Schoolcraft","STRAITS","75-538",477.52,NA,477.52
58746189,2,1,13,"August",1985,13,"August",1985,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Rim_GROW_004.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Rim_GROW_003.jpeg",NA,"Schoolcraft","RIM","75-549",271.78,NA,271.78
58746240,4,1,28,"May",1980,19,"June",1980,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_126.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Indian_GROW_125.jpeg",NA,"Schoolcraft","INDIAN","75-69",592,NA,592
58746304,4,1,18,"August",1964,NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Clear_GROW_060.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Clear_GROW_059.jpeg",NA,"Schoolcraft","CLEAR","75-421",NA,NA,497.84
58746335,1,2,11,"September",1985,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ashford_GROW_042.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ashford_GROW_041.jpeg",NA,"Schoolcraft","ASHFORD","75-294",210.82,243.84,226.06
58746337,2,1,30,"July",1966,NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ashford_GROW_030.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ashford_GROW_029.jpeg",NA,"Schoolcraft","ASHFORD","75-294",246.38,246.38,246.38
58746362,3,1,18,"October",1993,19,"October",1993,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Higgins_GROW_0404.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Higgins_GROW_0403.jpeg",NA,"Roscommon","HIGGINS","72-117",614.68,NA,614.68
