"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642617,"8-619","DEEP","Barry","3",1,436.88,NA,436.88,23,"July",1992,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1992_GROW_001_01.jpg",NA
58642620,"8-619","DEEP","Barry","1",2,264.16,281.94,274.32,30,"June",1994,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Barry_Deep_8-619_1994_GROW_001_01.jpg",NA
58642622,"15-21","CHARLEVOIX","Charlevoix","2",11,355.6,546.1,431.8,10,"May",1984,NA,"May",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA
58642628,"16-194","TWINS","Cheboygan","1",19,226.06,294.64,254,29,"September",1992,29,"September",1992,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Twins_GROW_137.jpg",NA
58642633,"16-142","WEBER","Cheboygan","1",8,233.68,330.2,302.26,15,"October",1992,NA,"October",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Weber_GROW_102.jpg",NA
58642650,"20-91","CLEAR","Crawford","3",13,NA,NA,264.16,28,"April",1969,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Clear_GROW_002.jpg",NA
58642679,"31-585","BOB","Houghton","3",4,335.28,373.38,353.06,NA,"May",1977,NA,"May",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_31-585_1977_GROW_001_01.jpg",NA
58642687,"31-585","BOB","Houghton","3",4,335.28,373.38,353.06,NA,"May",1977,NA,"May",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_GROW_005.jpg",NA
58642701,"34-93","SESSIONS","Ionia","4",1,NA,NA,332.74,6,"April",1990,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg",NA
58642734,"40-192","GUERNSEYBIG","Kalkaska","2",2,398.78,452.12,426.72,12,"August",1982,12,"August",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_GuernseyBig_GROW_005.jpg",NA
58642753,"41-732","LONG","Kent","4",2,353.06,355.6,355.6,29,"August",1984,29,"May",1985,"two dates, no way to distinguish between surveys ","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Long_GROW_002.jpg",NA
58642754,NA,NA,NA,"1",3,226.06,243.84,238.76,NA,"July",1993,NA,"July",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_035.jpg",NA
58642755,NA,NA,NA,"1",3,220.98,243.84,NA,9,"July",1993,NA,"July",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_036.jpg",NA
58642820,"65-8","GEORGE","OGEMAW","3",1,281.94,NA,281.94,4,"April",1984,17,"April",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/OGEMAW_LAKEGEORGE_GROW_0001.jpeg",NA
58746172,"75-538","STRAITS","Schoolcraft","3",1,477.52,NA,477.52,1,"October",1985,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Straits_GROW_024.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Straits_GROW_023.jpeg"
