"subject_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text"
58642626,"T2","[['2', '2', '2', '2']]",4,4,"2"
58642626,"T3","[['18.0-18.3', '18.0-18.3', '18.0-18.3', '18.0-18.3']]",4,4,"18.0-18.3"
58642626,"T4","[['18.2', '18.2', '18.2', '18.2']]",4,4,"18.2"
58642804,"T2","[['1', '1', '1', '1']]",4,4,"1"
58642804,"T4","[['17.4', '17.4', '17.4', '17.4']]",4,4,"17.4"
58642804,"T8","[['4', '4', '4', '4']]",4,4,"4"
58642804,"T9","[['17.7-19.2', '17.1-19.2', '17.7-19.2', '17.7-19.2']]",4,3,"17.7-19.2"
58642804,"T10","[['18.5', '18.5', '18.5', '18.5']]",4,4,"18.5"
58642804,"T14","[['1', '1', '1', '1']]",4,4,"1"
58642804,"T16","[['19.2', '19.2', '19.2', '19.2']]",4,4,"19.2"
58746237,"T2","[['1', '1', '1', '1']]",4,4,"1"
58746237,"T3","[['...']]",1,1,"..."
58746237,"T4","[['12.4', '12.4', '12.4', '12.4']]",4,4,"12.4"
58746245,"T2","[['1', '1', '1', '1']]",4,4,"1"
58746245,"T3","[['10.9', '10.9', '10.9', '10.9']]",4,4,"10.9"
58746252,"T2","[['4', '4', '4', '4']]",4,4,"4"
58746252,"T3","[['10.8-11.3', '10.8-11.3', '10.8-11.3', '10.8-11.3']]",4,4,"10.8-11.3"
58746252,"T4","[['10.97', '10.97', '10.97', '10.97']]",4,4,"10.97"
58746254,"T2","[['2', '2', '2', '2']]",4,4,"2"
58746254,"T3","[['11.6-11.6', '11.6-11.6', '11.6-11.6', '11.6-11.6']]",4,4,"11.6-11.6"
58746254,"T4","[['11.6', '11.6', '11.6', '11.6'], ['', '', '', '(0.4)']]",4,2.5,"11.6 (0.4)"
58746254,"T8","[['2', '2', '2', '2']]",4,4,"2"
58746254,"T9","[['12.3-12.7', '12.3-12.7', '12.3-12.7', '12.3-12.7']]",4,4,"12.3-12.7"
58746254,"T10","[['12.5', '12.5', '12.5', '12.5'], ['', '', '', '(0.6)']]",4,2.5,"12.5 (0.6)"
58746254,"T14","[['1', '1', '1', '1']]",4,4,"1"
58746254,"T15","[['13.7', '13.7', '13.7', '13.7']]",4,4,"13.7"
58746254,"T16","[['13.7', '13.7', '13.7', '13.7'], ['', '', '', '(0.2)']]",4,2.5,"13.7 (0.2)"
58746255,"T2","[['2', '2', '2', '2']]",4,4,"2"
58746255,"T3","[['9.0-9.4', '9.0-9.4', '9.0-9.4', '9.0-9.4']]",4,4,"9.0-9.4"
58746255,"T4","[['9.2', '9.2', '9.2', '9.2'], ['(3.5', '', '', ''], ['oz.)', '', '', '']]",4,2,"9.2 (3.5 oz.)"
58746255,"T8","[['1', '1', '1', '1']]",4,4,"1"
58746255,"T9","[['12.0', '12.0', '12.0', '12.0']]",4,4,"12.0"
58746255,"T10","[['12.0', '12.0', '12.0', '12.0'], ['(8.0', '', '', ''], ['oz.)', '', '', '']]",4,2,"12.0 (8.0 oz.)"
58746362,"T2","[['1', '1', '1', '1']]",4,4,"1"
58746362,"T3","[['13.0', '13.0', '13.0', '13.0']]",4,4,"13.0"
58746362,"T4","[['13.0', '13.0', '13.0', '13.0']]",4,4,"13.0"
58746362,"T8","[['1', '1', '1', '1']]",4,4,"1"
58746362,"T9","[['15.8', '15.8', '15.8', '15.8']]",4,4,"15.8"
58746362,"T10","[['15.8', '15.8', '15.8', '15.8']]",4,4,"15.8"
58746362,"T14","[['1', '1', '1', '1']]",4,4,"1"
58746362,"T15","[['16.2', '16.2', '16.2', '16.2']]",4,4,"16.2"
58746362,"T16","[['16.2', '16.2', '16.2', '16.2']]",4,4,"16.2"
58746415,"T2","[['1', '1', '1', '1']]",4,4,"1"
58746415,"T3","[['17.6', '17.6', '17.6', '17.6']]",4,4,"17.6"
58746415,"T4","[['17.6', '17.6', '17.6', '17.6']]",4,4,"17.6"
58753891,"T2","[['8', '8', '8', '8']]",4,4,"8"
58753891,"T3","[['6.3-7.1', '6.3-7.1', '6.3-7.1', '6.3-7.1']]",4,4,"6.3-7.1"
58753891,"T4","[['6.8', '6.8', '6.8', '6.8']]",4,4,"6.8"
58753891,"T8","[['5', '5', '5', '5']]",4,4,"5"
58753891,"T9","[['7.3-10.0', '7.3-10.0', '7.1-10.0', '7.3-10.0']]",4,3,"7.3-10.0"
58753891,"T10","[['8.0', '8.0', '8.0', '8.0']]",4,4,"8.0"
58753891,"T14","[['1', '1', '1', '1']]",4,4,"1"
58753891,"T15","[['10.2', '10.2', '10.2', '10.2']]",4,4,"10.2"
58753891,"T16","[['10.2', '10.2', '10.2', '10.2']]",4,4,"10.2"
58753891,"T20","[['3', '3', '3', '3']]",4,4,"3"
58753891,"T21","[['10.6-11.8', '10.6-11.8', '10.6-11.8', '10.6-11.8']]",4,4,"10.6-11.8"
58753891,"T22","[['11.3', '11.3', '11.3', '11.3']]",4,4,"11.3"
58753891,"T26","[['2', '2', '2', '2']]",4,4,"2"
58753891,"T27","[['10.4', '10.4', '10.4', '10.4']]",4,4,"10.4"
58753891,"T28","[['15.210.4', '10.4', '10.4', '10.4']]",4,3,"10.4"
58753937,"T2","[['27', '27', '27', '27']]",4,4,"27"
58753937,"T3","[['7.9-9.5', '7.9-9.5', '7.9-9.5', '7.9-9.5']]",4,4,"7.9-9.5"
58753937,"T4","[['8.9', '8.9', '8.9', '8.9']]",4,4,"8.9"
58753937,"T8","[['4', '4', '4', '4']]",4,4,"4"
58753937,"T9","[['9.6-10.4', '9.6-10.4', '9.6-10.4', '9.6-10.4']]",4,4,"9.6-10.4"
58753937,"T10","[['10.0', '10.0', '10.0', '10.0']]",4,4,"10.0"
58753937,"T14","[['2', '2', '2', '2']]",4,4,"2"
58753937,"T15","[['10.5-10.6', '10.5-10.6', '10.5-10.6', '10.5-10.6']]",4,4,"10.5-10.6"
58753937,"T16","[['10.6', '10.6', '10.6', '10.6']]",4,4,"10.6"
58753937,"T20","[['1', '1', '1', '1']]",4,4,"1"
58753937,"T21","[['11.9', '11.9', '11.9', '11.9']]",4,4,"11.9"
58753937,"T22","[['11.9', '11.9', '11.9', '11.9']]",4,4,"11.9"
58753938,"T2","[['7', '7', '7', '7']]",4,4,"7"
58753938,"T3","[['9.3-11.3', '9.3-11.3', '9.3-11.3', '9.3-11.3']]",4,4,"9.3-11.3"
58753938,"T4","[['10.3', '10.3', '10.3', '10.3']]",4,4,"10.3"
58753938,"T8","[['1', '1', '1', '1']]",4,4,"1"
