subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,
72071357,59962359,T4,"[['398', '398', '398mm'], ['(15.7)', '', '']]",3,1.5,398 (15.7),398,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_2.jpeg,
72071357,59962359,T9,"[['389-440', '388-440', '380-440mm']]",3,1,389-440,389-440,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_2.jpeg,mm
72071357,59962359,T10,"[['419', '419', '419mm'], ['(16.5)', '', '']]",3,1.5,419 (16.5),419,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_2.jpeg,
72071357,59962359,T16,"[['496', '496', '496mm'], ['(19.5)', '', '']]",3,1.5,496 (19.5),496,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_2.jpeg,
72071377,58754016,T9,"[['35-41', '35.0-41.0cm', '35.0-41.0']]",3,1,35-41,35-41,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_TowerPond_GROW_013.jpg,cm
72071378,58754049,T4,"[['230mm', '230', '230'], ['(9.1)', '', '']]",3,1.5,230 (9.1),230,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_037.jpg,
72071378,58754049,T10,"[['222mm', '222', '222'], ['(8.7)', '', '']]",3,1.5,222 (8.7),222,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_037.jpg,
72071378,58754049,T16,"[['354mm', '354', '354'], ['(13.9)', '', '']]",3,1.5,354 (13.9),354,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_037.jpg,
72071378,58754049,T22,"[['415mm', '415', '415'], ['(16.4)', '', '']]",3,1.5,415 (16.4),415,Fourth row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Chippewa_Caribou_GROW_037.jpg,
72071408,58754318,T4,[['7.3']],1,1,7.3,7.3,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Margrethe_GROW_123.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Margrethe_GROW_124.jpg,
72071412,58754328,T8,[['3']],1,1,3,NA,Second row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_047.jpg,
72071412,58754328,T9,[['17.3-17.5']],1,1,17.3-17.5,NA,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_047.jpg,
72071412,58754328,T10,[['17.4']],1,1,17.4,NA,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_047.jpg,
72071417,58754329,T9,[['19.7']],1,1,19.7,19.7,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_060.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_061.jpg,
72071427,58754431,T38,[['2']],1,1,2,2,7th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DeerIsland_GROW_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DeerIsland_GROW_012.jpg,
72071427,58754431,T39,[['20.7-21.0']],1,1,20.7-21.0,20.7-21,7th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DeerIsland_GROW_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DeerIsland_GROW_012.jpg,
72071427,58754431,T40,[['20.8']],1,1,20.8,20.8,7th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DeerIsland_GROW_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_DeerIsland_GROW_012.jpg,
72071432,58754498,T15,[['14.9']],1,1,14.9,14.9,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Tamarack_GROW_022.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gogebic_Tamarack_GROW_023.jpg,
72071442,58754753,T3,[['14.2']],1,1,14.2,14.2,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Gibson_GROW_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Gibson_GROW_054.jpg,
72071442,58754753,T15,[['16.8']],1,1,16.8,16.8,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Gibson_GROW_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Gibson_GROW_054.jpg,
72071490,59963196,T15,[['21.9']],1,1,21.9,21.9,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Luce_Perch_FISHs_079.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Luce_Perch_FISHs_080.jpg,
72071520,59963349,T9,[['18.0']],1,1,18,18,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_Anderson_GROW_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/Marquette_Anderson_GROW_015.jpg,
72071587,59687854,T3,"[['23', '9.1', '23cm']]",3,1,23,23,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Opal_GROW_028.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Opal_GROW_027.jpeg,cm
72071587,59687854,T4,"[['23.0', '9.1', '23.0cm']]",3,1,23,23,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Opal_GROW_028.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Opal_GROW_027.jpeg,cm
72071587,59687854,T9,"[['35', '13.8', '35cm']]",3,1,35,35,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Opal_GROW_028.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/b_first/Otsego_Opal_GROW_027.jpeg,cm
