"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
59687967,"1-67","HORSESHOE","ALCONA",4,1,495.3,NA,495.3,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_HORSESHOE_GROW_0001.jpeg",NA
59687967,"1-67","HORSESHOE","ALCONA",5,1,520.7,NA,520.7,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_HORSESHOE_GROW_0001.jpeg",NA
58642609,"1-67","HORSESHOE","Alcona",4,1,495.3,NA,495.3,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA
58642609,"1-67","HORSESHOE","Alcona",5,1,520.7,NA,520.7,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA
58642652,"20-75","HOWES","Crawford",0,1,124.46,NA,124.46,25,"June",1984,27,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA
58642652,"20-75","HOWES","Crawford",1,3,147.32,162.56,154.94,25,"June",1984,27,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA
58642652,"20-75","HOWES","Crawford",2,3,218.44,299.72,264.16,25,"June",1984,27,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA
58642652,"20-75","HOWES","Crawford",3,20,292.1,332.74,309.88,25,"June",1984,27,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA
58642671,"27-495","MARION","Gogebic",1,2,172.72,271.78,222.25,8,"June",1982,10,"June",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg",NA
58642671,"27-495","MARION","Gogebic",3,3,457.2,490.22,482.6,8,"June",1982,10,"June",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg",NA
