subject_id,URL 4,URL 8,task,Full Task,data.value
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T1,First row age group [Dropdown],[{'IV / 4': 3}]
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T7,Second row age group [Dropdown],[{'V / 5': 3}]
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T13,Third row age group [Dropdown],[{'VI / 6': 3}]
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T19,Fourth row age group [Dropdown],[{'IX / 9 ': 3}]
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T25,5th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T31,6th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T37,7th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T43,8th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T49,9th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T55,10th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T61,11th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T67,12th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T73,13th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T79,14th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T85,15th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T91,16th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T97,17th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T103,18th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T109,19th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T115,20th row age group [Dropdown],
58642622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg,,T121,21st row age group [Dropdown],
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T1,First row age group [Dropdown],[{'IV / 4': 3}]
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T7,Second row age group [Dropdown],[{'V / 5': 3}]
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T13,Third row age group [Dropdown],[{'VI / 6': 3}]
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T19,Fourth row age group [Dropdown],[{'VII / 7': 3}]
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T25,5th row age group [Dropdown],[{'VIII / 8': 3}]
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T31,6th row age group [Dropdown],[{'IX / 9 ': 3}]
58642700,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iosco_Tawas_GROW_021.jpg,,T37,7th row age group [Dropdown],"[{'XIII / 13': 1, 'X / 10': 2}]"
