subject_id,workflow_id,task,reducer,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids,data.aggregation_version
58642622,20391,T2,text_reducer,"[['10', '10', '10']]",3.0,3.0,10,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T3,text_reducer,"[['19.5-21.5', '19.5-21.5', '19.5-21.5']]",3.0,3.0,19.5-21.5,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T4,text_reducer,"[['20.5', '20.5', '20.5']]",3.0,3.0,20.5,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T8,text_reducer,"[['8', '8', '8']]",3.0,3.0,8,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T9,text_reducer,"[['21.6-27.0', '21.6-27.0', '21.6-27.0']]",3.0,3.0,21.6-27.0,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T10,text_reducer,"[['23.9', '23.9', '23.9']]",3.0,3.0,23.9,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T14,text_reducer,"[['14', '14', '14']]",3.0,3.0,14,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T15,text_reducer,"[['24.0-28.0', '24.0-28.0', '24.0-28.0']]",3.0,3.0,24.0-28.0,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T16,text_reducer,"[['25.7', '25.7', '25.7']]",3.0,3.0,25.7,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T20,text_reducer,"[['1', '1', '1']]",3.0,3.0,1,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T21,text_reducer,"[['29.0', '29.0', '29.0']]",3.0,3.0,29.0,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T22,text_reducer,"[['29.0', '29.0', '29.0']]",3.0,3.0,29.0,"[False, False, False]","[1325481, 2271829, 1484814]",3.6.0
58642622,20391,T26,text_reducer,,,,,,,3.6.0
58642622,20391,T27,text_reducer,,,,,,,3.6.0
58642622,20391,T28,text_reducer,,,,,,,3.6.0
58642622,20391,T32,text_reducer,,,,,,,3.6.0
58642622,20391,T33,text_reducer,,,,,,,3.6.0
58642622,20391,T34,text_reducer,,,,,,,3.6.0
58642622,20391,T38,text_reducer,,,,,,,3.6.0
58642622,20391,T39,text_reducer,,,,,,,3.6.0
58642622,20391,T40,text_reducer,,,,,,,3.6.0
58642622,20391,T44,text_reducer,,,,,,,3.6.0
58642622,20391,T45,text_reducer,,,,,,,3.6.0
58642622,20391,T46,text_reducer,,,,,,,3.6.0
58642622,20391,T50,text_reducer,,,,,,,3.6.0
