subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.value
82939729,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Livingston_Woodland_GROW_005.jpg,,19099,T1,First row age group [Dropdown],[{'III / 3': 3}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T1,First row age group [Dropdown],[{'IV / 4': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T7,Second row age group [Dropdown],[{'V / 5': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T13,Third row age group [Dropdown],[{'VI / 6': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T19,Fourth row age group [Dropdown],[{'VII / 7': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T25,5th row age group [Dropdown],[{'VIII / 8': 1}]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T1,First row age group [Dropdown],[{'V / 5': 1}]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T7,Second row age group [Dropdown],[{'VI / 6': 1}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T1,First row age group [Dropdown],[{'I / 1': 2}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T7,Second row age group [Dropdown],[{'II / 2': 2}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T13,Third row age group [Dropdown],[{'III / 3': 2}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T19,Fourth row age group [Dropdown],[{'VI / 6': 2}]
82941753,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/StJosesph_Fishers_GROW_20.jpeg,,19099,T1,First row age group [Dropdown],[{'II / 2': 2}]
82941753,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/StJosesph_Fishers_GROW_20.jpeg,,19099,T7,Second row age group [Dropdown],[{'III / 3': 2}]
82941753,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/StJosesph_Fishers_GROW_20.jpeg,,19099,T13,Third row age group [Dropdown],[{'IV / 4': 2}]
82941753,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/StJosesph_Fishers_GROW_20.jpeg,,19099,T19,Fourth row age group [Dropdown],[{'V / 5': 2}]
82941753,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/StJosesph_Fishers_GROW_20.jpeg,,19099,T25,5th row age group [Dropdown],[{'VI / 6': 2}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19099,T1,First row age group [Dropdown],[{'IV / 4': 4}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19099,T7,Second row age group [Dropdown],[{'V / 5': 4}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19099,T13,Third row age group [Dropdown],[{'VI / 6': 4}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19099,T19,Fourth row age group [Dropdown],[{'VII / 7': 4}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19099,T25,5th row age group [Dropdown],[{'VIII / 8': 4}]
82941849,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_6.jpeg,19099,T1,First row age group [Dropdown],[{'II / 2': 3}]
82941849,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_6.jpeg,19099,T7,Second row age group [Dropdown],[{'VII / 7': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19099,T1,First row age group [Dropdown],[{'II / 2': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19099,T7,Second row age group [Dropdown],[{'III / 3': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19099,T13,Third row age group [Dropdown],[{'V / 5': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19099,T19,Fourth row age group [Dropdown],[{'VIII / 8': 3}]
82941851,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_033.jpeg,19099,T1,First row age group [Dropdown],[{'II / 2': 3}]
82941851,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_033.jpeg,19099,T7,Second row age group [Dropdown],[{'III / 3': 3}]
82941851,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_033.jpeg,19099,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
82941852,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_9.jpeg,19099,T1,First row age group [Dropdown],[{'V / 5': 3}]
82941852,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_9.jpeg,19099,T7,Second row age group [Dropdown],[{'VI / 6': 3}]
82941856,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_3.jpeg,19099,T1,First row age group [Dropdown],[{'II / 2': 2}]
82941856,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_3.jpeg,19099,T7,Second row age group [Dropdown],[{'III / 3': 2}]
82941856,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_3.jpeg,19099,T13,Third row age group [Dropdown],[{'IV / 4': 2}]
