subject_id,data.value,age1,review,age2,review2,age,column_name,URL_front,URL_back,
58642653,[{'IV / 4': 1}],4,1,NA,NA,NA,5th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Elk_GROW_002.jpg,NA,
58642653,[{'V / 5': 1}],5,1,NA,NA,NA,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Elk_GROW_002.jpg,NA,
58746116,[{'I / 1': 1}],1,1,NA,NA,NA,5th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746116,[{'III / 3': 1}],3,1,NA,NA,NA,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746116,[{'V / 5': 1}],5,1,NA,NA,NA,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746116,[{'VII / 7': 1}],7,1,NA,NA,NA,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_002.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/StJoseph_Sand_GROW_001.jpeg,
58746613,[{'III / 3': 1}],3,1,NA,NA,NA,Third row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_100.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_099.jpeg,
58746613,[{'V / 5': 1}],5,1,NA,NA,NA,Fourth row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_100.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bear_GROW_099.jpeg,
58754287,[{'V / 5': 1}],5,1,NA,NA,5,5th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Hardgrove_GROW_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Hardgrove_GROW_014.jpg,
58754306,[{'IX / 9 ': 1}],9,1,NA,NA,9,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Jones_GROW_056.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Jones_GROW_057.jpg,
58754347,[{'III / 3': 1}],3,1,NA,NA,3,First row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Island_GROW_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Island_GROW_005.jpg,
58754354,[{'XI / 11': 1}],11,1,NA,NA,NA,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Lake Lancer_GROW_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Lake Lancer_GROW_024.jpg,
58754397,[{'VIII / 8': 1}],8,1,NA,NA,8,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_161.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_162.jpg,
58754397,[{'IX / 9 ': 1}],9,1,NA,NA,9,9th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_161.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_162.jpg,
58754400,[{'II / 2': 1}],2,1,NA,NA,NA,Third row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_169.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_170.jpg,
58754400,[{'III / 3': 1}],3,1,NA,NA,NA,Fourth row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_169.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Gladwin_Wiggins_GROW_170.jpg,
58754596,"[{'I / 1': 1, 'X / 10': 1}]",1,1,10,1,10,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Hillsdale_Long7S_4W_S8-17_GROW_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Hillsdale_Long7S_4W_S8-17_GROW_016.jpg,
58754876,[{'IX / 9 ': 1}],9,1,NA,NA,9,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Isabella_Halls_GROW_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Isabella_Halls_GROW_103.jpg,
58754876,[{'X / 10': 1}],10,1,NA,NA,10,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Isabella_Halls_GROW_102.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Isabella_Halls_GROW_103.jpg,
58755119,[{'III / 3': 1}],3,1,NA,NA,NA,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Kent_PineIslandBig_GROW_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Kent_PineIslandBig_GROW_028.jpg,
