subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82939729,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Livingston_Woodland_GROW_005.jpg,,19099,T2,First row Number of Fish [Text],"[['3', '3', '3']]",3,3,3,"[1312868, 1484814, 1691537]"
82939729,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Livingston_Woodland_GROW_005.jpg,,19099,T3,First row Length Range [Text],"[['8.1', '', ''], ['-', '', ''], ['11.8', '8.1-11.8', '8.1-11.8']]",3,1.33333333333333,8.1-11.8,"[1312868, 1484814, 1691537]"
82939729,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/single/Livingston_Woodland_GROW_005.jpg,,19099,T4,First row Mean Length [Text],"[['9.6', '9.6', '9.6']]",3,3,9.6,"[1312868, 1484814, 1691537]"
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T2,First row Number of Fish [Text],[['3']],1,1,3,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T3,First row Length Range [Text],[['11.1-11.6']],1,1,11.1-11.6,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T4,First row Mean Length [Text],[['11.3']],1,1,11.3,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T8,Second row Number of Fish [Text],[['8']],1,1,8,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T9,Second row Length Range [Text],[['12.2-14.8']],1,1,12.2-14.8,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T10,Second row Mean Length [Text],[['14']],1,1,14,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T14,Third row Number of Fish [Text],[['9']],1,1,9,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T15,Third row Length Range [Text],[['13.1-16.0']],1,1,13.1-16.0,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T16,Third row Mean Length [Text],[['15.1']],1,1,15.1,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T20,Fourth row Number of Fish [Text],[['11']],1,1,11,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T21,Fourth row Length Range [Text],[['15.8-17.4']],1,1,15.8-17.4,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T22,Fourth row Mean Length [Text],[['16.6']],1,1,16.6,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T26,5th row Number of Fish [Text],[['2']],1,1,2,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T27,5th row Length Range [Text],[['17.6-18.2']],1,1,17.6-18.2,[1484814]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19099,T28,5th row Mean Length [Text],[['17.9']],1,1,17.9,[1484814]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T2,First row Number of Fish [Text],[['1']],1,1,1,[1312868]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T3,First row Length Range [Text],[['13.4']],1,1,13.4,[1312868]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T4,First row Mean Length [Text],[['13.4']],1,1,13.4,[1312868]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T8,Second row Number of Fish [Text],[['1']],1,1,1,[1312868]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T9,Second row Length Range [Text],[['13.8']],1,1,13.8,[1312868]
82941745,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_10.jpeg,,19099,T10,Second row Mean Length [Text],[['13.8']],1,1,13.8,[1312868]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T2,First row Number of Fish [Text],"[['2', '2']]",2,2,2,"[1484814, 1312868]"
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T3,First row Length Range [Text],"[['6.4-6.9', '6.4-6.9']]",2,2,6.4-6.9,"[1484814, 1312868]"
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T4,First row Mean Length [Text],"[['6.7', '6.7']]",2,2,6.7,"[1484814, 1312868]"
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T8,Second row Number of Fish [Text],"[['5', '5']]",2,2,5,"[1484814, 1312868]"
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19099,T9,Second row Length Range [Text],"[['8.2-9.1', '8.2-9.1']]",2,2,8.2-9.1,"[1484814, 1312868]"
