"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642605,"1-4","ALCONADAM","Alcona",2,2,231.14,322.58,276.86,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",0,4,88.9,101.6,91.44,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",1,18,139.7,190.5,162.56,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",2,11,139.7,241.3,198.12,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",3,1,NA,NA,279.4,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",4,1,NA,NA,292.1,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642608,"1-61","BYRON","Alcona",1,3,127,152.4,154.94,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",2,16,177.8,203.2,208.28,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",3,1,228.6,NA,241.3,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",5,1,355.6,NA,368.3,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642612,"1-1","HOWONAN","Alcona",1,2,213.36,220.98,215.9,20,"October",1982,20,"October",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA
58642612,"1-1","HOWONAN","Alcona",2,4,233.68,256.54,246.38,20,"October",1982,20,"October",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA
58642612,"1-1","HOWONAN","Alcona",4,7,314.96,360.68,337.82,20,"October",1982,20,"October",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Howonan_GROW_Doc0639.jpg",NA
58642623,"16-312","CORNWELLIMPOUNDMENT","Cheboygan",7,1,330.2,NA,330.2,24,"March",1993,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_CornwellImpoundment_GROW_054.jpg",NA
58642630,"16-142","WEBERLITTLE","Cheboygan",0,12,134.62,180.34,152.4,15,"September",1977,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_WeberLittle_GROW_009.jpg",NA
58642630,"16-142","WEBERLITTLE","Cheboygan",2,15,304.8,353.06,332.74,15,"September",1977,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_WeberLittle_GROW_009.jpg",NA
58642632,"16-142","WEBER","Cheboygan",0,12,134.62,180.34,152.4,15,"September",1977,NA,"September",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Weber_GROW_009.jpg",NA
58642632,"16-142","WEBER","Cheboygan",2,15,304.8,353.06,332.74,15,"September",1977,NA,"September",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Weber_GROW_009.jpg",NA
58642641,"17-327","SOLDIER","Chippewa",2,11,160.02,208.28,182.88,7,"July",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_004.jpg",NA
58642641,"17-327","SOLDIER","Chippewa",3,1,246.38,NA,246.38,7,"July",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_004.jpg",NA
58642642,"17-327","SOLDIER","Chippewa",2,11,160.02,208.28,182.88,7,"July",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_005.jpg",NA
58642642,"17-327","SOLDIER","Chippewa",3,1,246.38,NA,246.38,7,"July",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Soldier_GROW_005.jpg",NA
58642645,"18-69","CROOKED","Clare",2,7,228.6,281.94,251.46,8,"June",1984,8,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Crooked_GROW_185.jpg",NA
