"subject_id","URL.4","URL.8","task","Full.Task","data.value"
58642605,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642607,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 3}]"
58642609,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA,"T1","First row age group [Dropdown]","[{'0 / 0': 3}]"
58642613,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 2}]"
58642613,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA,"T7","Second row age group [Dropdown]","[{'IV / 4': 2}]"
58642613,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA,"T13","Third row age group [Dropdown]","[{'V / 5': 2}]"
58642613,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'VII / 7': 2}]"
58642621,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642621,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642621,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642625,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642629,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA,"T1","First row age group [Dropdown]","[{'IV / 4': 3}]"
58642629,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA,"T7","Second row age group [Dropdown]","[{'V / 5': 3}]"
58642629,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA,"T13","Third row age group [Dropdown]","[{'VI / 6': 3}]"
58642638,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_003.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642638,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_003.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642638,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_003.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642640,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_004.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642640,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_004.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642640,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Frenchman's_GROW_004.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642644,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Arnold19N_4W_S2-3_GROW_074.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642644,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Arnold19N_4W_S2-3_GROW_074.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642644,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Arnold19N_4W_S2-3_GROW_074.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642644,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Arnold19N_4W_S2-3_GROW_074.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'IV / 4': 2, 'V / 5': 1}]"
58642644,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Arnold19N_4W_S2-3_GROW_074.jpg",NA,"T25","5th row age group [Dropdown]","[{'V / 5': 2}]"
58642649,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642651,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Park_GROW_088.jpg",NA,"T1","First row age group [Dropdown]","[{'VII / 7': 3}]"
58642653,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Elk_GROW_002.jpg",NA,"T1","First row age group [Dropdown]","[{'IV / 4': 3}]"
58642653,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Elk_GROW_002.jpg",NA,"T7","Second row age group [Dropdown]","[{'V / 5': 3}]"
58642657,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gladwin_Ross_GROW_013.jpg",NA,"T1","First row age group [Dropdown]","[{'VI / 6': 2, 'IV / 4': 1}]"
58642659,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Bluebell_GROW_002.jpg",NA,"T1","First row age group [Dropdown]","[{'V / 5': 3}]"
58642677,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642677,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/GrandTraverse_Arbutus_GROW_097.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
