subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.value
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T1,First row age group [Dropdown],[{'I / 1': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T7,Second row age group [Dropdown],[{'II / 2': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T13,Third row age group [Dropdown],[{'III / 3': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T19,Fourth row age group [Dropdown],[{'IV / 4': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T25,5th row age group [Dropdown],[{'V / 5': 1}]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T31,6th row age group [Dropdown],[{'IX / 9 ': 1}]
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,19799,T1,First row age group [Dropdown],[{'IV / 4': 2}]
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T1,First row age group [Dropdown],[{'I / 1': 2}]
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T7,Second row age group [Dropdown],"[{'III / 3': 1, 'II / 2': 1}]"
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T13,Third row age group [Dropdown],[{'III / 3': 2}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T1,First row age group [Dropdown],[{'II / 2': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T7,Second row age group [Dropdown],[{'III / 3': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T13,Third row age group [Dropdown],[{'IV / 4': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T19,Fourth row age group [Dropdown],[{'V / 5': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T25,5th row age group [Dropdown],[{'VI / 6': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T31,6th row age group [Dropdown],[{'VII / 7': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T37,7th row age group [Dropdown],[{'VIII / 8': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T43,8th row age group [Dropdown],[{'IX / 9 ': 1}]
82941746,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,,19799,T49,9th row age group [Dropdown],[{'X / 10': 1}]
82941751,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,,19799,T1,First row age group [Dropdown],[{'I / 1': 2}]
82941751,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,,19799,T7,Second row age group [Dropdown],"[{'III / 3': 1, 'II / 2': 1}]"
82941751,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,,19799,T13,Third row age group [Dropdown],[{'III / 3': 2}]
82941751,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,,19799,T19,Fourth row age group [Dropdown],[{'IV / 4': 2}]
82941751,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_4.jpeg,,19799,T25,5th row age group [Dropdown],[{'V / 5': 2}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19799,T1,First row age group [Dropdown],[{'I / 1': 3}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19799,T7,Second row age group [Dropdown],[{'II / 2': 3}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19799,T13,Third row age group [Dropdown],[{'III / 3': 3}]
82941752,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Roscommon_StHelens_GROW_8.jpeg,,19799,T19,Fourth row age group [Dropdown],[{'IV / 4': 3}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19799,T1,First row age group [Dropdown],[{'I / 1': 3}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19799,T7,Second row age group [Dropdown],[{'II / 2': 3}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19799,T13,Third row age group [Dropdown],[{'III / 3': 3}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19799,T19,Fourth row age group [Dropdown],[{'IV / 4': 3}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19799,T25,5th row age group [Dropdown],"[{'IX / 9 ': 1, 'V / 5': 2}]"
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,19799,T31,6th row age group [Dropdown],[{'IX / 9 ': 2}]
82941849,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_6.jpeg,19799,T1,First row age group [Dropdown],[{'IV / 4': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19799,T1,First row age group [Dropdown],[{'II / 2': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19799,T7,Second row age group [Dropdown],[{'IV / 4': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19799,T13,Third row age group [Dropdown],[{'V / 5': 3}]
82941850,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_TwentySeven_GROW_3.jpeg,19799,T19,Fourth row age group [Dropdown],[{'VI / 6': 3}]
