subject_id,data.value,age1,review,age2,review2,age,column_name,URL_front,URL_back,Comments
58642858,[{'III / 3': 1}],3,1,NA,NA,NA,5th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,
58746183,[{'I / 1': 1}],1,1,NA,NA,1,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_054.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_053.jpeg,
58746183,[{'I / 1': 1}],1,1,NA,NA,1,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_054.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_053.jpeg,
58746183,[{'II / 2': 1}],2,1,NA,NA,2,9th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_054.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_053.jpeg,
58746191,[{'I / 1': 1}],1,1,NA,NA,1,First row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_043.jpeg,
58746191,[{'II / 2': 1}],2,1,NA,NA,2,Second row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_043.jpeg,
58746191,[{'III / 3': 1}],3,1,NA,NA,3,Third row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_043.jpeg,
58746191,[{'IV / 4': 1}],4,1,NA,NA,4,Fourth row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_043.jpeg,
58746191,[{'V / 5': 1}],5,1,NA,NA,5,5th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_043.jpeg,
58746191,[{'VI / 6': 1}],6,1,NA,NA,6,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_044.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Ross_GROW_043.jpeg,
