subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,comment
58642695,T3,"[['700-775mm', '700-755', '700-775']]",3,1,700-775mm,700-775,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Morrison_GROW_003.jpg,,mm
58642858,T26,[['1']],1,1,1,NA,5th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,,
58642858,T27,[['29.6']],1,1,29.6,NA,5th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,,
58642880,T3,"[['24.5', '-']]",2,1,24.5,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Washtenaw_Joslin_GROW_20200225125514132_0016.jpeg,,
58746044,T3,"[['26.7', '…']]",2,1,26.7,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_037.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_036.jpeg,
58746069,T9,"[['23.5', '.'], ['', '.'], ['', '.']]",2,1,23.5 . .,NA,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Maple_GROW_065.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Maple_GROW_064.jpeg,
58746146,T4,"[['16.6', '16.6', '16.6'], ['', '(19', ''], ['', 'oz)', '']]",3,1.666666667,16.6 (19 oz),16.6,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_026.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_025.jpeg,
58746146,T10,"[['23.9', '23.9', '23.9'], ['', '(47', ''], ['', 'oz)', '']]",3,1.666666667,23.9 (47 oz),23.9,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_026.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_025.jpeg,
58746146,T16,"[['25.8', '25.8', '25.8'], ['', '(64', ''], ['', 'oz)', '']]",3,1.666666667,25.8 (64 oz),25.8,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_026.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_025.jpeg,
58746146,T22,"[['30.2', '30.2', '30.2'], ['', '(94', ''], ['', 'oz)', '']]",3,1.666666667,30.2 (94 oz),30.2,Fourth row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_026.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Triangle_GROW_025.jpeg,
