subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T2,First row Number of Fish [Text],[['1']],1,1,1,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T3,First row Length Range [Text],[['13.1']],1,1,13.1,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T4,First row Mean Length [Text],[['13.1']],1,1,13.1,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T8,Second row Number of Fish [Text],[['24']],1,1,24,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T9,Second row Length Range [Text],[['15.1-22.0']],1,1,15.1-22.0,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T10,Second row Mean Length [Text],[['18.6']],1,1,18.6,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T14,Third row Number of Fish [Text],[['6']],1,1,6,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T15,Third row Length Range [Text],[['18.2-22.4']],1,1,18.2-22.4,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T16,Third row Mean Length [Text],[['21.5']],1,1,21.5,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T20,Fourth row Number of Fish [Text],[['14']],1,1,14,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T21,Fourth row Length Range [Text],[['22.5-25.8']],1,1,22.5-25.8,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T22,Fourth row Mean Length [Text],[['23.9']],1,1,23.9,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T26,5th row Number of Fish [Text],[['6']],1,1,6,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T27,5th row Length Range [Text],[['22.2-26.2']],1,1,22.2-26.2,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T28,5th row Mean Length [Text],[['24.5']],1,1,24.5,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T32,6th row Number of Fish [Text],[['1']],1,1,1,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T33,6th row Length Range [Text],[['37.5']],1,1,37.5,[1312868]
82941740,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,,19799,T34,6th row Mean Length [Text],[['37.5']],1,1,37.5,[1312868]
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,19799,T2,First row Number of Fish [Text],"[['1', '1']]",2,2,1,"[1484814, 1312868]"
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,19799,T3,First row Length Range [Text],"[['24.9', '24.7']]",2,1,24.9,"[1484814, 1312868]"
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,19799,T4,First row Mean Length [Text],"[['24.7', '24.7']]",2,2,24.7,"[1484814, 1312868]"
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T2,First row Number of Fish [Text],"[['1', '1']]",2,2,1,"[1484814, 1312868]"
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T3,First row Length Range [Text],"[['22.5', '22.5']]",2,2,22.5,"[1484814, 1312868]"
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T4,First row Mean Length [Text],"[['22.5', '22.5']]",2,2,22.5,"[1484814, 1312868]"
82941744,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Ottawa_Crockery_GROW_032.jpeg,,19799,T8,Second row Number of Fish [Text],"[['3', '3']]",2,2,3,"[1484814, 1312868]"
