"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642605,"1-4","ALCONADAM","Alcona",2,1,482.6,NA,482.6,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",0,1,203.2,NA,203.2,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642609,"1-67","HORSESHOE","Alcona",0,1,215.9,NA,215.9,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA
58642613,"1-165","HUBBARD","Alcona",3,11,490.22,609.6,563.88,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona",4,4,533.4,660.4,601.98,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona",5,2,586.74,685.8,635,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona",7,1,965.2,NA,965.2,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642621,"15-15","DEER","Charlevoix",1,13,266.7,431.8,368.3,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
58642621,"15-15","DEER","Charlevoix",2,33,304.8,457.2,401.32,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
58642621,"15-15","DEER","Charlevoix",3,5,495.3,533.4,510.54,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
58642625,"16-193","BURT","Cheboygan",2,1,434.34,NA,434.34,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642629,"16-4","MELAVEY","Cheboygan",4,1,731.52,NA,731.52,25,"June",1969,25,"June",1969,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA
58642629,"16-4","MELAVEY","Cheboygan",5,2,652.78,685.8,668.02,25,"June",1969,25,"June",1969,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA
58642629,"16-4","MELAVEY","Cheboygan",6,1,792.48,NA,792.48,25,"June",1969,25,"June",1969,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Melavey_GROW_004.jpg",NA
