subject_id,URL 4,URL 8,workflow_id,task,data.value
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T1,[{'II / 2': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T7,[{'III / 3': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T13,[{'IV / 4': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T19,[{'V / 5': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T25,[{'VI / 6': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T31,[{'VII / 7': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T37,[{'VIII / 8': 3}]
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T43,[{'IX / 9 ': 3}]
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,20628,T1,[{'I / 1': 3}]
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,20628,T7,[{'II / 2': 3}]
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,20628,T13,[{'III / 3': 3}]
80048593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_ECHO_GROW_0001_6.jpeg,,20628,T19,[{'IV / 4': 3}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T1,[{'II / 2': 2}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T7,[{'III / 3': 2}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T13,[{'IV / 4': 2}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T19,[{'V / 5': 2}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T25,[{'VI / 6': 2}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T31,[{'VIII / 8': 2}]
80048595,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_FISHHOOK_GROW_0001_8.jpeg,,20628,T37,[{'IX / 9 ': 2}]
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,20628,T1,[{'VI / 6': 3}]
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,20628,T7,[{'VII / 7': 3}]
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,20628,T13,[{'VIII / 8': 3}]
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,20628,T19,[{'IX / 9 ': 3}]
80048597,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_NAWAKWA_GROW_0001_8.jpeg,,20628,T25,"[{'XI / 11': 2, 'IX / 9 ': 1}]"
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20628,T1,[{'IV / 4': 3}]
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20628,T7,[{'V / 5': 3}]
80048599,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/CALHOUN_WABASCON_GROW_0001_5.jpeg,,20628,T13,[{'VI / 6': 3}]
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,20628,T1,[{'II / 2': 3}]
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,20628,T7,[{'III / 3': 3}]
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,20628,T13,[{'IV / 4': 3}]
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,20628,T19,[{'V / 5': 3}]
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,20628,T25,[{'VI / 6': 3}]
80048601,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Delta_Mowe_GROW_052.jpeg,,20628,T31,[{'VII / 7': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20628,T1,[{'IV / 4': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20628,T7,[{'V / 5': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20628,T13,[{'VI / 6': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20628,T19,[{'VII / 7': 3}]
80048611,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Hillsdale_Bear_GROW_126.jpeg,,20628,T25,[{'VIII / 8': 3}]
80048617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Clear_GROW_116.jpeg,,20628,T1,[{'IV / 4': 3}]
80048617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Clear_GROW_116.jpeg,,20628,T7,[{'V / 5': 3}]
80048617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Clear_GROW_116.jpeg,,20628,T13,[{'VI / 6': 3}]
80048617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Clear_GROW_116.jpeg,,20628,T19,[{'VII / 7': 3}]
80048617,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Clear_GROW_116.jpeg,,20628,T25,[{'VIII / 8': 3}]
80048618,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Lime_GROW_062.jpeg,,20628,T1,[{'IV / 4': 3}]
80048618,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Jackson_Lime_GROW_062.jpeg,,20628,T7,[{'V / 5': 3}]
80048620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_Cedar_GROW_054.jpeg,,20628,T1,[{'II / 2': 3}]
80048620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_Cedar_GROW_054.jpeg,,20628,T7,[{'III / 3': 3}]
80048620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_Cedar_GROW_054.jpeg,,20628,T13,[{'IV / 4': 3}]
80048620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_Cedar_GROW_054.jpeg,,20628,T19,[{'V / 5': 3}]
80048620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_Cedar_GROW_054.jpeg,,20628,T25,[{'VI / 6': 3}]
80048620,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_Cedar_GROW_054.jpeg,,20628,T31,[{'VII / 7': 3}]
80048621,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_FishBig_GROW_029.jpeg,,20628,T1,[{'III / 3': 3}]
80048621,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_FishBig_GROW_029.jpeg,,20628,T7,[{'IV / 4': 3}]
80048621,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_FishBig_GROW_029.jpeg,,20628,T13,[{'V / 5': 3}]
80048621,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_FishBig_GROW_029.jpeg,,20628,T19,[{'VI / 6': 3}]
80048622,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Lapeer_FishBig_GROW_030.jpeg,,20628,T1,[{'II / 2': 3}]
