subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,comments
72067227,59687978,T4,"[['5.1', '130', '130(5.1)']]",3,1,5.1,130,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_BEAVERLITTLE_GROW_0002.jpeg,,mm
72067246,58642692,T8,"[['5', '20']]",2,1,5,12,Second row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_RedCedar_GROW_002.jpg,,
72067246,58642692,T9,"[['4.6-5.5', '4.1-5.4']]",2,1,4.6-5.5,4.1-5.4,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_RedCedar_GROW_002.jpg,,
72067246,58642692,T14,[['5']],1,1,5,5,Third row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_RedCedar_GROW_002.jpg,,
72067246,58642692,T15,[['4.6-5.5']],1,1,4.6-5.5,4.6-5.5,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_RedCedar_GROW_002.jpg,,
72067246,58642692,T16,[['4.9']],1,1,4.9,4.9,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ingham_RedCedar_GROW_002.jpg,,
72067271,58642842,T8,"[['20', '5']]",2,1,20,20,Second row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Red Cedar Lake_002.jpg,,
72067271,58642842,T9,"[['4.1-5.4', '4.6-5.5']]",2,1,4.1-5.4,4.1-5.4,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Red Cedar Lake_002.jpg,,
72067271,58642842,T14,[['5']],1,1,5,5,Third row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Red Cedar Lake_002.jpg,,
72067271,58642842,T15,[['4.6-5.5']],1,1,4.6-5.5,4.6-5.5,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Red Cedar Lake_002.jpg,,
72067271,58642842,T16,[['4.9']],1,1,4.9,4.9,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Red Cedar Lake_002.jpg,,
72067301,59962278,T32,[['2']],1,1,2,2,6th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_MCCOLLUM_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_MCCOLLUM_GROW_0003_2.jpeg,
72067301,59962278,T33,[['7.4-7.8']],1,1,7.4-7.8,7.4-7.8,6th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_MCCOLLUM_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_MCCOLLUM_GROW_0003_2.jpeg,
72067301,59962278,T34,[['7.6']],1,1,7.6,7.6,6th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_MCCOLLUM_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_MCCOLLUM_GROW_0003_2.jpeg,
72067311,59962297,T3,[['4.5']],1,1,4.5,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_VAUGHN_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_VAUGHN_GROW_0003_2.jpeg,
72067315,59962309,T4,"[['4.0', '4.0""', '4.0'], ['', '(.1)', '']]",3,1.5,4.0 (.1),4,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAINBASIN_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAINBASIN_GROW_0001_2.jpeg,
72067315,59962309,T10,"[['7.4', '7.7""', '7.7'], ['', '(.4)', '']]",3,1,7.4 (.4),7.7,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAINBASIN_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAINBASIN_GROW_0001_2.jpeg,
72067315,59962309,T16,"[['8.1', '8.1""', '8.1'], ['', '(.4)', '']]",3,1.5,8.1 (.4),8.1,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAINBASIN_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAINBASIN_GROW_0001_2.jpeg,
72067322,59962326,T3,[['43']],1,1,43,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CLOVERLEAF_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CLOVERLEAF_GROW_0003_2.jpeg,
72067324,59962332,T4,"[['6.0', '6.0', '6.0'], ['(4', '', ''], ['oz)', '', '']]",3,1.666666667,6.0 (4 oz),6,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_DEER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_DEER_GROW_0002_2.jpeg,
72067326,59962339,T4,"[['4.9', '4.9', '4.9""'], ['', '', '(.1#)']]",3,1.5,4.9 (.1#),4.9,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_2.jpeg,
72067326,59962339,T10,"[['6.1', '6.1', '6.1""'], ['', '', '(.2#)']]",3,1.5,6.1 (.2#),6.1,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_2.jpeg,
72067336,59962370,T4,"[['5.4', '5.4', '5.4""'], ['', '', '(.1#)']]",3,1.5,5.4 (.1#),5.4,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_McCOMB_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_McCOMB_GROW_0002_2.jpeg,
72067336,59962370,T10,"[['7.0', '7.0', '7.0""'], ['', '', '(.2#)']]",3,1.5,7.0 (.2#),7,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_McCOMB_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_McCOMB_GROW_0002_2.jpeg,
72067336,59962370,T16,"[['6.0', '6.0', '6.0""'], ['', '', '(.1#)']]",3,1.5,6.0 (.1#),6,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_McCOMB_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_McCOMB_GROW_0002_2.jpeg,
72067337,59962376,T10,"[['4.2', '4.2', '4.2'], ['', '(2', ''], ['', 'oz)', '']]",3,1.666666667,4.2 (2 oz),4.2,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_MUDDY_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_MUDDY_GROW_0002_2.jpeg,
72067337,59962376,T16,"[['5.9', '5.9', '5.9'], ['', '(3', ''], ['', 'oz)', '']]",3,1.666666667,5.9 (3 oz),5.9,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_MUDDY_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_MUDDY_GROW_0002_2.jpeg,
