subject_id,URL 4,URL 8,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T2,"[['1', '1', '1']]",3,3,1,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T3,"[['3.3', '3.3', '3.3']]",3,3,3.3,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T4,"[['3.3', '3.3', '3.3']]",3,3,3.3,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T8,"[['7', '7', '7']]",3,3,7,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T9,"[['4.5-5.3', '4.5-5.3', '4.5-5.3']]",3,3,4.5-5.3,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T10,"[['4.9', '4.9', '4.9']]",3,3,4.9,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T14,"[['10', '10', '10']]",3,3,10,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T15,"[['4.8-6.1', '4.8-6.1', '4.8-6.1']]",3,3,4.8-6.1,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T16,"[['5.6', '5.6', '5.6']]",3,3,5.6,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T20,"[['9', '9', '9']]",3,3,9,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T21,"[['6.0-7.3', '6.0-7.3', '6.0-7.3']]",3,3,6.0-7.3,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T22,"[['6.7', '6.7', '6.7']]",3,3,6.7,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T26,"[['2', '2', '2']]",3,3,2,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T27,"[['6.8-7.0', '6.8-7.0', '6.8-7.0']]",3,3,6.8-7.0,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T28,"[['6.9', '6.9', '6.9']]",3,3,6.9,"[1312868, 2376369, 1325481]"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,20628,T32,"[['4', '4', '4']]",3,3,4,"[1312868, 2376369, 1325481]"
