"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642606,"1-4","ALCONADAM","Alcona",2,2,86.36,109.22,99.06,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",3,1,139.7,NA,139.7,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",4,7,162.56,185.42,175.26,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",5,1,200.66,NA,200.66,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",7,1,210.82,NA,210.82,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",1,9,33.02,73.66,60.96,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",2,2,71.12,76.2,73.66,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",3,2,93.98,139.7,116.84,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",4,4,88.9,180.34,142.24,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
59687964,"1-61","BYRON","ALCONA",1,20,50.8,101.6,99.06,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_BYRON_GROW_0001.jpeg",NA
59687964,"1-61","BYRON","ALCONA",2,1,101.6,NA,114.3,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_BYRON_GROW_0001.jpeg",NA
59687964,"1-61","BYRON","ALCONA",3,1,177.8,NA,190.5,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_BYRON_GROW_0001.jpeg",NA
59687966,"1-61","BYRON","ALCONA",4,12,162.56,193.04,180.34,22,"April",1984,25,"April",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_BYRON_GROW_0002.jpeg",NA
59687966,"1-61","BYRON","ALCONA",5,3,198.12,208.28,203.2,22,"April",1984,25,"April",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_BYRON_GROW_0002.jpeg",NA
58642608,"1-61","BYRON","Alcona",1,20,50.8,101.6,99.06,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",2,1,101.6,NA,114.3,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",3,1,177.8,NA,190.5,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642613,"1-165","HUBBARD","Alcona",5,1,162.56,NA,162.56,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
59687978,"2-730","BEAVERLITTLE","ALGER",5,4,130,NA,130,24,"June",1980,26,"June",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_BEAVERLITTLE_GROW_0002.jpeg",NA
59687979,"2-802","CLOVERLEAF","ALGER",1,1,91.44,NA,91.44,26,"August",1983,NA,"August",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_CLOVERLEAF_GROW_0001.jpeg",NA
59687979,"2-802","CLOVERLEAF","ALGER",2,9,99.06,111.76,106.68,26,"August",1983,NA,"August",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_CLOVERLEAF_GROW_0001.jpeg",NA
59687979,"2-802","CLOVERLEAF","ALGER",3,4,109.22,127,116.84,26,"August",1983,NA,"August",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_CLOVERLEAF_GROW_0001.jpeg",NA
59687979,"2-802","CLOVERLEAF","ALGER",4,2,139.7,142.24,140.97,26,"August",1983,NA,"August",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_CLOVERLEAF_GROW_0001.jpeg",NA
