subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,
58746312,T4,"[['11.2', '11.2', '11.2', '11.2(10oz)'], ['', '(10', '', ''], ['', 'oz)', '', '']]",4,1.666666667,11.2 (10 oz),11.2,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Clear_GROW_050.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Clear_GROW_049.jpeg,
58746312,T10,"[['15.9', '15.9', '15.9', '15.9(27oz)'], ['', '(27', '', ''], ['', 'oz)', '', '']]",4,1.666666667,15.9 (27 oz),15.9,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Clear_GROW_050.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Clear_GROW_049.jpeg,
58746421,T8,[['1']],1,1,1,NA,Second row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Francis_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Francis_GROW_011.jpeg,
58746421,T9,[['15.0']],1,1,15,NA,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Francis_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Francis_GROW_011.jpeg,
58746421,T10,[['15.0']],1,1,15,NA,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Francis_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Francis_GROW_011.jpeg,
58754255,T9,[['12.2']],1,1,12.2,NA,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_Windover_GROW_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Clare_Windover_GROW_033.jpg,
58754324,T32,[['1']],1,1,1,1,6th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_043.jpg,
58754324,T33,[['27.5']],1,1,27.5,27.5,6th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_043.jpg,
58754324,T34,[['27.5']],1,1,27.5,27.5,6th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_042.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Crawford_Shupac_GROW_043.jpg,
58754612,T3,[['6.1']],1,1,6.1,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Houghton_Otter_GROW_113.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Houghton_Otter_GROW_114.jpg,
58754612,T9,[['11.1']],1,1,11.1,NA,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Houghton_Otter_GROW_113.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Houghton_Otter_GROW_114.jpg,
58754612,T21,[['24.6']],1,1,24.6,NA,Fourth row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Houghton_Otter_GROW_113.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Houghton_Otter_GROW_114.jpg,
58754784,T4,"[['9.0', '18.4', '9.00']]",3,1,9,9,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Long43N_33W_S16-17_GROW_053.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part2/Iron_Long43N_33W_S16-17_GROW_054.jpg,
