"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642613,"1-165","HUBBARD","Alcona",3,2,307.34,309.88,309.88,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642618,"1-57","HOIST SOUTH","Alcona",2,6,223.52,259.08,246.38,2,"July",1985,NA,"July",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_SouthHoist_GROW_Doc0630.jpg",NA
58642618,"1-57","HOIST SOUTH","Alcona",3,1,393.7,NA,393.7,2,"July",1985,NA,"July",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_SouthHoist_GROW_Doc0630.jpg",NA
58642622,"15-21","CHARLEVOIX","Charlevoix",2,1,223.52,NA,223.52,10,"May",1984,NA,"May",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA
58642625,"16-193","BURT","Cheboygan",5,1,609.6,NA,609.6,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642652,"20-75","HOWES","Crawford",1,4,220.98,302.26,251.46,25,"June",1984,27,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA
58642652,"20-75","HOWES","Crawford",2,1,325.12,NA,325.12,25,"June",1984,27,"June",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Howes_GROW_004.jpg",NA
58642679,"31-585","BOB","Houghton",4,1,345.44,NA,345.44,NA,"May",1977,NA,"May",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_31-585_1977_GROW_001_01.jpg",NA
58642687,"31-585","BOB","Houghton",4,1,345.44,NA,345.44,NA,"May",1977,NA,"May",1977,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Houghton_Bob_GROW_005.jpg",NA
58642709,"36-686","FIRE","Iron",2,9,307.34,355.6,327.66,12,"October",1987,15,"October",1987,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Iron_Fire_GROW_003.jpg",NA
